anthropic_final_barrier_code,anthropic_final_feasibility,anthropic_selected_rater,anthropic_reasoning,anthropic_specific_conflict,pair_id,anthropic_arbitrator,anthropic_arbitrator_model,anthropic_rater_order,anthropic_order_type,anthropic_selected_rater_key,anthropic_openai_barrier,anthropic_openai_feasibility,anthropic_anthropic_barrier,anthropic_anthropic_feasibility,anthropic_google_barrier,anthropic_google_feasibility,openai_final_barrier_code,openai_final_feasibility,openai_selected_rater,openai_reasoning,openai_specific_conflict,openai_arbitrator,openai_arbitrator_model,openai_rater_order,openai_order_type,openai_selected_rater_key,openai_openai_barrier,openai_openai_feasibility,openai_anthropic_barrier,openai_anthropic_feasibility,openai_google_barrier,openai_google_feasibility,google_final_barrier_code,google_final_feasibility,google_selected_rater,google_reasoning,google_specific_conflict,google_arbitrator,google_arbitrator_model,google_rater_order,google_order_type,google_selected_rater_key,google_openai_barrier,google_openai_feasibility,google_anthropic_barrier,google_anthropic_feasibility,google_google_barrier,google_google_feasibility,coverage_count,coverage
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. Their reasoning is consistent and sound: the CPS question measures actual work activity performed during a 4-week period, while the ACS question measures a different employment state - temporary absence from a job during the last week. These are fundamentally different constructs: one captures whether work was done, the other captures whether someone maintained an employment relationship despite not working. A person could answer 'yes' to the CPS question (did work in past 4 weeks) while also answering 'yes' to the ACS question (was temporarily absent last week), or various other combinations. The constructs cannot be directly mapped to each other without strong assumptions that would compromise validity.",CPS measures actual work activity performed in past 4 weeks; ACS measures temporary absence status from a job last week - fundamentally different employment constructs (work performance vs. employment relationship maintenance),CPS_0411,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,synthesis,"The CPS item asks whether any work was performed during a 4-week retrospective window (behavioral work activity). The ACS item asks whether the person was temporarily absent from a job/business last week (employment attachment despite not working). Being temporarily absent implies a job relationship and typically non-work in the reference week, which is not the same construct as having done work in the last 4 weeks. Although the reference periods differ, the binding issue is conceptual: work performed vs job attachment/absence status. This cannot be directly harmonized without strong, unverifiable assumptions about employment relationships and work patterns across the different constructs, so it is effectively incompatible for harmonization.",Work activity in the last 4 weeks (did any work) vs temporary absence from a job last week (employment attachment/absence status)—different core constructs.,openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters agree on the code and feasibility. The primary barrier is conceptual: the Survey Question measures active work performance ('did you do any of this work'), whereas the ACS Question measures the status of being temporarily absent from a job (implying valid employment but no active work). These represent different labor force states (working vs. with a job but not at work) that cannot be equated, regardless of the difference in reference periods.",Conflict between measuring active work performance (Survey Question) and measuring temporary absence from a job (ACS Question).,google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
TC.1,F1,synthesis,"All three raters agree on TC.1 (reference period length difference) as the barrier code. The disagreement is on feasibility. Raters A and C correctly identify that the ACS question about 'when did this person last work' provides temporal information that can be mechanically compared against a 4-week threshold. The ACS response categories typically include options like 'Within the past 12 months' with finer breakdowns including 'Within the past week' or similar categories that allow identification of work within the past 4 weeks. This makes it a direct recode (F1) rather than incompatible (F3). Rater B's concern about reliability is overstated - while there may be some measurement differences, the core temporal information is recoverable through recoding. The response scale difference (binary vs. categorical time ranges) is secondary to the temporal reference period issue.",CPS asks binary yes/no about work in last 4 weeks; ACS asks when person last worked with categorical time ranges that can be recoded to identify work within 4-week window,CPS_0412,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",randomized,synthesis,TC.1,F1,TC.1,F3,TC.1,F1,TC.1,F1,synthesis,"The primary discrepancy is the reference period: CPS asks whether any work occurred within the last 4 weeks, while ACS asks when the person last worked. If ACS captures a last-work date or an interval/category that can be located relative to the interview/reference date, it can be mechanically dichotomized to 'worked within past 4 weeks' by checking whether last work falls within 28 days. The response-format difference (binary vs date/recency) is secondary to the temporal mapping and does not make the measures incompatible in principle. Thus this is a temporal reference-period-length issue that is directly recodable when the ACS timing information is available.","Fixed 4-week activity window (CPS) versus last-work timing/date (ACS), requiring conversion of recency/date to a 4-week indicator.",openai,gpt-5.2,"['openai', 'anthropic', 'google']",randomized,synthesis,TC.1,F1,TC.1,F3,TC.1,F1,TC.1,F1,Rater A,"Both Rater A and Rater C correctly identify that the primary barrier is the difference in reference period definition (TC.1), where CPS uses a fixed 4-week window and ACS asks for a specific point in time (date). While Rater B argues for incompatibility (F3), the consensus view of A and C is more accurate: if the ACS question yields a specific date or timing of last work, this information can be logically compared to the 4-week threshold to derive the binary CPS indicator. Therefore, the data allows for a direct recode (F1).","CPS asks for a binary indication of work within a fixed 4-week reference period, whereas ACS asks for the specific date or timing of when the person last worked.",google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",randomized,openai,TC.1,F1,TC.1,F3,TC.1,F1,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) with F2 feasibility. The core barrier is clear: CPS asks about work during the last 4 weeks while ACS asks about work last week. This is a classic reference period length mismatch. Both questions measure the same construct (work for pay), but the different time windows (4 weeks vs 1 week) mean that someone who worked in weeks 2-4 but not in the most recent week would answer 'yes' to CPS but 'no' to ACS. Harmonization requires statistical adjustment with assumptions about work patterns across the 4-week period, justifying F2 rather than F1.",Reference period mismatch: CPS asks about work in the last 4 weeks while ACS asks about work last week (1 week),CPS_0413,anthropic,claude-opus-4-5-20251101,"['anthropic', 'google', 'openai']",randomized,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters converge on the same primary issue: the questions use different reference period lengths (CPS: any work during the last 4 weeks vs ACS: worked for pay last week). This is a temporal mismatch rather than a response-scale or population issue, and it changes the probability of endorsement (4-week window will generally yield higher incidence than a 1-week window). Harmonization cannot be done by a simple recode because a 'worked last week' indicator cannot be deterministically converted to 'worked at any time in the last 4 weeks' without assumptions/modeling about week-to-week work patterns; thus statistical adjustment is required.",Reference period length mismatch: any work in last 4 weeks (CPS) vs worked for pay last week (ACS),openai,gpt-5.2,"['anthropic', 'google', 'openai']",randomized,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,Rater A,"All three raters correctly identified the primary barrier as a difference in reference period length (TC.1). The Survey Question asks about activity in the 'last 4 weeks', while the ACS Question asks about 'LAST WEEK'. This temporal mismatch prevents direct recoding (F1) but allows for harmonization through statistical adjustment (F2) based on assumptions about the stability of work patterns over the longer period.",Reference period length mismatch: 4 weeks (Survey) vs. 1 week (ACS).,google,gemini-3-pro-preview,"['anthropic', 'google', 'openai']",randomized,anthropic,TC.1,F2,TC.1,F2,TC.1,F2,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) with F2 feasibility, and their reasoning is consistent and sound. The primary barrier is clearly temporal: CPS asks about work in the last 4 weeks while ACS asks about work in the last week. This is a classic reference period length difference. Rater A notes a secondary concern about operationalization ('this work' vs 'any work for pay'), but this appears to be context-dependent on prior CPS questions rather than a fundamental construct difference. The temporal difference is the primary barrier that would need to be resolved first. Statistical adjustment (F2) is appropriate because bridging 4-week to 1-week work activity requires modeling assumptions about work patterns.",CPS uses a 4-week reference period while ACS uses a 1-week reference period for measuring recent work activity,CPS_0414,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters agree the binding issue is the reference period length: the survey question asks about doing work during the last 4 weeks, whereas the ACS asks about any work for pay during the last week. This is a classic temporal reference-period mismatch (TC.1). While there is some additional wording/context difference (“this work” vs “ANY work for pay, even one hour”), the primary obstacle to harmonization is that the 4-week window is not directly reducible to a 1-week point without assumptions about within-month work patterns. Therefore harmonization would generally require statistical adjustment or modeling rather than a direct recode.","Different reference periods: worked at any time in the last 4 weeks vs worked for pay in the last week (1-hour threshold), requiring assumptions to map one window to the other.",openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters independently and correctly identified the primary barrier as the difference in reference period length (TC.1). The Survey Question asks about activity in the 'last 4 weeks,' whereas the ACS question focuses on the 'last week.' Harmonizing these distinct time windows requires statistical adjustment (F2) rather than a simple direct recode, as working within a 4-week window does not guarantee work occurred in the specific 1-week window.",Reference period length differs: Survey asks about the 'last 4 weeks' while ACS asks about 'last week'.,google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. Their reasoning is consistent and compelling: the CPS question asks about work activity performed (a behavioral measure), while the ACS question asks about layoff status (an employment condition). These are fundamentally different constructs that measure orthogonal dimensions of labor force participation. A person on layoff may or may not have done any work, and a person who worked may or may not be on layoff. Rater B also correctly notes a secondary temporal mismatch (4 weeks vs 1 week), but the primary barrier is the construct difference. The questions cannot be harmonized because they measure entirely different concepts.",CPS measures work activity performed (behavioral indicator of labor participation) while ACS measures layoff status (employment condition/involuntary unemployment). These are orthogonal constructs that cannot be reconciled.,CPS_0415,anthropic,claude-opus-4-5-20251101,"['anthropic', 'openai', 'google']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,synthesis,"The two questions do not measure the same underlying concept. The survey question asks about whether the person performed any work activity during the last 4 weeks (work participation/behavior), while the ACS item asks whether the person was on layoff last week (a specific employment-status condition within unemployment). These are not transformable into one another: someone can be on layoff yet still have done some work in the past 4 weeks (e.g., odd jobs), and someone can have worked yet not be on layoff. A temporal difference (4 weeks vs last week) exists, but the binding issue is the construct mismatch; even with aligned reference periods, work activity and layoff status remain non-equivalent. Therefore the correct classification is a construct-definition conflict with incompatibility for harmonization.",Work activity in last 4 weeks vs layoff-from-job status last week—different constructs (behavioral work participation vs unemployment/layoff condition) and not mappable.,openai,gpt-5.2,"['anthropic', 'openai', 'google']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,Rater A,"All three raters correctly identified that the questions measure fundamentally different constructs. The Survey Question asks about active work performance ('did... work'), whereas the ACS question asks about a specific unemployment status ('on layoff'). These are distinct, often mutually exclusive states in labor force categorization. While there is also a temporal difference (4 weeks vs 1 week), the difference in concept (Construct) is the primary binding constraint making harmonization impossible.",CPS asks about work activity performed; ACS asks about layoff status (employment condition).,google,gemini-3-pro-preview,"['anthropic', 'openai', 'google']",randomized,anthropic,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 and F3, and their reasoning is sound. The CPS question asks about actively performing work during the last 4 weeks, while the ACS question asks about being temporarily absent from a job last week. These represent fundamentally different employment concepts: one measures work activity performed, the other measures temporary absence from an existing job. As Rater B correctly notes, these are mutually exclusive labor force categories under standard ILO definitions (at work vs. with a job but not at work). While there is also a temporal difference (4 weeks vs 1 week), the primary barrier is the conceptual distinction between doing work versus being absent from work. These cannot be harmonized as they capture different dimensions of employment status.",CPS measures whether work was actively performed in the last 4 weeks; ACS measures whether person was temporarily absent from an existing job last week. These are distinct and mutually exclusive employment constructs (active work vs. absence from job).,CPS_0416,anthropic,claude-opus-4-5-20251101,"['openai', 'google', 'anthropic']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,synthesis,"All three raters agree on a construct-definition conflict. The survey item asks whether any work was performed during the last 4 weeks (an 'at work/did work' concept), whereas the ACS item asks whether the person was temporarily absent from a job or business last week (a 'has a job but not at work' concept). These are different employment states and are not interchangeable; moreover, the time frames differ (4 weeks vs last week), but this is secondary to the core construct mismatch. Because one cannot be derived from the other without substantial auxiliary information (e.g., whether the respondent has a job, did any work last week, and the nature of absence), the items are fundamentally incompatible for direct harmonization.",Work performed in last 4 weeks vs temporary absence from a job last week (at-work activity vs absent-from-job status; different constructs and reference periods).,openai,gpt-5.2,"['openai', 'google', 'anthropic']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,Rater A,"All three raters correctly identified that these questions measure fundamentally different concepts (Construct Definition). One question asks about active work performance ('doing work'), while the other asks about a specific employment status ('temporarily absent'). In labor force statistics, 'at work' and 'with a job but not at work' are distinct, mutually exclusive states. Additionally, the reference periods differ (4 weeks vs 1 week), further solidifying the incompatibility (F3).",CPS asks about doing work in the last 4 weeks (activity); ACS asks about being temporarily absent from a job last week (status/state).,google,gemini-3-pro-preview,"['openai', 'google', 'anthropic']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
TC.2,F3,synthesis,"All three raters unanimously agree on TC.2 (temporal framing) with F3 (incompatible) feasibility. The CPS question asks about work activity within a bounded 4-week window (yes/no participation), while the ACS question asks when the person last worked (a point-in-time/recency question with no upper bound). These represent fundamentally different temporal framings: one measures presence of activity within a defined period, the other measures time elapsed since last work event. The constructs captured are different - recent labor force participation vs. work history recency - making direct harmonization impossible. While one could potentially derive partial overlap (e.g., someone who worked 'last week' on ACS would satisfy CPS's 4-week criterion), the reverse mapping is not possible, and the questions fundamentally operationalize employment timing differently.",CPS measures work activity within a bounded 4-week retrospective window (binary participation); ACS measures when person last worked (unbounded recency/point-in-time question). Different temporal framings capture different constructs.,CPS_0417,anthropic,claude-opus-4-5-20251101,"['google', 'openai', 'anthropic']",randomized,synthesis,TC.2,F3,TC.2,F3,TC.2,F3,TC.2,F3,B,"All three raters agree the binding issue is temporal framing: the survey question is a binary indicator of any work within a fixed 4-week reference window, while the ACS question asks for recency/when last worked (a point-in-time/retrospective timing measure that can extend beyond 4 weeks). Without additional information to map ACS responses to a strict “worked in last 4 weeks” indicator (or to transform the survey’s binary into time-since-last-work), the measures are not directly harmonizable; the incompatibility is driven by the different temporal framing rather than response scale alone.","Fixed 4-week activity window (any work in last 4 weeks) vs recency/when last worked (time-since/last event, unbounded beyond 4 weeks).",openai,gpt-5.2,"['google', 'openai', 'anthropic']",randomized,openai,TC.2,F3,TC.2,F3,TC.2,F3,TC.2,F3,Rater B,"All three raters correctly identify the barrier as a difference in temporal framing (TC.2). The first question asks for the presence of an event within a specific, bounded window (binary Yes/No for the last 4 weeks), while the second question asks for the specific timing of the most recent occurrence (recency/date). These represent different temporal structures: one is a duration-bounded existence check, and the other is a time-since-event measure. Because mapping between a specific 4-week window and a general 'last worked' date (often captured in broader categories like 'within past 12 months' in ACS data) is not possible without significant information loss or indeterminacy, the feasibility is F3 (Incompatible).",Survey asks for presence of work in a fixed 4-week window; ACS asks for the date/recency of the last work event.,google,gemini-3-pro-preview,"['google', 'openai', 'anthropic']",randomized,openai,TC.2,F3,TC.2,F3,TC.2,F3,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) as the barrier code, which is clearly correct - the CPS asks about any work in the past 12 months while ACS asks about work in the last week. The disagreement is on feasibility. Raters A and C code F2, while Rater B codes F3. The key consideration is that these reference periods are nested (last week is contained within past 12 months), creating an asymmetric but not completely incompatible relationship. A 'yes' on ACS implies 'yes' on CPS, but not vice versa. This allows for partial harmonization with statistical modeling - one could estimate weekly employment rates from annual employment data using labor force statistics, or identify a subset of annual workers who are current workers. While imperfect, this is not fundamentally incompatible (F3), but rather requires statistical adjustment (F2). The populations measured overlap substantially, just with different temporal precision.","CPS uses a 12-month reference period ('at any time during the past 12 months') while ACS uses a 1-week reference period ('LAST WEEK'), creating asymmetric mapping where weekly workers are a subset of annual workers.",CPS_0418,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F3,TC.1,F2,TC.1,F3,B,"All three raters agree the primary barrier is temporal reference period length: CPS asks whether worked at any time in the past 12 months, while ACS asks whether worked for pay last week. This is not a simple recode because the measures target different employment populations (any work during a year vs current/very recent work). Without additional information on timing and duration of work within the 12-month window, CPS cannot be validly transformed into last-week employment, and ACS cannot represent annual-any-work prevalence beyond a one-way implication (ACS yes => CPS yes). Because the concepts implied by the time windows are effectively incompatible for harmonized measurement without external data, the appropriate feasibility is incompatible.","Mismatch in reference period length (past 12 months vs last week), yielding different populations (any annual work vs last-week work).",openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,anthropic,TC.1,F2,TC.1,F3,TC.1,F2,TC.1,F2,A,"All three raters agree on the barrier code TC.1 (Reference period length). The reference periods (12 months vs. 1 week) are the primary constraint. Regarding feasibility, Rater A and C correctly identify F2 over F3. While the periods are vastly different, they are nested: working 'last week' logically implies working in the 'past 12 months'. This asymmetric relationship allows for harmonization via statistical modeling or logical inference (for the 'yes' cases), distinguishing it from completely incompatible concepts.","CPS uses a 12-month reference period ('past 12 months'), while ACS uses a 1-week reference period ('LAST WEEK').",google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,openai,TC.1,F2,TC.1,F3,TC.1,F2,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) as the barrier code, correctly identifying the 12-month vs 1-week temporal mismatch as the primary issue. The disagreement is on feasibility: Raters A and B code F2 (statistical adjustment), while Rater C codes F3 (incompatible). While Rater C makes a valid point that these capture different employment populations (anyone who worked in past year vs current workers), statistical bridging is possible through modeling employment transitions and using external data on employment stability. The populations overlap substantially (current workers are a subset of those who worked in past 12 months), and with appropriate assumptions about employment patterns, statistical adjustment can approximate harmonization. F2 is more appropriate than F3 because the measures are on the same underlying dimension (employment) and can be related through known labor force dynamics, even if imperfectly.",CPS asks about any work in the past 12 months; ACS asks about any paid work in the last week (12-month vs 1-week reference periods),CPS_0419,anthropic,claude-opus-4-5-20251101,"['openai', 'google', 'anthropic']",randomized,synthesis,TC.1,F2,TC.1,F3,TC.1,F2,TC.1,F3,synthesis,"All three raters correctly identify the primary barrier as a reference-period length mismatch: CPS is retrospective over the past 12 months (any work at any time), while ACS is point-in-time for last week (any paid work, even 1 hour). This temporal mismatch effectively changes the measured construct from ""worked at all in the last year"" to ""currently working,"" producing fundamentally different employment populations. Because you cannot deterministically or reliably statistically convert last-week employment into past-12-month employment (or vice versa) without strong, usually untenable assumptions about employment dynamics and intermittency, the most appropriate feasibility rating is incompatible (F3).","Reference period length mismatch: past 12 months (any time worked) vs last week (any paid work), yielding different employment constructs (annual work experience vs current work).",openai,gpt-5.2,"['openai', 'google', 'anthropic']",randomized,synthesis,TC.1,F2,TC.1,F3,TC.1,F2,TC.1,F2,Rater A,"All three raters correctly identify the primary barrier as TC.1 (Reference period length), contrasting the 12-month window of the Survey question against the 1-week window of the ACS question. Regarding feasibility, F2 is the more appropriate classification than F3. While the populations differ (current vs. recent workers), the underlying concept (participation in employment) is the same. There is a logical implication in one direction (working last week implies working in the past 12 months), which allows for harmonization through statistical adjustment or imputation, whereas F3 implies the concepts are disjoint or unmappable.",Survey asks about work in the past 12 months; ACS asks about work in the last week (12-month vs 1-week reference periods).,google,gemini-3-pro-preview,"['openai', 'google', 'anthropic']",randomized,openai,TC.1,F2,TC.1,F3,TC.1,F2,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Construct - Concept definition) with F3 (Incompatible) feasibility. The CPS question asks about work history over the past 12 months (whether someone worked at any point), while the ACS question asks about current layoff status (whether someone was on layoff last week). These are fundamentally different constructs: one measures employment activity over time, the other measures a specific employment condition at a point in time. A person could have worked in the past 12 months AND be on layoff last week, or have worked in the past 12 months and NOT be on layoff. The concepts are orthogonal and cannot be harmonized. While there is also a temporal difference (12 months vs. last week), the primary barrier is the construct difference - even if the time periods matched, 'worked at a job' and 'on layoff from a job' measure different labor market concepts.",CPS measures 12-month work history (whether person worked at any time); ACS measures current layoff status (employment condition last week). These are orthogonal labor market constructs that cannot be harmonized.,CPS_0420,anthropic,claude-opus-4-5-20251101,"['google', 'openai', 'anthropic']",randomized,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,B,"The two questions measure fundamentally different labor force concepts: the survey question is about any employment/activity at a job or business at any time in the past 12 months (work history), whereas the ACS item is a point-in-time status about being on layoff from a job last week (a specific unemployment/employment-status condition). The mismatch is not just temporal; being on layoff last week is neither a subset nor a direct proxy for having worked at any time in the past year, and the relationship depends on additional information (e.g., whether the person has a job to be laid off from, whether they worked earlier in the year, etc.). Harmonizing would require strong, unverifiable assumptions and would not yield a comparable variable, so the measures are incompatible.",Work at any time in past 12 months (employment history) vs on layoff from a job last week (point-in-time layoff status); different core constructs and reference periods with no direct mapping.,openai,gpt-5.2,"['google', 'openai', 'anthropic']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,B,"The two questions measure fundamentally different concepts (Construct Constraint). One asks about any work activity over a 12-month retrospective period, while the other asks about a specific labor force status (being on layoff) during a 1-week reference period. While there is also a temporal mismatch, the primary barrier is that 'working' and 'being on layoff' are distinct, non-equivalent labor market states. It is impossible to map one to the other (e.g., someone who worked in the past year is not necessarily on layoff last week, and vice versa).",Survey Question measures work experience over the past 12 months; ACS measures layoff status for the previous week.,google,gemini-3-pro-preview,"['google', 'openai', 'anthropic']",randomized,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
CC.1,F3,synthesis,"All three raters unanimously agree on CC.1 (Concept definition) with F3 (Incompatible) feasibility. The CPS question asks about work activity at any point during the past 12 months (employment history), while the ACS question asks about temporary absence from a job last week (current employment status condition). These are fundamentally different constructs: one measures whether someone has worked at all in a year, while the other measures whether someone with a job was temporarily away from it in a specific week. While there is also a temporal difference (12 months vs. last week), the primary barrier is conceptual - these questions measure entirely different dimensions of employment. A 'yes' to the CPS question tells us nothing about whether someone was temporarily absent from work last week, and vice versa.",CPS measures 12-month work history (any employment); ACS measures temporary absence from current job last week (employment status condition). These are distinct employment constructs that cannot be harmonized.,CPS_0421,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,synthesis,"The items do not measure the same underlying concept. The survey question asks whether the person worked at any job or business at any time during the past 12 months (a retrospective work-experience measure). The ACS item asks whether the person was temporarily absent from a job or business last week (a point-in-time labor force status condition that presumes having a current job). Even though reference periods differ, the binding problem is conceptual: past-year work experience is not equivalent to, nor a proxy for, being temporarily absent from a current job last week. Therefore direct harmonization is not feasible.",Work-anytime-in-past-12-months (work experience) vs temporarily absent from a job last week (current job attachment/point-in-time status).,openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,synthesis,CC.1,F3,CC.1,F3,CC.1,F3,CC.1,F3,A,"All three raters correctly identify a fundamental difference in construct. The 'Survey Question' measures employment history/activity over a 12-month period ('worked at a job... at any time'), while the ACS question measures a specific employment status condition ('temporarily absent') during a specific reference week ('LAST WEEK'). These are distinct concepts (activity vs. status) with incompatible reference periods, making harmonization impossible.",Survey Question measures work history over 12 months; ACS measures temporary absence from a job last week (different constructs and distinct reference periods).,google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,openai,CC.1,F3,CC.1,F3,CC.1,F3,3,"anthropic,openai,google"
RS.1,F1,A,"While Raters B and C both coded TC.2, their reasoning overstates the incompatibility. The ACS question 'When did this person last work?' has response categories that include time-bounded options (e.g., 'Within the past 12 months', '1 to 5 years ago', etc.). This means ACS responses CAN be recoded to match the CPS binary (worked/did not work in past 12 months) by collapsing the 'within past 12 months' category to 'Yes' and other categories to 'No'. The primary barrier is the response scale format difference (binary Yes/No vs. categorical time-since-work), not an irreconcilable temporal construct difference. Both questions ultimately can identify whether someone worked in the past 12 months - they just capture this information differently. Rater A correctly identifies this as a response scale difference that is mechanically transformable.",CPS uses binary Yes/No for work in past 12 months; ACS uses categorical time-since-last-work scale that can be recoded to match the 12-month threshold.,CPS_0422,anthropic,claude-opus-4-5-20251101,"['google', 'openai', 'anthropic']",randomized,google,TC.2,F3,TC.2,F3,RS.1,F1,TC.2,F2,synthesis,"The binding difference is temporal framing: CPS asks a bounded yes/no about any work in the past 12 months, while ACS asks an unbounded recency question (time since last worked). However, because ACS response categories typically include a threshold that can be collapsed to indicate whether last work occurred within the past 12 months, the measures can be aligned to the CPS concept under an assumption that “last worked within 12 months” serves as a proxy for “worked at any time in the past 12 months.” This is not a purely mechanical recode in all cases (it depends on category boundaries and assumes no intermittent work after the last-work date concept), so harmonization is feasible but requires assumptions rather than being fundamentally incompatible.",Bounded 12-month retrospective (any work) vs unbounded time-since-last-work recency question; alignment requires collapsing ACS categories to a within-12-month indicator with assumptions.,openai,gpt-5.2,"['google', 'openai', 'anthropic']",randomized,synthesis,TC.2,F3,TC.2,F3,RS.1,F1,RS.1,F1,Rater A,"Rater A correctly identifies that despite the different question stems (temporal framing vs. recency), the response scales are compatible for harmonization. The ACS question typically includes response categories (e.g., 'Within the past 12 months') or year values that can be mechanically recoded into the binary Yes/No format of the comparison question. Raters B and C incorrectly classify this as 'Incompatible' (F3); however, since the information in the ACS question subsumes the 12-month binary indicator, this is a resolvable scale difference (F1) rather than a fundamental blocking conflict.","One question uses a binary Yes/No format for a 12-month period, while the other uses a categorical scale or specific date for time since last work.",google,gemini-3-pro-preview,"['google', 'openai', 'anthropic']",randomized,google,TC.2,F3,TC.2,F3,RS.1,F1,3,"anthropic,openai,google"
TC.1,F2,synthesis,"All three raters unanimously agree on TC.1 (reference period length) with F2 feasibility. The core barrier is clearly the temporal mismatch: CPS asks about work in the last 4 weeks while ACS asks about work in the last week. This is a classic reference period length difference. While Rater A notes an additional construct issue ('this work' vs general paid work), the primary barrier that must be resolved first is the temporal one. Statistical adjustment would be required to estimate equivalence, as someone who worked in a 4-week window may not have worked in any specific 1-week subset. The consensus is well-founded.",CPS uses a 4-week reference period while ACS uses a 1-week reference period for measuring recent work activity,CPS_0423,anthropic,claude-opus-4-5-20251101,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters converge on the same primary issue: the questions use different reference-period lengths (CPS: last 4 weeks; ACS: last week). This is a temporal comparability problem where a 'yes' over 4 weeks is not equivalent to a 'yes' in the last week, and neither can be mechanically recoded into the other without assumptions about work patterns. While there is also some construct nuance (CPS wording refers to 'this work' in context; ACS specifies 'work for pay'), the binding constraint for harmonization is the mismatch in time window, which must be addressed first. Harmonization would therefore require statistical adjustment or modeling rather than direct recode.","Different reference period length for work activity (last 4 weeks vs last week), making responses non-equivalent without assumptions/modeling.",openai,gpt-5.2,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,TC.1,F2,synthesis,"All three raters correctly identified the primary barrier as a mismatch in the length of the reference period (TC.1). The Survey Question asks about activity in the 'last 4 weeks', while the ACS Question asks about activity 'LAST WEEK'. This creates a harmonization barrier because a positive response in the 4-week window does not guarantee a positive response in the 1-week window. Feasibility is F2 (Statistical adjustment) because transforming the 4-week measure to the 1-week measure requires modeling assumptions about the distribution of work activity over time.","Reference period length differs: Survey Question uses a 4-week window, while ACS uses a 1-week window.",google,gemini-3-pro-preview,"['openai', 'anthropic', 'google']",fixed,synthesis,TC.1,F2,TC.1,F2,TC.1,F2,3,"anthropic,openai,google"
