pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,_recoded_from_openai,primary_barrier_anthropic,feasibility_anthropic,specific_conflict_anthropic,additional_barriers_anthropic,reasoning_anthropic,_recoded_from_anthropic,primary_barrier_google,feasibility_google,specific_conflict_google,additional_barriers_google,reasoning_google,rater_coverage_count,rater_coverage
CPS_0010,CC.2,F3,CPS asks whether any household member experienced a change in marital status since the last interview (event/change indicator); ACS asks the lifetime number of times the person has been married (a cumulative count).,['TC.2'],The items operationalize marital status differently (event/change vs lifetime count); temporal framing (since last interview vs lifetime) prevents direct consolidation.,,CC.1,F3,CPS asks about changes in marital status (event occurrence); ACS asks about cumulative count of marriages (lifetime history),['TC.2'],"Fundamentally different constructs: CPS measures whether a change occurred since last interview (binary event), while ACS measures total number of times married (count variable). These operationalize marital history differently and cannot be mechanically reconciled.",,CC.1,F3,"The CPS question tracks longitudinal changes in status between interview waves, while the ACS question measures lifetime cumulative frequency.",['TC.2'],These measure fundamentally different concepts: the occurrence of an event within a specific window (CPS) versus a life-history count (ACS). You cannot derive one from the other.,3,"openai,anthropic,google"
CPS_0011,CC.2,F3,CPS asks about any change in marital status since the last interview (occurrence of any marital-status event); ACS asks the calendar year of the person's last marriage (date of a specific event).,['TC.2'],Different operationalizations (generic change indicator vs year of last marriage) and differing temporal references make direct harmonization infeasible.,,CC.1,F3,CPS asks about changes in marital status (event occurrence); ACS asks about year of last marriage (temporal marker),['TC.2'],"Different constructs: CPS measures whether change occurred (binary), ACS measures when last marriage occurred (temporal reference point). Cannot be directly consolidated without additional information about current marital status.",,CC.1,F3,"CPS asks for a status change indicator (yes/no) since a specific prior date, while ACS asks for a specific historical year.",['RS.1'],"The CPS is a monitoring question for longitudinal data collection, whereas the ACS is a retrospective point-in-time fact question. There is no mathematical bridge between a binary change indicator and a specific year.",3,"openai,anthropic,google"
CPS_0013,TC.2,F2,"CPS records current marital status (point-in-time categories); ACS asks whether specific marital events (married, widowed, divorced) occurred in the past 12 months (retrospective event reporting).",['CC.2'],Point-in-time status vs recent-event reporting are temporally and operationally different; mapping requires assumptions about transitions and timing (statistical adjustment).,,TC.2,F2,CPS asks current marital status (point-in-time); ACS asks about events in past 12 months (retrospective period),['CC.2'],Temporal framing mismatch: CPS captures current state while ACS captures recent transitions. Would require modeling assumptions to infer current status from 12-month event data or vice versa.,,TC.2,F3,"CPS measures current point-in-time marital status, whereas ACS measures the occurrence of vital events (marriage, divorce, etc.) over a 12-month retrospective window.",['CC.2'],"Current state (CPS) does not imply recent events (ACS). For example, someone currently married could have been married for 20 years or 2 months; the ACS specifically captures the transition.",3,"openai,anthropic,google"
CPS_0014,CC.2,F3,"CPS asks current marital status category (married, widowed, divorced, separated, never married); ACS asks how many times the person has been married (numeric lifetime count).",['CC.1'],"A lifetime marriage count cannot reliably identify current status categories (e.g., divorced vs currently married), so the constructs are incompatible for direct consolidation.",,RS.1,F3,CPS uses categorical response format (current marital status categories); ACS uses numeric count format (number of times married),['CC.1'],Fundamentally different response scales and constructs. CPS categorical state variable cannot be directly converted to ACS numeric count variable without additional data on marriage history.,,CC.1,F3,"The CPS uses a categorical scale for current relationship status, whereas the ACS uses a numeric count for lifetime marital history.",['RS.1'],Construct definition mismatch: being 'Married' (CPS status) does not tell you if it is the first or third marriage (ACS count).,3,"openai,anthropic,google"
CPS_0015,CC.2,F3,CPS records current marital status (point-in-time); ACS asks the year the person last got married (date of a specific marital event).,['TC.2'],"Current status and the calendar year of last marriage are different operationalizations and time frames; without additional data on intervening events, they cannot be directly harmonized.",,CC.1,F3,CPS asks current marital status (categorical state); ACS asks year of last marriage (temporal marker),['RS.1'],Different constructs and response formats. CPS categorical status cannot be directly mapped to ACS year variable. Would require additional information to reconcile.,,CC.1,F3,"The CPS measures current categorical marital status, while the ACS identifies the specific calendar year of the most recent marriage.",['TC.2'],The variables measure different dimensions of the marital construct (status vs. timing).,3,"openai,anthropic,google"
CPS_0016,CC.2,F2,"CPS asks usual hours per week at the (job/main job); ACS asks usual hours per week 'at this rate' (i.e., the job referenced by a preceding pay/rate question) — the job referent and routing differ.",['MC.2'],Both ask usual weekly hours but differ in the job referent and questionnaire routing; harmonization is possible but requires linkage of job context or modeling to align referents.,,MC.2,F1,CPS specifies 'main job' in question routing; ACS specifies 'at this rate' (contextual reference to prior question),[],Minor contextual/routing differences in how the question is framed. Both ask about usual hours per week but with slightly different job scope clarifications. Mechanically reconcilable through standardized recoding.,,TC.1,F2,"CPS reference period is 'now' (current usual hours), while ACS reference period is 'past 12 months' (usual hours during the weeks worked).",['MC.2'],"While the wording is near-identical, the surrounding questionnaire context and reference periods differ. ACS usually requires averaging across a longer period if employment was intermittent.",3,"openai,anthropic,google"
CPS_0017,CC.2,F2,"CPS asks usual hours per week at the (job/main job); ACS asks usual hours per week 'at this rate' (job referenced earlier), so the specific job referent may differ.",['MC.2'],Minor operational difference in job referent and routing; consolidation requires matching which job 'this rate' refers to or applying adjustment rules.,,MC.2,F1,CPS specifies 'main job' in question routing; ACS specifies 'at this rate' (contextual reference to prior question),[],Minor contextual/routing differences in how the question is framed. Both ask about usual hours per week but with slightly different job scope clarifications. Mechanically reconcilable through standardized recoding.,,TC.1,F2,"CPS reference period is 'now' (current usual hours), while ACS reference period is 'past 12 months'.",['MC.1'],The difference in survey reference periods for 'usual' behavior (current vs. 12-month lookback) requires statistical adjustment to align estimates.,3,"openai,anthropic,google"
CPS_0018,CC.2,F2,"CPS asks usual hours per week at the (job/main job); ACS asks usual hours per week 'at this rate', creating potential mismatch in job referent and context.",['MC.2'],Substantively near-duplicate but different referent/routing; harmonization is achievable with mapping or assumptions about which job is meant.,,MC.2,F1,CPS specifies 'main job' in question routing; ACS specifies 'at this rate' (contextual reference to prior question),[],Minor contextual/routing differences in how the question is framed. Both ask about usual hours per week but with slightly different job scope clarifications. Mechanically reconcilable through standardized recoding.,,TC.1,F2,"CPS reference period is 'now' (current usual hours), while ACS reference period is 'past 12 months'.",[],The core barrier is the temporal alignment between point-in-time employment and annual retrospective reporting.,3,"openai,anthropic,google"
CPS_0019,CC.2,F2,CPS asks usual hours per week at the (job/main job); ACS asks usual hours per week 'at this rate' — job referent ambiguity and routing differ.,['MC.2'],Questions are similar in intent but differ in which job is referenced; alignment requires linking job context or adjustment.,,MC.2,F1,CPS specifies 'main job' in question routing; ACS specifies 'at this rate' (contextual reference to prior question),[],Minor contextual/routing differences in how the question is framed. Both ask about usual hours per week but with slightly different job scope clarifications. Mechanically reconcilable through standardized recoding.,,TC.1,F2,"CPS reference period is 'now' (current usual hours), while ACS reference period is 'past 12 months'.",[],Identical wording hides a fundamental temporal framing difference inherent to the two surveys' designs.,3,"openai,anthropic,google"
CPS_0020,RS.3,F1,Wording differs slightly: CPS asks how many hours are usually worked per week at the job/main job; ACS asks for the respondent's 'best estimate' of usual weekly hours 'at this rate' — a minor phrasing/anchoring difference.,[],"The formats and referents are effectively the same; only a small anchoring/wording difference exists, so direct recoding/harmonization is feasible.",,RS.3,F1,ACS adds 'best estimate' language and 'what is your' phrasing; CPS uses direct question format,[],Minimal difference in verbal anchoring and question framing. Both ask identical core construct (usual hours per week). Difference is stylistic/instructional only. Directly harmonizable through simple recoding or standardization.,,RS.3,F1,ACS explicitly asks for an 'estimate' whereas CPS asks for the 'usual' amount.,['TC.1'],"The addition of 'best estimate' in ACS is a minor verbal anchor difference intended to reduce respondent burden, but the numeric result is directly recodable.",3,"openai,anthropic,google"
CPS_0021,CC.2,F3,CPS asks usual hours per week (hours intensity); ACS asks whether the person worked every week in the past 12 months (a yes/no weeks indicator).,['TC.2'],The two items measure different operational indicators (hours intensity vs binary weeks-worked status) so they are fundamentally incompatible; they also differ in temporal framing (point-in-time usual vs past-12-month retrospective).,,TC.1,F3,CPS asks usual hours per week (point-in-time); ACS asks whether worked every week in past 12 months (yes/no binary),"['CC.2', 'RS.1']","Fundamentally different constructs: one measures intensity (hours), the other measures consistency (every week vs not). Different reference periods (usual vs past 12 months) and completely different response scales (numeric hours vs binary yes/no) make these incompatible.",,CC.2,F3,CPS measures weekly hours (intensity); ACS measures work persistence (binary 52-week status).,['TC.1'],"The constructs are fundamentally different: one is a continuous measure of hours at a point in time, the other is a binary indicator of year-round work status.",3,"openai,anthropic,google"
CPS_0022,CC.2,F3,"CPS asks usual hours per week; ACS asks number of weeks worked in the past 12 months (weeks count), different constructs.",['TC.1'],"The ACS item measures weeks worked over a 12-month reference while CPS measures usual weekly hours — different indicators that cannot be directly recoded without strong, unverifiable assumptions.",,CC.2,F3,CPS asks hours per week; ACS asks number of weeks worked in past 12 months,['TC.1'],"These measure different behavioral dimensions entirely. CPS operationalizes work intensity (hours/week), while ACS operationalizes work frequency (weeks/year). Cannot be directly consolidated without losing information about the other dimension.",,CC.2,F3,CPS measures hours per week; ACS measures total weeks per year.,['TC.1'],These questions measure different dimensions of labor supply (weekly intensity vs. annual duration) that cannot be directly reconciled into a single variable.,3,"openai,anthropic,google"
CPS_0023,TC.2,F2,CPS asks usual/current hours per week (point-in-time/usual); ACS asks usual hours per week during the weeks worked over the PAST 12 MONTHS (retrospective/yearly frame).,['CC.4'],"Primary issue is temporal framing (point-in-time usual vs retrospective 12-month usual); harmonization may be possible with statistical adjustment or restricting ACS records to recent/current workers, but scope (conditional on weeks worked) also differs.",,TC.2,F2,CPS asks usual hours (habitual/current); ACS asks usual hours in weeks worked during past 12 months (retrospective conditional),['CC.3'],Both ask about usual hours per week but with different temporal framing. CPS is habitual/current while ACS is retrospective over 12 months and conditional on weeks actually worked. Could be statistically adjusted but requires assumptions about work stability.,,TC.1,F2,CPS asks for current usual hours; ACS asks for usual hours retrospectively over the past 12 months.,['CC.1'],"While both measure usual hours, the reference periods differ (point-in-time vs. 12-month average), requiring statistical adjustment to account for seasonal or life-event changes.",3,"openai,anthropic,google"
CPS_0024,CC.4,F2,CPS asks hours usually worked at 'other job(s)' in aggregate; ACS asks hours usually worked 'per week at this rate' (job- or rate-specific).,['MC.3'],"The ACS item is job/rate-specific while CPS requests an aggregate across other jobs, so mapping requires combining job-level ACS records or disaggregating CPS, and the ACS phrasing is context-dependent (linked to a rate question).",,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question,[],"Question routing/filtering difference. CPS explicitly targets secondary jobs while ACS phrasing suggests it may apply to primary or unspecified job. Mechanically could be recoded if ACS context is clarified, but scope differs.",,CC.4,F2,CPS specifically targets secondary ('other') jobs; ACS targets hours tied to a specific pay rate.,['MC.2'],"The scope of work being measured differs; CPS is restricted to jobs other than the main one, while the ACS question is contextual to a specific pay rate mentioned previously.",3,"openai,anthropic,google"
CPS_0025,CC.4,F2,CPS asks aggregate usual hours at other job(s); ACS asks usual hours per week 'at this rate' (job-specific).,['MC.3'],Same issue as CPS_0024: scope mismatch between aggregated 'other jobs' (CPS) and job-specific/rate-specific ACS item; harmonization would require linking or summing job-level responses.,,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question,[],"Question routing/filtering difference. CPS explicitly targets secondary jobs while ACS phrasing suggests it may apply to primary or unspecified job. Mechanically could be recoded if ACS context is clarified, but scope differs.",,CC.4,F2,CPS specifically targets secondary ('other') jobs; ACS targets hours tied to a specific pay rate.,['MC.2'],"The scope of work being measured differs; CPS is restricted to jobs other than the main one, while the ACS question is contextual to a specific pay rate mentioned previously.",3,"openai,anthropic,google"
CPS_0026,CC.4,F2,CPS asks usual hours at other job(s) (aggregate); ACS asks hours usually worked per week 'at this rate' for a specific job/rate.,['MC.3'],Same as above — a scope/component mismatch (aggregate vs job-specific) and questionnaire context linking ACS item to a particular job/rate prevents direct consolidation without modeling or reconstructing job-level totals.,,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question,[],"Question routing/filtering difference. CPS explicitly targets secondary jobs while ACS phrasing suggests it may apply to primary or unspecified job. Mechanically could be recoded if ACS context is clarified, but scope differs.",,CC.4,F2,CPS specifically targets secondary ('other') jobs; ACS targets hours tied to a specific pay rate.,['MC.2'],"The scope of work being measured differs; CPS is restricted to jobs other than the main one, while the ACS question is contextual to a specific pay rate mentioned previously.",3,"openai,anthropic,google"
CPS_0027,CC.4,F2,CPS asks aggregate usual hours for other jobs; ACS asks job-/rate-specific usual hours per week.,['MC.3'],Identical barrier to CPS_0024–0026: component/scope mismatch (aggregate other jobs vs job-specific ACS item) plus contextual linkage in ACS.,,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question,[],"Question routing/filtering difference. CPS explicitly targets secondary jobs while ACS phrasing suggests it may apply to primary or unspecified job. Mechanically could be recoded if ACS context is clarified, but scope differs.",,CC.4,F2,CPS specifically targets secondary ('other') jobs; ACS targets hours tied to a specific pay rate.,['MC.2'],"The scope of work being measured differs; CPS is restricted to jobs other than the main one, while the ACS question is contextual to a specific pay rate mentioned previously.",3,"openai,anthropic,google"
CPS_0028,CC.4,F2,CPS requests usual hours at other job(s) (aggregate); ACS asks for best estimate of hours per week 'at this rate' (job-/rate-specific).,['MC.3'],"Although wording ('best estimate') differs, the dominant problem is scope: ACS ties hours to a specific job/rate while CPS asks about other jobs collectively, requiring aggregation or disaggregation to harmonize.",,RS.3,F1,CPS asks direct estimate; ACS asks for 'best estimate' with explicit qualifier,['MC.2'],"Subtle difference in anchoring/framing. ACS's 'best estimate' phrasing may prime respondents differently, potentially affecting response quality. CPS targets secondary jobs while ACS scope is unclear. Mechanically reconfigurable but response patterns may differ.",,CC.4,F2,CPS targets secondary job hours; ACS asks for an estimate of hours at a specific pay rate.,['RS.3'],"CPS asks for a factual 'usual' count while ACS explicitly asks for a 'best estimate,' in addition to the scope difference regarding which job is being referenced.",3,"openai,anthropic,google"
CPS_0029,CC.2,F3,CPS asks usual hours per week at other job(s); ACS asks whether the person worked every week during the past 12 months (yes/no weeks indicator).,"['TC.2', 'CC.4']","The items measure different constructs (hours intensity vs a binary weeks-worked status), with a temporal retrospective frame on the ACS and a scope mismatch (aggregate other jobs vs ACS weeks question), so they are not directly harmonizable.",,CC.2,F3,CPS asks hours per week at other jobs; ACS asks whether worked every week in past 12 months (binary),"['TC.1', 'RS.1']","Fundamentally different operationalizations. CPS measures work intensity (hours), ACS measures work consistency (every week yes/no). Different reference periods and completely different response scales make consolidation impossible.",,CC.2,F3,CPS measures secondary job hours; ACS measures 12-month work consistency (binary).,['TC.1'],The questions measure completely different aspects of employment (secondary job intensity vs. total annual employment consistency) and cannot be merged.,3,"openai,anthropic,google"
CPS_0030,CC.2,F3,CPS asks usual hours per week at other job(s); ACS asks how many weeks in the past 12 months the person worked (weeks count).,['TC.1'],"The ACS item counts weeks worked over a 12-month period while CPS measures usual weekly hours (a different indicator and time framing), so direct consolidation is infeasible without strong assumptions.",,CC.2,F3,CPS asks hours per week at other jobs; ACS asks number of weeks worked in past 12 months,['TC.1'],"These measure orthogonal dimensions of employment. CPS operationalizes intensity (hours/week), ACS operationalizes frequency (weeks/year). Cannot be consolidated without losing one dimension of information.",,CC.2,F3,CPS measures secondary job hours; ACS measures total weeks worked in the year.,['TC.1'],These represent different dimensions of labor participation (hours per week at a specific subset of jobs vs. total weeks worked in the year).,3,"openai,anthropic,google"
CPS_0031,TC.1,F2,CPS asks about current/usual hours at an other job (point-in-time usual); ACS asks about usual weekly hours across weeks worked over the PAST 12 MONTHS.,"['TC.2', 'CC.4']",The main problem is a temporal reference mismatch (current/usual vs 12-month retrospective usual). Harmonization would require modeling seasonal/within-year variation and reconciling job scope (CPS explicitly 'other job' vs ACS context-dependent job reference).,,TC.1,F2,CPS asks about usual hours per week (habitual); ACS asks about hours per week during weeks worked in past 12 months (retrospective annual average),['TC.2'],"Primary issue is reference period length difference. CPS captures current usual pattern while ACS requires retrospective recall and averaging over 52-week period, potentially yielding different values due to seasonal variation or employment changes.",,TC.1,F2,CPS focuses on current 'usual' hours at other jobs; ACS asks for a 12-month retrospective average.,['CC.4'],"The reference periods differ significantly (current vs. 12 months). Additionally, the CPS question specifically targets 'other jobs' while ACS refers to work in general, creating a scope mismatch.",3,"openai,anthropic,google"
CPS_0032,RS.1,F1,CPS uses a binary 35+ hours threshold; ACS elicits a numeric usual hours value ('how many hours...').,['CC.4'],"This is primarily a response-format difference (categorical yes/no vs numeric). A direct recode is usually possible (numeric >=35 -> yes), but scope (CPS may ask about all jobs combined) or the ACS item context (specific job/rate) may require attention.",,RS.1,F1,CPS uses binary threshold question (35+ hours yes/no); ACS asks for continuous numeric hours per week,['TC.2'],"Primary issue is scale type difference. CPS produces categorical binary output while ACS produces continuous numeric data. Can be recoded from ACS continuous to binary threshold, but information loss occurs in CPS→ACS direction.",,RS.1,F1,"CPS uses a categorical threshold (35+ hours), while ACS collects continuous numeric data.",['CC.3'],"The response formats are fundamentally different (binary/ordinal vs. ratio). While ACS continuous data can be collapsed into the CPS 35+ category, the reverse is not possible.",3,"openai,anthropic,google"
CPS_0033,RS.1,F1,CPS asks a 35+ hours binary; ACS elicits a numeric usual hours per week at a given rate.,['CC.4'],"Binary vs numeric response formats are the dominant barrier; numeric ACS responses can be thresholded to produce the CPS binary, but differences in job scope/context may need adjustment.",,RS.1,F1,CPS uses binary threshold question (35+ hours yes/no); ACS asks for continuous numeric hours per week,['TC.2'],"Primary issue is scale type difference. CPS produces categorical binary output while ACS produces continuous numeric data. Can be recoded from ACS continuous to binary threshold, but information loss occurs in CPS→ACS direction.",,RS.1,F1,"CPS asks for a yes/no response based on a 35-hour threshold, whereas ACS asks for the specific number of hours.",['CC.3'],Harmonization is possible via a direct recode by binning the ACS continuous values into the CPS category structure.,3,"openai,anthropic,google"
CPS_0034,RS.1,F1,CPS asks a binary 35+ hours usual; ACS elicits numeric usual hours per week at this rate.,['CC.4'],"Same response-scale mismatch as above—derivation of CPS binary from ACS numeric is straightforward, but ensure both refer to the same job(s)/scope.",,RS.1,F1,CPS uses binary threshold question (35+ hours yes/no); ACS asks for continuous numeric hours per week,['TC.2'],"Primary issue is scale type difference. CPS produces categorical binary output while ACS produces continuous numeric data. Can be recoded from ACS continuous to binary threshold, but information loss occurs in CPS→ACS direction.",,RS.1,F1,CPS uses a 35-hour cutoff binary scale; ACS uses a numeric open-ended scale.,[],The primary barrier is the scale type difference. Feasibility is F1 because continuous numeric data can be systematically recoded into a binary category based on the 35-hour threshold.,3,"openai,anthropic,google"
CPS_0035,RS.1,F1,CPS elicits yes/no for usually working 35+ hours; ACS asks for numeric usual hours per week at the rate.,['CC.4'],"Primary obstacle is scale/type of response; direct recoding is possible, subject to verifying that both items reference the same employment scope.",,RS.1,F1,CPS uses binary threshold question (35+ hours yes/no); ACS asks for continuous numeric hours per week,['TC.2'],"Primary issue is scale type difference. CPS produces categorical binary output while ACS produces continuous numeric data. Can be recoded from ACS continuous to binary threshold, but information loss occurs in CPS→ACS direction.",,RS.1,F1,CPS is a qualitative threshold check; ACS is a quantitative point estimate.,[],"The mechanical transformation of ACS numeric data into the CPS 35-hour category is straightforward for researchers, though it results in data loss for the ACS variable.",3,"openai,anthropic,google"
CPS_0036,RS.1,F1,CPS asks whether usual hours are 35+ (binary); ACS asks for a respondent's best estimate of numeric usual hours at this rate.,['CC.4'],"Numeric-to-binary recoding is mechanically possible. However, the ACS wording ('at this rate') may refer to a specific employment context that must match the CPS scope before recoding.",,RS.1,F1,CPS uses binary threshold question (35+ hours yes/no); ACS asks for continuous numeric hours with estimation qualifier,['TC.2'],Primary issue is scale type difference. CPS produces categorical binary output while ACS produces continuous numeric data with explicit estimation instruction. Can be recoded from ACS continuous to binary threshold.,,RS.1,F1,CPS uses a binary threshold; ACS asks for a numeric estimate.,['CC.2'],"The phrasing 'best estimate' in ACS vs. the direct 'usually work' in CPS introduces slight operational differences, but the primary barrier is the scale type (categorical vs. numeric).",3,"openai,anthropic,google"
CPS_0037,CC.2,F3,CPS asks whether the respondent usually works 35+ hours/week; ACS asks whether the person worked every week in the past 12 months (weeks-worked indicator).,['TC.1'],These items measure different behaviors (usual weekly hours vs weeks worked over a year). The constructs are not directly convertible; knowing weeks worked does not determine whether usual weekly hours meet a 35+ threshold.,,CC.1,F3,CPS asks about usual weekly hours (≥35 threshold); ACS asks about year-round work continuity (every week worked in past 12 months),"['TC.1', 'TC.2']",These measure fundamentally different constructs. CPS measures intensity of work (hours per week) while ACS measures continuity of employment (weeks worked per year). Cannot be directly reconciled without additional data on weeks worked.,,CC.2,F3,CPS measures weekly work intensity (hours); ACS measures annual work consistency (weeks worked).,['TC.1'],"These questions measure different constructs: one is about the number of hours worked in a typical week, the other is about the number of weeks worked in a year. They cannot be harmonized into a single metric.",3,"openai,anthropic,google"
