pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude
CPS_0013,TC.2,F3,"CPS asks for current marital status, while ACS asks about events in the past 12 months.",[],"The temporal framing is fundamentally different, making it impossible to harmonize the two questions.",TC.2,F2,CPS asks current marital status (point-in-time categorical); ACS asks about marital events in past 12 months (retrospective period events),['CC.1'],"CPS captures current state (married, widowed, divorced, separated, never married); ACS captures whether specific events occurred in past year. These require different temporal framing and would need statistical modeling to reconcile.",TC,TC
CPS_0014,RS.1,F3,"CPS asks for current marital status, while ACS asks for the number of times married.",[],"The response formats are fundamentally different, with one being categorical and the other being a count.",RS.1,F3,CPS uses categorical response scale (married/widowed/divorced/separated/never married); ACS uses numeric count (number of times married),['CC.2'],Fundamentally different response formats. CPS categorical state cannot be directly converted to ACS numeric count without additional information about marriage history.,RS,RS
CPS_0015,CC.1,F3,"CPS asks about current marital status, while ACS asks for the year of last marriage.",[],The core concept of current status versus historical event creates a fundamental incompatibility.,CC.2,F3,CPS asks current marital status (categorical state); ACS asks year of last marriage (temporal reference point),['RS.1'],Different operationalizations and response formats. Current marital status category does not directly map to a year value without additional historical data.,CC,CC
CPS_0016,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC
CPS_0017,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC
CPS_0018,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC
CPS_0019,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC
CPS_0020,RS.1,F1,"CPS asks for usual hours worked, while ACS asks for an estimate of hours worked.",[],"The response formats are similar enough that a direct recode is possible, despite slight differences in wording.",MC.3,F1,Minor wording difference: CPS uses direct question; ACS adds 'best estimate' qualifier and 'at this rate' contextual reference,[],Both measure identical construct (usual hours per week). Differences are purely stylistic/instructional. ACS's 'best estimate' language and contextual reference are compatible with CPS's direct measurement. Directly reconcilable through standardized wording.,RS,MC
CPS_0021,TC.1,F3,"CPS asks for usual hours per week, while ACS asks if the person worked every week in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS focuses on a weekly basis while ACS looks at a yearly perspective.,TC.1,F3,CPS measures usual hours per week (point-in-time); ACS measures whether person worked every week in past 12 months (yes/no binary),"['CC.2', 'RS.1']","Fundamentally different constructs: one measures intensity (hours), the other measures consistency (every week). Different reference periods (usual vs. past 12 months) and completely different response scales (numeric hours vs. binary yes/no). Cannot be mechanically recoded.",TC,TC
CPS_0022,TC.1,F3,"CPS asks for usual hours per week, while ACS asks for the number of weeks worked in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS measures hours weekly while ACS measures weeks worked over a year.,CC.2,F3,CPS measures hours per week; ACS measures number of weeks worked in past 12 months. These are orthogonal dimensions of work intensity,['TC.1'],These questions operationalize different behavioral indicators of employment. CPS captures weekly intensity; ACS captures annual frequency. Cannot be consolidated without losing information from both dimensions.,TC,CC
CPS_0023,TC.1,F2,"CPS asks for usual hours per week, while ACS asks for hours worked in weeks worked over the past 12 months.",['CC.2'],Primary issue is temporal reference mismatch. CPS measures point-in-time usual hours while ACS retrospectively averages over a year.,TC.2,F2,CPS asks about USUAL hours (habitual/point-in-time); ACS asks about hours in WEEKS WORKED during PAST 12 MONTHS (retrospective average conditional on weeks worked),['CC.2'],"Both measure hours per week but with different temporal framing. CPS is habitual/current; ACS is retrospective and conditional on weeks actually worked. Could be statistically adjusted if weeks worked data available, but requires modeling assumptions.",TC,TC
CPS_0024,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC
CPS_0025,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC
CPS_0026,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC
CPS_0027,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC
CPS_0028,CC.2,F3,CPS asks for hours worked at 'other jobs' while ACS asks for an estimate without context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general and lacks context.,RS.3,F1,CPS asks direct question; ACS adds qualifier 'best estimate' which may affect response precision and respondent confidence,['MC.3'],Both measure same construct (usual hours per week at secondary job) but ACS includes explicit estimation language that may prime different response behavior. Mechanically compatible but with potential response bias differences.,CC,RS
CPS_0029,TC.1,F3,"CPS asks for usual hours per week, while ACS asks if the person worked every week in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS focuses on a weekly basis while ACS looks at a yearly perspective.,CC.2,F3,CPS measures hours per week at secondary job; ACS measures whether person worked every week in past 12 months (binary consistency measure),"['TC.1', 'RS.1']","Completely different operationalizations: one measures intensity (hours), the other measures consistency (every week). Different reference periods and response scales. Fundamentally incompatible.",TC,CC
CPS_0030,TC.1,F3,"CPS asks for usual hours per week, while ACS asks for the number of weeks worked in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS measures hours weekly while ACS measures weeks worked over a year.,CC.2,F3,CPS measures hours per week at secondary job; ACS measures number of weeks worked in past 12 months. These are orthogonal dimensions,['TC.1'],These questions operationalize different behavioral indicators. CPS captures weekly intensity; ACS captures annual frequency. Cannot be consolidated without losing information from both dimensions.,TC,CC
CPS_0031,TC.1,F2,CPS asks about usual hours worked without a specific reference period; ACS specifies the past 12 months.,[],"The primary issue is the reference period length mismatch, as CPS does not define a specific timeframe while ACS does.",TC.1,F2,CPS asks about usual hours per week (habitual); ACS asks about hours per week during weeks worked in past 12 months (retrospective annual average),['TC.2'],"Primary issue is reference period length difference. CPS captures current usual pattern while ACS requires retrospective recall over 12 months and conditions on weeks actually worked, requiring statistical adjustment to harmonize.",TC,TC
CPS_0032,RS.1,F2,"CPS asks if the respondent usually works 35 hours or more, while ACS asks for the number of hours worked without a threshold.",[],The primary barrier is the scale type difference; CPS uses a binary threshold question while ACS requests a numeric response.,RS.1,F1,CPS asks binary yes/no question (35+ hours threshold); ACS asks for continuous numeric response (exact hours per week),[],Fundamental response scale difference. CPS uses categorical threshold while ACS uses open-ended numeric. Can be mechanically recoded by applying 35-hour threshold to ACS continuous data.,RS,RS
CPS_0033,RS.1,F2,"CPS asks if the respondent usually works 35 hours or more, while ACS asks for the number of hours worked without a threshold.",[],The primary barrier is the scale type difference; CPS uses a binary threshold question while ACS requests a numeric response.,RS.1,F1,CPS asks binary yes/no question (35+ hours threshold); ACS asks for continuous numeric response (exact hours per week),[],Fundamental response scale difference. CPS uses categorical threshold while ACS uses open-ended numeric. Can be mechanically recoded by applying 35-hour threshold to ACS continuous data.,RS,RS
CPS_0034,RS.1,F2,"CPS asks if the respondent usually works 35 hours or more, while ACS asks for the number of hours worked without a threshold.",[],The primary barrier is the scale type difference; CPS uses a binary threshold question while ACS requests a numeric response.,RS.1,F1,CPS asks binary yes/no question (35+ hours threshold); ACS asks for continuous numeric response (exact hours per week),[],Fundamental response scale difference. CPS uses categorical threshold while ACS uses open-ended numeric. Can be mechanically recoded by applying 35-hour threshold to ACS continuous data.,RS,RS
CPS_0035,RS.1,F2,"CPS asks if the respondent usually works 35 hours or more, while ACS asks for the number of hours worked without a threshold.",[],The primary barrier is the scale type difference; CPS uses a binary threshold question while ACS requests a numeric response.,RS.1,F1,CPS asks binary yes/no question (35+ hours threshold); ACS asks for continuous numeric response (exact hours per week),[],Fundamental response scale difference. CPS uses categorical threshold while ACS uses open-ended numeric. Can be mechanically recoded by applying 35-hour threshold to ACS continuous data.,RS,RS
CPS_0036,RS.1,F2,"CPS asks if the respondent usually works 35 hours or more, while ACS asks for an estimate of hours worked.",[],The primary barrier is the scale type difference; CPS uses a binary threshold question while ACS requests a numeric estimate.,RS.1,F1,CPS asks binary yes/no question (35+ hours threshold); ACS asks for continuous numeric estimate (exact hours per week with 'best estimate' framing),[],Fundamental response scale difference. CPS uses categorical threshold while ACS uses open-ended numeric with estimation instruction. Can be mechanically recoded by applying 35-hour threshold to ACS continuous data.,RS,RS
CPS_0037,TC.1,F3,CPS asks about usual hours worked without a specific reference period; ACS asks if the person worked every week in the past 12 months.,[],"The primary barrier is the reference period length mismatch, as CPS does not define a specific timeframe while ACS requires a retrospective assessment.",CC.1,F3,CPS asks about hours per week (intensity of work); ACS asks about weeks worked every week in past 12 months (continuity of employment). These measure fundamentally different constructs.,"['TC.1', 'TC.2']","Primary barrier is construct definition difference. CPS measures weekly hours intensity while ACS measures employment continuity/weeks worked. Additionally, temporal reference differs (usual vs. past 12 months) and framing differs (habitual vs. retrospective). These are incompatible measures of different employment dimensions.",TC,CC
CPS_0038,CC.2,F3,"CPS asks about hours worked per week, while ACS asks about the number of weeks worked in the past 12 months.",[],The primary barrier is the operationalization difference; CPS focuses on hours while ACS focuses on weeks worked.,CC.1,F3,CPS asks about hours per week (intensity); ACS asks about number of weeks worked in past 12 months (continuity). These measure distinct employment dimensions.,['TC.1'],Primary barrier is construct definition difference. CPS measures weekly work intensity while ACS measures annual employment continuity/weeks worked. These are fundamentally different constructs that cannot be directly consolidated.,CC,CC
CPS_0039,TC.1,F2,CPS asks about usual hours worked without a specific reference period; ACS asks about hours worked in the past 12 months.,[],"The primary barrier is the reference period length mismatch, as CPS does not define a specific timeframe while ACS does.",TC.2,F2,CPS asks about usual hours per week (habitual/current); ACS asks about hours per week during weeks worked in past 12 months (retrospective conditional average),['CC.2'],Primary issue is temporal framing difference. CPS captures current usual pattern while ACS requires retrospective recall over 12 months conditioned on weeks actually worked. Operationalization differs in how hours are measured (usual vs. actual weeks worked average). Requires statistical adjustment.,TC,TC
CPS_0040,TC.1,F3,"CPS asks about hours worked the week before last, while ACS asks for usual hours worked.",[],"The primary barrier is the reference period length mismatch, as CPS focuses on a specific week while ACS asks for a general estimate.",TC.1,F3,CPS asks about specific recent week(s) with actual hours lost/taken off (last week or week before last); ACS asks about usual hours per week. These measure different temporal dimensions.,"['CC.2', 'TC.2']","Primary barrier is reference period length difference. CPS focuses on specific recent week with actual hours variations while ACS measures usual/typical hours. Additionally, CPS operationalizes hours as actual with adjustments for absences while ACS measures usual pattern. These are fundamentally incompatible temporal and operational approaches.",TC,TC
CPS_0041,TC.1,F3,"CPS asks about hours worked in a specific week, while ACS asks about usual hours worked per week.",['CC.2'],The primary issue is the temporal reference mismatch; CPS focuses on a specific week while ACS inquires about usual hours.,TC.2,F3,"CPS asks about actual hours worked in a specific recent week (retrospective, point-in-time); ACS asks about usual/typical hours per week (habitual/normative)",['CC.2'],"CPS captures actual work hours in a specific reference week including absences, while ACS captures usual/typical hours. These measure fundamentally different constructs—actual vs. normative behavior.",TC,TC
CPS_0042,TC.1,F3,"CPS asks about hours worked in a specific week, while ACS asks about usual hours worked per week.",['CC.2'],The primary issue is the temporal reference mismatch; CPS focuses on a specific week while ACS inquires about usual hours.,TC.2,F3,"CPS asks about actual hours worked in a specific recent week (retrospective, point-in-time); ACS asks about usual/typical hours per week (habitual/normative)",['CC.2'],"CPS captures actual work hours in a specific reference week including absences, while ACS captures usual/typical hours. These measure fundamentally different constructs—actual vs. normative behavior.",TC,TC
CPS_0043,TC.1,F3,"CPS asks about hours worked in a specific week, while ACS asks about usual hours worked per week.",['CC.2'],The primary issue is the temporal reference mismatch; CPS focuses on a specific week while ACS inquires about usual hours.,TC.2,F3,"CPS asks about actual hours worked in a specific recent week (retrospective, point-in-time); ACS asks about usual/typical hours per week (habitual/normative)",['CC.2'],"CPS captures actual work hours in a specific reference week including absences, while ACS captures usual/typical hours. These measure fundamentally different constructs—actual vs. normative behavior.",TC,TC
CPS_0044,CC.2,F3,"CPS asks about hours taken off in a specific week, while ACS asks for an estimate of usual hours.",['TC.1'],The primary issue is the operationalization difference; CPS focuses on hours taken off while ACS seeks an estimate of usual hours.,TC.2,F3,"CPS asks about actual hours worked in a specific recent week (retrospective, point-in-time); ACS asks for best estimate of usual hours per week (habitual/normative with estimation qualifier)","['CC.2', 'RS.3']",Fundamental temporal framing difference (actual vs. usual) combined with ACS's explicit 'best estimate' qualifier introducing subjective estimation. These are conceptually incompatible measures.,CC,TC
CPS_0045,TC.1,F3,"CPS asks about hours worked in a specific week, while ACS asks if the person worked every week in the past 12 months.",['CC.2'],The primary issue is the temporal reference mismatch; CPS focuses on a specific week while ACS asks about work frequency over a year.,TC.1,F3,CPS asks about hours worked in a specific recent week (1-week reference period); ACS asks about work continuity over 52 weeks (12-month reference period),"['CC.1', 'CC.2']",Fundamentally different reference periods (1 week vs. 52 weeks) measuring different constructs (hours in a week vs. work continuity across a year). Cannot be reconciled without additional data.,TC,TC
CPS_0046,TC.1,F3,"CPS asks about hours worked in a specific week, while ACS asks about weeks worked over the past 12 months.",['CC.2'],The primary issue is the temporal reference mismatch; CPS focuses on a specific week while ACS inquires about weeks worked over a year.,TC.1,F2,CPS asks about hours worked in a specific recent week (1-week reference period); ACS asks about number of weeks worked in past 12 months (52-week reference period),['CC.2'],"Different reference periods and different units of measurement (hours per week vs. weeks worked). Could potentially be harmonized through statistical modeling if combined with other variables, but requires assumptions about work patterns.",TC,TC
CPS_0047,CC.2,F3,"CPS asks about hours worked in a specific week, while ACS asks about usual hours worked in weeks worked.",['TC.1'],The primary issue is the operationalization difference; CPS focuses on a specific week while ACS seeks usual hours in weeks worked.,TC.1,F2,CPS asks about hours in a specific recent week (1-week reference period); ACS asks about usual hours per week during weeks worked in past 12 months (conditional 12-month reference period),"['TC.2', 'CC.2']","Different reference periods (1 week vs. 52 weeks) and different temporal framing (actual vs. usual). ACS conditions on weeks worked, adding complexity. Could be harmonized through statistical adjustment if weeks worked data available.",CC,TC
CPS_0048,CC.2,F3,"CPS asks about hours taken off, while ACS asks about usual hours worked per week.",['TC.1'],The primary issue is the operationalization difference; CPS focuses on hours taken off while ACS seeks usual hours.,CC.1,F3,CPS asks about hours taken off/lost from work (absence measure); ACS asks about usual hours worked per week (work volume measure),['CC.2'],These measure opposite constructs—absences vs. work hours. CPS measures time away from work; ACS measures time at work. Fundamentally incompatible without knowing total scheduled hours.,CC,CC
CPS_0049,CC.2,F3,"CPS asks about hours taken off, while ACS asks about usual hours worked per week.",['TC.1'],The primary issue is the operationalization difference; CPS focuses on hours taken off while ACS seeks usual hours.,CC.1,F3,CPS asks about hours taken off/lost from work (absence measure); ACS asks about usual hours worked per week (work volume measure),['CC.2'],These measure opposite constructs—absences vs. work hours. CPS measures time away from work; ACS measures time at work. Fundamentally incompatible without knowing total scheduled hours.,CC,CC
CPS_0050,CC.2,F3,"CPS asks about hours taken off, while ACS asks about usual hours worked per week.",['TC.1'],The primary issue is the operationalization difference; CPS focuses on hours taken off while ACS seeks usual hours.,CC.1,F3,CPS asks about hours taken off/lost from work (absence measure); ACS asks about usual hours worked per week (work volume measure),['CC.2'],These measure opposite constructs—absences vs. work hours. CPS measures time away from work; ACS measures time at work. Fundamentally incompatible without knowing total scheduled hours.,CC,CC
CPS_0051,TC.1,F3,"CPS asks for hours taken off, while ACS asks for usual hours worked per week.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about time off, the other about regular work hours.",CC.1,F3,CPS asks about hours taken off (absence/time away); ACS asks about usual hours worked per week (regular work schedule),['TC.2'],"These measure fundamentally different constructs. CPS measures deviations from normal work (time off), while ACS measures the baseline usual work hours. They are conceptually opposite and cannot be reconciled through recoding.",TC,CC
CPS_0052,TC.1,F3,"CPS asks for hours taken off, while ACS asks for an estimate of usual hours worked.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about time off, the other about regular work hours.",CC.1,F3,CPS asks about hours taken off (absence); ACS asks about best estimate of usual hours worked per week,['TC.2'],Fundamental construct mismatch: time off versus usual work hours are opposite concepts. The addition of 'best estimate' language in ACS does not resolve the core conceptual incompatibility.,TC,CC
CPS_0053,TC.1,F3,"CPS asks for hours taken off, while ACS asks if the person worked every week in the past year.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about time off, the other about work frequency.",CC.1,F3,CPS asks about hours taken off; ACS asks whether person worked every week in past 12 months (yes/no binary with inclusions for paid time off),"['TC.1', 'RS.1']","Multiple barriers: (1) Construct mismatch—time off vs. work continuity; (2) Temporal reference differs—CPS is recent/specific, ACS is 12-month retrospective; (3) Response scale differs—CPS expects numeric hours, ACS expects binary yes/no.",TC,CC
CPS_0054,TC.1,F3,"CPS asks for hours taken off, while ACS asks for the number of weeks worked in the past year.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about time off, the other about work frequency.",CC.2,F3,CPS asks about hours taken off; ACS asks about number of weeks worked in past 12 months (different unit of measurement),"['TC.1', 'RS.1']","Operationalization differs fundamentally: CPS measures hours (time unit), ACS measures weeks (frequency unit). Additionally, temporal reference differs (recent vs. 12-month), and response scales are incompatible (numeric hours vs. numeric weeks).",TC,CC
CPS_0055,TC.1,F3,"CPS asks for hours taken off, while ACS asks for hours usually worked in weeks worked.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about time off, the other about work hours.",CC.2,F2,CPS asks about hours taken off (absence measure); ACS asks about usual hours per week during weeks worked in past 12 months (work intensity measure),"['TC.1', 'TC.2']","Operationalization differs: CPS measures deviations/absences while ACS measures usual work intensity. Temporal framing differs: CPS is recent/specific event, ACS is 12-month retrospective habitual measure. Could potentially model relationship between absences and usual hours, but fundamentally different constructs.",TC,CC
CPS_0056,TC.1,F3,"CPS asks about overtime worked last week, while ACS asks for usual hours worked per week.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about overtime, the other about regular work hours.",CC.1,F3,CPS asks about overtime/extra hours worked (yes/no about deviations from usual); ACS asks about usual hours per week (baseline work schedule),"['TC.1', 'RS.1']","Construct mismatch: CPS measures whether extra hours occurred (binary), ACS measures usual hours (numeric). Temporal reference differs: CPS is recent specific week, ACS is current usual pattern. Response scales incompatible.",TC,CC
CPS_0057,TC.1,F3,"CPS asks about overtime worked last week, while ACS asks for usual hours worked per week.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about overtime, the other about regular work hours.",CC.1,F3,CPS asks about overtime/extra hours worked (yes/no about deviations from usual); ACS asks about usual hours per week (baseline work schedule),"['TC.1', 'RS.1']","Identical to CPS_0056: construct mismatch between overtime occurrence (binary) and usual hours (numeric), with temporal reference differences.",TC,CC
CPS_0058,TC.1,F3,"CPS asks about overtime worked last week, while ACS asks for usual hours worked per week.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about overtime, the other about regular work hours.",CC.1,F3,CPS asks about overtime/extra hours worked (yes/no about deviations from usual); ACS asks about usual hours per week (baseline work schedule),"['TC.1', 'RS.1']","Identical to CPS_0056 and CPS_0057: construct mismatch between overtime occurrence (binary) and usual hours (numeric), with temporal reference differences.",TC,CC
CPS_0059,TC.1,F3,"CPS asks about overtime worked last week, while ACS asks for usual hours worked per week.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about overtime, the other about regular work hours.",CC.1,F3,CPS asks about overtime/extra hours worked (yes/no about deviations from usual); ACS asks about usual hours per week (baseline work schedule),"['TC.1', 'RS.1']","Identical to CPS_0056, CPS_0057, and CPS_0058: construct mismatch between overtime occurrence (binary) and usual hours (numeric), with temporal reference differences.",TC,CC
CPS_0060,TC.1,F3,"CPS asks about overtime worked last week, while ACS asks for an estimate of usual hours worked.",['CC.1'],"The primary issue is a fundamental difference in the concepts being measured: one is about overtime, the other about regular work hours.",CC.1,F3,CPS asks about overtime/extra hours worked (yes/no about deviations from usual); ACS asks about best estimate of usual hours per week (baseline work schedule),"['TC.1', 'RS.1']","Construct mismatch between overtime occurrence (binary) and usual hours (numeric). The 'best estimate' language in ACS does not resolve the fundamental incompatibility. Temporal reference differs: CPS is recent specific week, ACS is current usual pattern.",TC,CC
CPS_0061,TC.1,F3,"CPS asks about overtime in the last week, while ACS asks if the person worked every week in the past 12 months.",['CC.1'],The primary issue is the temporal reference period; CPS focuses on a specific week while ACS looks at a full year.,TC.1,F3,CPS asks about overtime in a single week (past week); ACS asks about consistency of work across 52 weeks,"['CC.1', 'CC.2']","Fundamental temporal mismatch: CPS measures weekly overtime occurrence (behavioral indicator of extra hours in one week), while ACS measures annual work consistency (whether worked every week). These measure different constructs—one is about intensity variation, the other about continuity of employment.",TC,TC
