pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic,claude_classification,gpt_classification,claude_confidence,gpt_confidence,claude_reasoning,gpt_reasoning,claude_consolidation_potential,gpt_consolidation_potential,claude_reference_period_a,gpt_reference_period_a,claude_reference_period_b,gpt_reference_period_b,models_agree
FOODAPS_0021,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions concern commuting, they measure fundamentally different dimensions. Question A asks about commute DURATION (travel time), whereas Question B asks about commute MODE (transportation method). These are complementary but distinct pieces of information that cannot be derived from one another.","Question A asks about the usual duration of the commute (time from home to work), while Question B asks about the usual mode of travel during a specific reference period (last week). They address different attributes of commuting (travel time vs travel mode) and have different reference framing, so they are related by topic but measure distinct concepts.",no,no,not specified (implies usual/habitual),not specified,last week,last week,True
FOODAPS_0022,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions relate to commuting, they measure fundamentally different aspects. Question A asks about commute duration (time), whereas Question B asks about carpooling/occupancy (number of people sharing a vehicle). These are distinct commute characteristics that cannot substitute for one another, despite both being commute-related.","Question A asks about usual commute travel time (duration) with no specific reference period, while Question B asks about the number of people who rode in the same vehicle last week (occupancy). They address different attributes of commuting (time vs vehicle occupancy) and have different reference periods and response content, so they are related by topic but not equivalent.",no,no,not specified (habitual/usual),not specified,last week,last week,True
FOODAPS_0023,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different aspects of the commute experience. Question A asks about commute duration (how long the trip takes), while Question B asks about commute timing (what time the trip begins). These are distinct data points that serve different analytical purposes and cannot substitute for one another.","Question A asks for the usual travel time (duration) from home to work with no explicit reference period, while Question B asks for the usual start time of the trip during a specified reference period (""last week""). They address related commuting behavior but measure different attributes (duration vs clock time) and B's explicit reference period further differentiates them.",no,no,not specified (implies usual/typical),not specified,last week,last week,True
FOODAPS_0024,FOODAPS_202,How long does it usually take you to get from home to work?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,reference_period_mismatch,reference_period_mismatch,high,high,"Both questions ask about commute time from home to work, which is the same core concept. However, Question A asks about what ""usually"" takes (general/typical pattern without specified timeframe), while Question B specifically references ""LAST WEEK"" (specific recent period). This temporal difference means they could yield different answers if commute times vary week-to-week or if respondents' work schedules are irregular.","Both questions ask about commute travel time, but Question A asks about how long it 'usually' takes (a habitual or typical duration) while Question B asks specifically about how long it usually took during 'last week' (a defined past reference period). There is also a minor difference in address (direct 'you' vs 'this person') and B explicitly requests minutes, but the primary substantive mismatch is the reference period.",partial,partial,not specified,not specified (asks about usual/usual time),last week,last week,True
FOODAPS_0025,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions relate to work commuting, they measure fundamentally different constructs. Question A asks about commute duration (time required to travel), whereas Question B asks about work location (where the person worked). These are distinct pieces of information—knowing where someone worked doesn't tell you how long their commute takes, and vice versa. The reference periods also differ (habitual vs. specific week).","Question A asks for the usual commute duration (how long it usually takes), a measure of travel time. Question B asks where the person worked last week, a location/time-specific employment status question. They address related topic (commuting/work) but measure different attributes and have different reference frames and response types (duration vs. location).",no,no,not specified (implies usual/habitual),usual/typical (not a specific time frame),last week,last week,True
FOODAPS_0026,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different aspects. Question A asks about commute duration (how long), whereas Question B asks about commute mode/method (how). Additionally, Question A uses a habitual reference period ('usually') while Question B specifies a recent concrete period ('last week'). These are complementary but distinct data points that cannot substitute for each other.","Question A asks for the usual travel time from home to work (duration), with no explicit reference period. Question B asks for the usual mode of travel to work during a specific reference period (last week). They address the same general topic (commuting) but measure different constructs (time vs mode) and have different reference-period phrasing.",no,no,not specified (implies usual/habitual),not specified,last week,last week,True
FOODAPS_0027,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different aspects. Question A asks about travel time duration (a characteristic of the commute itself), while Question B asks about carpooling behavior—specifically how many people shared a vehicle (a commuting mode choice). These require different data and serve different analytical purposes: one measures commute burden/efficiency, the other measures ridesharing patterns.","Question A asks about usual commute duration (time from home to work), while Question B asks how many people rode together in a vehicle during last week. They address different constructs (travel time vs vehicle occupancy/ride-sharing) and have different reference frames and response focuses, so they are related by the commuting topic but are distinct.",no,no,not specified (usual/habitual),not specified (asks about usual/typical),last week,last week,True
FOODAPS_0028,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different aspects: Question A asks about commute DURATION (how long the trip takes), whereas Question B asks about commute TIMING (what time the trip begins). These are distinct dimensions of commuting behavior that serve different analytical purposes. Question A's reference period is also unspecified ('usually'), while Question B explicitly references 'last week.'","Both questions concern commuting but ask different specific information: A asks for usual travel time duration from home to work, while B asks for the usual clock time the trip began during last week. They also differ in response format (duration vs start time) and B has an explicit reference period while A does not, so they are not equivalent.",no,no,not specified,not specified,last week,last week,True
FOODAPS_0029,FOODAPS_203,How long does it usually take you to get from home to work?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,reference_period_mismatch,reference_period_mismatch,high,high,"Both questions ask about commute time using identical core concept and response format, but differ fundamentally in their time references. Question A asks about usual/typical commute time (habitual behavior), while Question B specifies a concrete recent period (last week). This difference could yield different responses if a person's commute varies by day or week, or if their commute recently changed.","Question A asks for a respondent's usual travel time (habitual/typical) with no explicit reference period, while Question B asks how many minutes it usually took 'this person' to get to work specifically in the last week. The inclusion of an explicit reference period ('last week') in B makes them differ in temporal scope and could yield different answers if the respondent's recent week differed from their typical commute.",partial,partial,not specified (habitual/usual),not specified,last week (specific recent period),last week,True
FOODAPS_0030,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions relate to employment commuting, they measure fundamentally different things. Question A asks about commute duration (a characteristic of the job), whereas Question B asks about work location (where the person worked). Question A captures habitual commute time, while Question B identifies the specific workplace. These serve different analytical purposes and cannot substitute for one another.","Question A asks for the usual/typical travel time from home to the respondent's primary job (a duration measure). Question B asks for the location where the person worked last week (a place and explicit reference period). They address the same general topic (commuting/work) but measure different constructs (commute duration vs. workplace location) and have different reference frames, so they are not equivalent.",no,no,usual/typical (ongoing),usually (typical commute),last week,last week,True
FOODAPS_0031,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different dimensions. Question A asks about commute duration (time), whereas Question B asks about commute mode (method of transportation). These are distinct attributes that cannot substitute for one another, even though they relate to the same general topic of how people get to work.","Question A asks about travel time (duration) from home to work for the respondent's primary job in a general/usual sense. Question B asks about the usual mode of transportation to work during a specific recent reference period (last week). They address the same broad topic (commuting) but measure different attributes (time vs mode) and have different reference periods/formats, so they are related but distinct.",no,no,not specified (implies usual/typical),usually (general/usual),last week,last week,True
FOODAPS_0032,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Both questions address commuting behavior, but they measure fundamentally different dimensions. Question A asks about travel time (duration in minutes/hours), while Question B asks about carpooling behavior (number of people sharing a vehicle). These are distinct commute characteristics that cannot be derived from one another—knowing travel time does not indicate how many people rode together, and vice versa.","Question A asks about the usual commute travel time to the respondent's primary job (a duration, habitual reference). Question B asks for the number of people who rode together in a vehicle last week (carpool occupancy for trips in the past week), which is a different attribute (count) and a different reference period and mode-specific. Because they measure distinct constructs (duration vs party size/mode and different timing), they are related to commuting but not interchangeable.",no,no,usual/typical (primary job),usually,last week,last week,True
FOODAPS_0033,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"While both questions address commuting, they measure fundamentally different dimensions. Question A asks about commute duration (how long), whereas Question B asks about commute timing (what time). Additionally, Question A captures a general pattern for the primary job, while Question B references a specific recent week's behavior, creating both a conceptual and temporal mismatch.","Question A asks for usual travel time (duration) from home to work for the respondent’s primary job with no explicit time frame, while Question B asks for the usual clock time (time of day) the person’s trip began last week. They address different specific measures (duration vs start time) and B has an explicit recent reference period and third‑person phrasing, so they are related by topic but distinct in content.",no,no,not specified (implies usual/typical for primary job),not specified,last week,last week,True
FOODAPS_0034,FOODAPS_204,"For your primary job, how long does it usually take you to get from home to work?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting,reference_period_mismatch,reference_period_mismatch,high,high,"Both questions ask about commute time to a primary job using the same core concept, but differ meaningfully in their reference periods. Question A asks about 'usually' takes (habitual/typical pattern), while Question B asks about 'LAST WEEK' (specific recent observation). This temporal difference could yield different responses—someone's last week commute may not reflect their usual pattern due to remote work, schedule changes, or unusual circumstances.","Both ask about time to get from home to work (commute duration), but Question A asks for the respondent's usual/typical travel time for their primary job while Question B asks specifically about how many minutes it usually took the person to get to work last week. This creates a clear reference period mismatch (habitual vs. a specific recent week) and also a minor response-format difference (A's unit is unspecified/asked as 'how long', B requests minutes).",partial,partial,not specified (implies typical/usual pattern),usual/typical (habitual) — not tied to a specific recent period,last week (specific recent period),last week,True
FOODAPS_0035,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting,related_but_distinct,related_but_distinct,high,high,"Question A asks about commute duration (how long the trip takes), while Question B asks about work location (where the person worked). These are related commuting topics but measure fundamentally different dimensions—one captures travel time, the other captures workplace location. They cannot substitute for each other as they provide distinct information.","Question A asks for the usual commute time to the respondent's primary job (a duration measure of travel), while Question B asks where the person worked last week (a location/timing item). They address different constructs (travel time vs. work location) and use different reference frames (usual vs. last week), so they are related by topic (commuting/work) but distinct in content.",no,no,not specified (implies current/usual),usually (no specific reference period),last week,last week,True
