classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
reference_period_mismatch,high,"since last interview (varies, typically 12 months for annual CPS but can be shorter)",past 12 months,"Both questions measure changes in marital status using similar response categories (married, widowed, divorced), but Question A uses a vague reference period ('since our last interview') while Question B explicitly specifies 'past 12 months.' Additionally, Question A asks about 'any changes' as a yes/no gating question, whereas Question B uses a forced-choice format listing specific events. The reference period ambiguity in Question A makes direct comparison problematic unless the interview interval is known to be standardized at 12 months.",partial,CPS_0009,claude-haiku-4-5-20251001
related_but_distinct,high,"since last interview (varies by respondent, typically ~4 months in CPS)",not specified (lifetime),"Question A is a change-detection question asking whether ANY marital status change occurred since the previous interview, while Question B asks for the specific year of the most recent marriage. Question A captures transitions (married→divorced, single→married, etc.) during a recent interval, whereas Question B only identifies the timing of marriage specifically, not divorces, separations, or other status changes. These serve different analytical purposes and cannot be treated as equivalent.",no,CPS_0011,claude-haiku-4-5-20251001
near_duplicate,high,not specified (present tense 'now'),not specified,"Both questions ask about current marital status with no specified time frame, using the same core concept and measuring the same construct. Question A explicitly lists response categories (married, widowed, divorced, separated, never married) while Question B uses an open-ended format, but both capture identical information about a person's marital status at the time of survey administration. The wording differences are purely stylistic and do not change the substantive meaning or intent.",yes,CPS_0012,claude-haiku-4-5-20251001
related_but_distinct,high,current/present,not specified (historical),"Question A asks for current marital status (a state variable), while Question B asks when the person last got married (a historical event). Question A would capture divorced or separated individuals, while Question B only applies to those who have been married. These are complementary but fundamentally different measurements that cannot serve as substitutes for one another.",no,CPS_0015,claude-haiku-4-5-20251001
response_format_mismatch,high,current/present time,lifetime/cumulative,"Both questions address marital status but capture fundamentally different information through different response formats. Question A asks for current marital status category (married, widowed, divorced, separated, or never married), while Question B asks for a count of how many times the person has been married (a frequency measure). A person currently divorced may have been married once or multiple times, making these questions elicit different data that cannot be directly substituted for one another.",no,CPS_0014,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (current/point-in-time status),past 12 months,"Question A asks for current marital status (a state at a point in time), while Question B asks about specific marital events that occurred in the past 12 months. Question A captures who is currently married/widowed/divorced/separated/never married, whereas Question B captures only recent transitions into married, widowed, or divorced status, excluding separated status and missing information about those who were already in these states before the 12-month period. These measure fundamentally different constructs.",no,CPS_0013,claude-haiku-4-5-20251001
near_duplicate,high,usually (typical week),usually (typical week),"Both questions ask about usual/typical hours worked per week at a job, with identical reference periods and response formats (numeric hours). The main difference is that Question A explicitly references either a single job or main job with branching language, while Question B uses 'at this rate' which assumes a specific job context. The core measurement concept is equivalent despite minor wording variations.",partial,CPS_0016,claude-haiku-4-5-20251001
near_duplicate,high,usually/typical week,usually/typical week,Both questions ask about usual/typical hours worked per week and target the same core concept of usual weekly work hours. The minor wording differences (CPS includes 'main job' distinction and uses conditional phrasing for pronoun flexibility; ACS uses 'at this rate') do not substantively change the meaning or measurement intent. Both use an implicit 'usual' or 'typical' reference period rather than a specific week.,partial,CPS_0017,claude-haiku-4-5-20251001
near_duplicate,high,usually (typical week),usually (typical week),"Both questions ask about typical weekly hours worked at a job/main job with nearly identical meaning and reference period ('usually' implies typical/habitual behavior). The minor wording differences (CPS specifies 'main job' as optional, ACS says 'at this rate') do not meaningfully change what is being measured. Both capture usual hours per week without reference to a specific past period.",partial,CPS_0018,claude-haiku-4-5-20251001
near_duplicate,high,usually (typical/habitual work pattern),usually (typical/habitual work pattern),"Both questions ask about usual/typical weekly hours worked at a job, with nearly identical reference periods and response formats (numeric hours per week). The main difference is that Question B includes the phrase 'at this rate' and 'best estimate,' which adds a slight qualifier about estimation but does not meaningfully change the core construct being measured. Both are asking for the same underlying information about normal weekly work hours.",yes,CPS_0020,claude-haiku-4-5-20251001
near_duplicate,high,Usually/typical week,Usually/typical week,"Both questions ask about usual weekly hours of work at a job/main job with identical reference periods (typical/usual work week). The primary difference is that Question A explicitly specifies ""main job"" as an option for respondents with multiple jobs, while Question B uses ""this rate"" (contextually referring to the job being asked about). The core concept and temporal reference are equivalent, with only minor wording variations that do not substantively change the meaning or response pattern.",partial,CPS_0019,claude-haiku-4-5-20251001
related_but_distinct,high,usual/typical (ongoing),past 12 months (52 weeks),"Question A asks about usual weekly hours at a job (an intensity measure), while Question B asks about total weeks worked in a year (a frequency measure). These capture different dimensions of work: A measures depth (hours per week when working), while B measures breadth (how many weeks worked). They are complementary metrics rather than measuring the same construct. The reference periods also differ—A captures typical ongoing behavior while B captures actual weeks over a specific 12-month period.",no,CPS_0022,claude-haiku-4-5-20251001
reference_period_mismatch,high,"usual/typical (ongoing, no specific period)",past 12 months (52 weeks),"Question A asks about usual weekly hours at a job without a specific time frame, focusing on typical work patterns. Question B asks about work consistency over the past 12 months with a yes/no format about weekly employment. These measure different constructs: Question A captures intensity of work (hours per week), while Question B captures continuity of employment (worked every week). The reference periods are fundamentally different—one is atemporal/usual, the other is a specific 12-month retrospective period.",no,CPS_0021,claude-haiku-4-5-20251001
reference_period_mismatch,high,usual/current (ongoing employment pattern),past 12 months (retrospective annual period),"Both questions ask about usual hours worked per week, but they reference fundamentally different time frames. Question A (CPS) asks about usual hours in the current/ongoing job without a specific lookback period, while Question B (ACS) asks respondents to report usual weekly hours specifically during weeks worked in the past 12 months. This temporal difference could yield different responses, particularly for workers whose hours vary seasonally or who changed jobs during the year.",partial,CPS_0023,claude-haiku-4-5-20251001
near_duplicate,high,usual/typical week,usually per week,"Both questions ask about usual/typical weekly hours worked, with nearly identical meaning and reference periods. The core difference is that Question A specifically addresses 'other jobs' (secondary employment), while Question B appears to ask about hours at 'this rate' (likely a primary job or current position). This contextual distinction regarding which job is being referenced prevents them from being exact duplicates, though the measurement construct is equivalent.",partial,CPS_0024,claude-haiku-4-5-20251001
near_duplicate,high,usual/typical week,usual/typical week,"Both questions ask about usual/typical hours worked per week and use identical reference periods. The main difference is that Question A explicitly specifies ""other (job/jobs)"" indicating a secondary employment context, while Question B appears to ask about hours at ""this rate"" (likely referring to a primary job). If both are measuring the same employment scenario, they are functionally equivalent; if measuring different job positions, they are related but distinct.",partial,CPS_0025,claude-haiku-4-5-20251001
near_duplicate,high,usual/typical weekly hours,usual/typical weekly hours,"Both questions ask about usual weekly hours worked, with identical reference periods and response formats (numeric hours per week). Question A specifies ""other jobs"" (secondary employment) while Question B appears to ask about the current job being discussed, but the core measurement concept—usual weekly hours—is the same. The minor contextual difference (other jobs vs. this job) relates to which employment to measure rather than how to measure hours worked.",partial,CPS_0026,claude-haiku-4-5-20251001
near_duplicate,high,usual/regular work pattern (not specified as past week or other specific period),usual work pattern (not specified as past week or other specific period),"Both questions ask about usual hours worked per week at a job, using nearly identical reference frames (""usually work""). The core concept and response format are the same. The minor wording difference (CPS specifies ""other job/jobs"" while ACS says ""at this rate"") reflects different survey contexts but doesn't materially change the underlying question about typical weekly hours. Both lack specification of whether this refers to the past week, past month, or general usual practice.",partial,CPS_0027,claude-haiku-4-5-20251001
related_but_distinct,high,usually (ongoing/typical week),usually (ongoing/typical week),"Both questions ask about usual weekly hours, but Question A specifically targets OTHER jobs (secondary employment), while Question B asks about hours at 'this rate' without clarifying whether it refers to a primary job, secondary job, or unspecified employment. Question A has a clear population target (multiple jobholders), whereas Question B's scope is ambiguous and could apply to any employment situation. The phrase 'at this rate' in Question B suggests context-dependency that makes it fundamentally different in application.",no,CPS_0028,claude-haiku-4-5-20251001
related_but_distinct,high,usual/typical (ongoing),past 12 months,"Question A asks about usual hours per week at a second job, measuring work intensity at a point in time. Question B asks about total weeks worked in the past year, measuring work frequency/participation. These are complementary but distinct dimensions of employment: one captures intensity (hours/week) while the other captures duration (weeks/year). They cannot substitute for one another.",no,CPS_0030,claude-haiku-4-5-20251001
reference_period_mismatch,high,usual/typical (not explicitly time-bounded),past 12 months,"Both questions ask about usual hours worked per week, but Question A uses an open-ended 'usually work' reference while Question B explicitly frames the answer within a 12-month lookback period and conditions on 'weeks worked.' Question A focuses on a secondary job specifically, while Question B appears to ask about the person's job generally. The CPS question captures typical behavior without a defined period; the ACS question anchors responses to recent actual experience.",partial,CPS_0031,claude-haiku-4-5-20251001
related_but_distinct,high,usual/typical week (ongoing),past 12 months (52 weeks),"Question A asks about typical weekly hours at a secondary job, while Question B asks about work consistency over 12 months (every week vs. not every week). These address different dimensions of work patterns: Question A measures intensity/hours per week, while Question B measures continuity/regularity of employment. The reference periods differ fundamentally (usual week vs. past year), and the response formats differ (hours vs. yes/no binary).",no,CPS_0029,claude-haiku-4-5-20251001
response_format_mismatch,high,usually (ongoing/typical),usually (ongoing/typical),"Both questions ask about typical weekly hours worked and share the same reference period ('usually'), but differ fundamentally in response format. Question A uses a binary threshold (35+ hours yes/no), while Question B requests the actual number of hours worked per week. Question A cannot capture the specific hours that Question B collects, making them non-interchangeable despite measuring the same underlying concept.",partial,CPS_0032,claude-haiku-4-5-20251001
response_format_mismatch,high,usual/typical week (not specified),usual/typical week (not specified),"Both questions ask about typical weekly hours worked and share the same reference period (usual/customary work week). However, Question A uses a binary threshold format (35+ hours yes/no), while Question B requests an open-ended numeric response (actual hours). Question A's categorical approach cannot be directly replaced by Question B's continuous measure without post-hoc recoding, and Question B loses the policy-relevant 35-hour threshold information inherent in Question A.",partial,CPS_0034,claude-haiku-4-5-20251001
response_format_mismatch,high,usually (typical/ongoing),usually (typical/ongoing),"Both questions ask about typical weekly hours worked using the same time reference ('usually'), but they differ fundamentally in response format. Question A uses a binary threshold (35+ hours yes/no), while Question B requests a continuous numerical response (specific hours). Question A provides categorical data suitable for full-time/part-time classification, whereas Question B captures granular hour counts that could be recoded into categories but offers richer detail.",partial,CPS_0033,claude-haiku-4-5-20251001
response_format_mismatch,high,usually (ongoing/typical pattern),usually (ongoing/typical pattern),"Both questions ask about typical weekly hours worked and share the same reference period ('usually'), but they differ fundamentally in response format: Question A uses a yes/no binary threshold (35+ hours), while Question B requests a specific numeric estimate of hours per week. Question A provides categorical employment status information, while Question B provides continuous hours data that cannot be directly compared without recoding.",partial,CPS_0036,claude-haiku-4-5-20251001
response_format_mismatch,high,usually (typical/habitual pattern),usually (typical/habitual pattern),"Both questions ask about typical weekly hours worked and share the same reference period ('usually'), but differ fundamentally in response format: Question A uses a binary yes/no threshold (35+ hours), while Question B requests a continuous numerical response (actual hours). Question A provides categorical information about full-time status, whereas Question B captures precise hours, making them complementary but not equivalent.",partial,CPS_0035,claude-haiku-4-5-20251001
reference_period_mismatch,high,usual/current (no specific time frame),past 12 months (52 weeks),"Both questions address work intensity but measure fundamentally different constructs: Question A asks about usual hours per week in the present/current job, while Question B asks about consistency of work over an entire year (every week worked). Question A focuses on weekly hours intensity; Question B focuses on annual continuity/weeks worked. The reference periods are incompatible—one is a habitual measure, the other is a retrospective 12-month measure.",no,CPS_0037,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last / last week (specific recent week),"usual/typical week (ongoing rate, not specified)","Question A asks about actual hours worked in a specific recent week, including whether any hours were lost due to specific reasons (illness, slack work, vacation, holiday). Question B asks about usual hours worked per week at the current rate, which is a general/typical measure. Question A captures week-to-week variation and disruptions, while Question B captures normal/baseline work hours. These measure different dimensions of work hours.",no,CPS_0040,claude-haiku-4-5-20251001
related_but_distinct,high,usual/typical (implied current),past 12 months,"Both questions address weekly hours worked, but they differ fundamentally in scope and temporal framing. Question A asks about usual hours per week at present/currently, while Question B asks about usual hours per week during weeks actually worked in the past 12 months—a retrospective average across an entire year. Question A's binary threshold (35+ hours) also differs from Question B's continuous measure. These differences mean they capture potentially different constructs: current typical work schedule versus historical average accounting for variable work patterns.",partial,CPS_0039,claude-haiku-4-5-20251001
related_but_distinct,high,usual/typical week (ongoing),past 12 months (52 weeks),"While both questions address work intensity, they measure fundamentally different constructs: Question A asks about usual hours per week at a specific point in time, whereas Question B asks about total weeks worked over an entire year. Question A captures intensity (hours/week) while Question B captures frequency (weeks/year). These are not interchangeable—someone could work 35+ hours in most weeks (high on A) but take significant unpaid leave (lower on B), or work consistent part-time hours across all 52 weeks (low on A, high on B). The different reference periods (current typical vs. past 12 months) and different units (hours vs. weeks) prevent direct equivalence.",no,CPS_0038,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last / last week (specific past week),"usual/typical week (ongoing, no specific time frame)","Question A asks about actual hours worked in a specific recent week, with focus on lost/taken-off hours due to specific reasons. Question B asks about usual/typical hours worked per week at the current job rate, representing a general pattern rather than a specific week. These measure different constructs: actual reported hours in a recent week versus habitual/normal work hours. The reference periods differ fundamentally—one is retrospective-specific, the other is prospective-typical.",no,CPS_0043,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last/last week (specific past week),"usual/typical (ongoing, no specific time frame)","Both questions address hours worked per week, but they measure fundamentally different concepts. Question A asks about actual hours lost or taken off during a specific recent week, capturing irregular absences or time off. Question B asks about usual/typical hours worked, representing the respondent's normal work schedule without reference to specific absences. These serve different analytical purposes: A captures labor force disruptions while B captures baseline employment intensity.",no,CPS_0042,claude-haiku-4-5-20251001
not_comparable,high,the week before last or last week,"usual/current rate (ongoing, not specified)","These questions ask fundamentally different things despite both relating to hours worked. Question A asks whether hours were lost/taken off for specific reasons during a particular recent week (behavioral/occurrence question), while Question B asks for a usual/typical weekly hours estimate (habitual measure). Question A is event-focused and backward-looking to a specific week; Question B is forward-looking or current-state oriented and measures routine/normal work patterns rather than disruptions.",no,CPS_0044,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last / last week (specific past week),"usual/typical (recurring pattern, no specific time frame)","Question A asks about actual hours worked in a specific recent week, including time lost for any reason, while Question B asks about usual/typical weekly hours at the current rate of employment. These measure different constructs: actual hours in a particular week versus habitual/normal work hours. The reference periods are fundamentally different (specific past week vs. generalized usual pattern), and Question A explicitly captures absences/lost time while Question B implies normal working conditions.",no,CPS_0041,claude-haiku-4-5-20251001
reference_period_mismatch,high,The week before last or last week (1-2 weeks prior to survey),Past 12 months (52 weeks),"Both questions address work hours/weeks but operate on fundamentally different time scales and measure different constructs. Question A asks about specific hours lost in a single recent week, while Question B asks about total weeks worked over an entire year. Question A focuses on work interruptions, while Question B focuses on aggregate work participation, making them non-equivalent despite both relating to work time.",no,CPS_0046,claude-haiku-4-5-20251001
related_but_distinct,high,The week before last OR last week (one-week reference period),Past 12 months (52 weeks),"While both questions address work patterns, they measure fundamentally different concepts. Question A asks about temporary absences or lost hours in a specific week due to specified reasons (illness, slack work, vacation, holiday), whereas Question B asks about work consistency across the entire year, explicitly including paid leave as work time. The reference periods differ drastically (1 week vs. 52 weeks), and Question B's instruction to count paid vacation/sick leave as work directly contradicts Question A's treatment of these as hours lost/taken off.",no,CPS_0045,claude-haiku-4-5-20251001
not_comparable,high,specific incident (time off taken),usual/typical week (ongoing pattern),"Question A asks about hours taken off from work (absence/leave), implying a specific event or period, while Question B asks about usual weekly work hours (standard employment hours). These measure fundamentally different concepts: one measures time away from work, the other measures time at work. The reference periods differ (event-specific vs. typical pattern) and the underlying constructs are distinct.",no,CPS_0048,claude-haiku-4-5-20251001
related_but_distinct,high,The week before last / last week (specific recent week),Past 12 months (annual average),"Both questions address work hours but measure fundamentally different concepts. Question A asks about actual hours worked in a specific recent week and whether hours were lost/taken off, capturing short-term labor force participation disruptions. Question B asks about usual weekly hours worked during weeks worked over a 12-month period, measuring typical workload rather than specific week circumstances. The reference periods (single week vs. annual average) and focal points (actual hours including absences vs. usual hours when working) are distinct enough that they cannot substitute for one another.",no,CPS_0047,claude-haiku-4-5-20251001
related_but_distinct,high,unspecified (appears to reference a specific recent absence event),usual/typical weekly pattern (ongoing or habitual),"Question A asks about hours taken off during a discrete event (likely referring to time off from work for a specific reason), while Question B asks about usual weekly work hours in a typical week. Although both concern hours, they measure different concepts: A captures absence/leave from work, while B captures standard work commitment. These serve different analytical purposes and cannot be considered equivalent.",no,CPS_0049,claude-haiku-4-5-20251001
not_comparable,high,not specified (appears to reference a specific recent event),"usual/typical (ongoing, habitual pattern)","Question A asks about hours taken off (time away from work), focusing on absence or leave from a specific occasion. Question B asks about usual weekly work hours, measuring regular employment patterns. These measure fundamentally different constructs: one is about time away from work, the other about time spent working. The reference periods also differ—A implies a discrete event while B asks about typical recurring patterns.",no,CPS_0050,claude-haiku-4-5-20251001
not_comparable,high,specific recent event (hours taken off),usual/typical weekly hours (ongoing),"Question A asks about hours taken off (likely sick leave, personal time, or absence from work), measuring a specific reduction in scheduled hours, while Question B asks about usual weekly work hours, measuring regular employment commitment. These measure fundamentally different concepts: one captures absences/time off, the other captures normal work patterns. The questions are designed to capture distinct aspects of work behavior and cannot be used interchangeably.",no,CPS_0051,claude-haiku-4-5-20251001
not_comparable,high,not specified (appears to be recent/specific event),usual/typical (ongoing rate),"Question A asks about hours taken off in a discrete past event (likely related to a specific absence or leave), while Question B asks for usual weekly work hours at a typical rate. These measure fundamentally different constructs: one captures time away from work, the other captures regular work schedule. The questions have incompatible purposes and response interpretations.",no,CPS_0052,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies recent/specific event),past 12 months (52 weeks),"Question A asks about hours taken off from work (absence/leave), while Question B asks about total weeks worked in a year (employment participation). These measure different constructs: one captures absences/time off, the other captures work participation. Additionally, Question A's reference period is unspecified and contextual, while Question B explicitly covers 12 months. These cannot be treated as equivalent measures of work activity.",no,CPS_0054,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (appears to be recent/last occurrence),past 12 months (52 weeks),"Question A asks about a specific instance of time taken off (hours in a discrete event), while Question B asks about work continuity over 12 months with a yes/no format about working every week. These measure different constructs: A captures episode-level absences while B captures annual work pattern consistency. The reference periods are fundamentally different (event-specific vs. annual), and response formats differ (hours vs. yes/no), making them complementary rather than redundant.",no,CPS_0053,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (appears to be recent/current period),past 12 months (weeks worked during that period),"Question A asks about hours taken off from work (absence/time away), while Question B asks about usual weekly hours worked during weeks when employed. These measure different concepts: one captures leave/absence behavior while the other captures regular work schedules. Additionally, Question A lacks a clear time reference while Question B explicitly specifies the past 12 months. The questions cannot be used interchangeably.",no,CPS_0055,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last / last week (specific recent week),not specified (habitual/usual pattern),"Question A asks about overtime or extra hours worked in a specific recent week, while Question B asks about usual/typical hours worked per week without a specific time frame. Question A is a behavioral measure of actual hours in a particular week, whereas Question B captures habitual work patterns. These measure different aspects of work hours—one is event-specific and the other is a general characteristic.",no,CPS_0056,claude-haiku-4-5-20251001
related_but_distinct,high,"the week before last or last week (recent past, specific week)",not specified (usual/typical pattern),"Question A asks about overtime or extra hours worked in a specific recent week, focusing on deviation from usual patterns. Question B asks about usual weekly hours at the current rate, capturing typical/normal work hours. These measure different aspects of work schedules: A captures actual variability in a specific week, while B captures the baseline expectation. The reference periods are fundamentally different (actual past week vs. typical/usual), making them distinct despite both relating to hours worked.",no,CPS_0057,claude-haiku-4-5-20251001
related_but_distinct,high,"the week before last or last week (recent past, specific week)",not specified (usual/typical pattern),"Question A asks about overtime or extra hours worked in a specific recent week, focusing on deviations from usual work patterns. Question B asks about usual hours worked per week at a given rate, establishing baseline regular hours. These measure different aspects of work hours: A captures short-term variation/overtime while B captures typical weekly hours. The reference periods differ fundamentally—A is event-based (did you work extra last week?), B is habitual (what do you usually work?).",no,CPS_0058,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last / last week,not specified (implies usual/typical),"Question A asks about overtime or extra hours worked in a specific recent week, capturing actual behavior in that week. Question B asks about usual hours per week worked at the current rate, which is a general typical measure independent of any specific week. These measure different things: actual overtime occurrence versus baseline usual hours. The reference periods differ fundamentally (recent specific week vs. typical/usual pattern).",no,CPS_0059,claude-haiku-4-5-20251001
related_but_distinct,high,the week before last or last week,usual/typical (not specified as to how usual is determined),"Question A asks about actual overtime/extra hours worked in a specific recent week, while Question B asks for a general estimate of usual weekly hours at the current rate. These measure different concepts: actual behavior in a particular week versus self-reported typical patterns. Additionally, Question A focuses specifically on overtime/extra hours (hours beyond usual), while Question B asks about total hours usually worked. The reference periods are also fundamentally different—one is retrospective about a specific week, the other is prospective/habitual without a defined observation period.",no,CPS_0060,claude-haiku-4-5-20251001
related_but_distinct,high,Last week or the week before last,Past 12 months (52 weeks),"While both questions address work patterns, they measure fundamentally different concepts. Question A asks about overtime/extra hours worked in a specific recent week, whereas Question B asks about week-to-week employment consistency over an entire year. Question A focuses on intensity of work in a given week; Question B focuses on continuity of employment across weeks. The reference periods are dramatically different (days vs. 12 months), and neither can substitute for the other.",no,CPS_0061,claude-haiku-4-5-20251001
related_but_distinct,high,The week before last or last week (1-2 weeks prior),Past 12 months (52 weeks),"While both questions address work patterns, they measure fundamentally different constructs. Question A asks specifically about overtime/extra hours beyond usual work in a recent 1-2 week period, whereas Question B asks about total weeks worked in a 12-month period with no reference to overtime or unusual hours. The reference periods differ by a factor of 26-52x, and Question A focuses on a binary behavior (whether overtime occurred) while Question B measures duration/frequency across a year.",no,CPS_0062,claude-haiku-4-5-20251001
related_but_distinct,high,The week before last / Last week (1-2 weeks prior to survey),Past 12 months (annual average during weeks worked),"Question A asks about overtime/extra hours worked in a specific recent week using yes/no format, while Question B asks about usual weekly hours averaged across all weeks worked in the past year using a numeric format. These measure different dimensions: Question A captures irregular overtime behavior in a specific short period, while Question B captures typical weekly hours on an annual basis. The reference periods differ fundamentally (recent week vs. annual average), and the concepts are distinct despite both relating to hours worked.",no,CPS_0063,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies recent/actual hours worked),usual/typical weekly hours (not specified time frame for 'usual'),"Question A asks for ADDITIONAL hours worked (implying hours beyond a standard amount, specific to a particular period), while Question B asks for usual/typical hours per week at current rate. These measure different concepts: actual supplemental hours versus usual weekly work hours. The ACS question captures habitual work patterns while the CPS question captures actual overtime or extra work.",no,CPS_0065,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies recent/actual additional hours worked),"usual/typical week (habitual, not specific period)","Question A asks about ADDITIONAL hours actually worked, implying a recent or specific time period where extra hours occurred beyond normal. Question B asks about usual/typical weekly hours at current rate of pay, which is a habitual measure. These capture different concepts: actual additional hours worked versus normal weekly work hours. The CPS question targets overtime or extra work, while the ACS question targets baseline usual work hours.",no,CPS_0064,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies recent/last week context in CPS),usual/typical week (ongoing/habitual),"Question A asks about ADDITIONAL hours worked beyond a normal schedule, capturing supplemental work in a specific recent period, while Question B asks about usual/typical weekly hours at a current job rate. These address different dimensions of work hours: one is about variance/extra work and the other is about standard/baseline hours. The reference periods also differ—Question A is event-specific (additional hours worked) while Question B captures habitual/typical patterns.",no,CPS_0067,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies recent/current period),past 12 months (52 weeks),"Question A asks about ADDITIONAL hours worked, focusing on incremental work beyond some baseline, using an unspecified reference period. Question B asks about work consistency (every week vs. not every week) over a 12-month period. While both relate to work hours/weeks, they measure fundamentally different concepts: Question A captures supplemental work intensity, while Question B captures employment continuity. The reference periods also differ significantly.",no,CPS_0069,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implied: recent/last week context in CPS),usual/typical week,"Question A asks about ADDITIONAL hours worked (implying hours beyond a standard/usual amount), while Question B asks about usual hours worked per week at current rate. These measure different constructs: A captures supplemental/overtime work while B captures typical weekly hours. The ACS question asks what is 'usual' while CPS appears to ask about exceptional additional hours, making them complementary rather than equivalent measures.",no,CPS_0066,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implied: reference week),usual/typical weekly hours,"Question A asks specifically about ADDITIONAL hours worked beyond regular hours in a particular week, while Question B asks for a general estimate of usual hours per week. These measure different constructs: overtime/supplemental work versus baseline typical hours. Question A captures exceptional hours in a specific period, while Question B captures habitual/routine weekly work patterns.",no,CPS_0068,claude-haiku-4-5-20251001
related_but_distinct,high,not specified (implies current or recent work period),past 12 months (52 weeks),"Both questions address work intensity but measure fundamentally different constructs: Question A asks about ADDITIONAL hours worked (presumably beyond a standard schedule), while Question B asks about total WEEKS worked in a year. Question A captures intensity within a period, while Question B captures frequency/extent across a longer period. The reference periods are also misaligned—Question A's timeframe is ambiguous while Question B explicitly specifies 12 months.",no,CPS_0070,claude-haiku-4-5-20251001
