classification,confidence,reference_period_a,reference_period_b,reasoning,consolidation_potential,pair_id,model
related_but_distinct,high,since our last interview,lifetime (ever),"Question A asks whether any household member experienced a change in marital status during a recent reference period and is a yes/no/event-screening question about household members; Question B asks for the lifetime count of times a single person has been married. They differ in unit (household vs person), time frame (since last interview vs lifetime), and response format (change indicator vs numeric lifetime count).",partial,CPS_0010,gpt-5-mini
related_but_distinct,high,Since our last interview,not specified,"Question A asks whether any household member experienced any change in marital status since the last interview (a yes/no incidence question with a specific reference period). Question B asks only for the year the person last got married (a timing question about the last marriage event, with no reference period and not capturing divorce/separation/widowhood). They address related aspects of marital history but ask different specific things and use different response formats.",partial,CPS_0011,gpt-5-mini
exact_duplicate,high,now (current),not specified (implied current),"Both items ask for the respondent’s current marital status using the same categorical concept (married, widowed, divorced, separated, never married). CPS explicitly uses 'now' while the ACS question is phrased more generally but clearly intends current status; there is no substantive difference in meaning or response format.",yes,CPS_0012,gpt-5-mini
related_but_distinct,high,now (point-in-time),past 12 months,"Question A asks the respondent's current marital status (a point-in-time status: married, widowed, divorced, separated, never married). Question B asks about marital events that occurred in the past 12 months (whether the person got married, widowed, or divorced), which captures transitions over a year rather than current status, so they address related but different constructs.",no,CPS_0013,gpt-5-mini
related_but_distinct,high,"current (now, at interview)","lifetime (ever, up to interview)","Question A asks a person's current marital status (categorical: married, widowed, divorced, separated, never married). Question B asks how many times the person has been married (a lifetime count). These are related aspects of marital history but measure different constructs and are not interchangeable.",no,CPS_0014,gpt-5-mini
related_but_distinct,high,now/current,year of last marriage (historical event),"Question A asks current marital status (categorical: married, widowed, divorced, separated, never married). Question B asks for the year of the respondent's last marriage, a historical event that does not directly indicate current status (e.g., still married vs divorced/widowed) and cannot capture 'never married' without an explicit missing/none response rule. Thus they address the same general topic but ask different specific information.",partial,CPS_0015,gpt-5-mini
near_duplicate,high,usually (typical week),usually (typical week),"Both questions ask for the usual number of hours worked per week and use the same response format (numeric hours). The ACS wording “at this rate” is a minor contextual difference (it likely ties the hours to the job/rate referenced earlier) but does not change the core concept of usual weekly hours. Because of that small contextual anchoring, they are best classified as near duplicates rather than exact duplicates.",partial,CPS_0016,gpt-5-mini
near_duplicate,high,usually (typical),usually (typical),"Both questions ask for the usual number of hours worked per week at a specified job and use the same response concept (hours/week). The wording differs slightly: CPS explicitly references 'job/main job' while the ACS ties hours to 'this rate' (i.e., the job associated with the reported pay), but these are minor framing differences that do not change the underlying measurement. Response formats are the same (numeric hours/week).",partial,CPS_0017,gpt-5-mini
near_duplicate,high,not specified (usual/typical),not specified (usual/typical),"Both questions ask for the usual number of hours worked per week and use the same response metric (hours/week). The only substantive wording difference is that CPS explicitly refers to the respondent's job/main job, while the ACS phrasing ""at this rate"" relies on preceding context to identify the job; this is a minor contextual wording difference rather than a change in concept or response format.",partial,CPS_0018,gpt-5-mini
exact_duplicate,high,usually (typical),usually (typical),Both questions ask for the usual number of hours worked per week at a job and use the same implicit reference period ('usually') and numeric response format. Wording differs only in context cues (CPS: 'job/main job'; ACS: 'at this rate' referring to the job/rate just reported) but does not change the concept being measured.,yes,CPS_0019,gpt-5-mini
near_duplicate,high,usually (typical week),usually (typical week),"Both questions ask for the usual number of hours worked per week (numeric), so the core concept and response format match. The minor wording difference is that CPS explicitly references the respondent's job/main job while the ACS phrasing ties hours to ""this rate"" (likely in the context of a specific pay rate), which could create slight contextual differences for respondents with multiple jobs or rates. These are small framing differences that do not change the fundamental measure of usual hours per week.",partial,CPS_0020,gpt-5-mini
related_but_distinct,high,not specified (asks about 'usually' / typical current hours),past 12 months (52 weeks),"Question A asks for usual hours per week at the respondent's main job (a numeric measure of typical weekly hours) with no explicit reference period. Question B is a yes/no item about whether the person worked every week during the past 12 months (counting paid leave as work), which captures weeks worked over a year and not hours/week. They address related employment time concepts but ask different specific constructs, use different response formats, and have different reference periods and inclusions.",no,CPS_0021,gpt-5-mini
related_but_distinct,high,usual (not a fixed reference period),past 12 months (52 weeks),"Question A asks for the respondent's usual number of hours worked per week (a weekly intensity measure) with no fixed reference period, while Question B asks how many weeks the person worked during the past 12 months (a yearly participation/count measure). They address related labor supply concepts but ask different specific variables and use different reference frames and response formats, so they are not duplicates.",no,CPS_0022,gpt-5-mini
related_but_distinct,high,usually (typical week) — hours at other job(s),"usually (typical week) — hours at the job referenced by ""this rate""","Both ask for usual hours per week, but they refer to different jobs: Question A explicitly asks about hours at an ""other"" job (secondary job), while Question B asks hours at the job associated with the stated pay rate. Because the job reference differs, they capture distinct pieces of information despite the same time framing and response format.",no,CPS_0024,gpt-5-mini
reference_period_mismatch,high,not specified (asks for 'usually' — implied current/usual),past 12 months (in the weeks worked),"Both ask for usual hours per week and use a numeric response, but Question B explicitly references the past 12 months and averages over the weeks worked in that year, while Question A asks for the respondent's usual hours at their (main) job with no explicit reference period (effectively current usual). This difference in reference period (current/usual vs. past 12 months) can produce systematically different answers, so they are not exact duplicates.",partial,CPS_0023,gpt-5-mini
related_but_distinct,high,usually (typical week),usually (typical week),"Both ask for usual hours per week, but they refer to different jobs: CPS explicitly asks about hours at an ""other job(s)"" (i.e., secondary job), whereas the ACS question asks about hours ""at this rate,"" i.e., for the job tied to the previously reported pay rate (typically the job currently under discussion). Because the referent job differs, the items are about related concepts (hours/week) but are not interchangeable.",no,CPS_0025,gpt-5-mini
related_but_distinct,high,usually (per week),usually (per week),"Both ask for usual hours per week and share the same response format, but they refer to different jobs: Question A explicitly asks about hours at an ""other"" job(s), whereas Question B asks about hours ""at this rate"" (i.e., the specific job being referenced in that survey item). That difference in job scope makes them distinct in meaning even though the metric (hours/week, usual) is the same.",partial,CPS_0026,gpt-5-mini
related_but_distinct,high,usually (typical week),usually (typical week),"Both questions ask about usual hours per week, but they refer to different job contexts: CPS explicitly asks about ""other job(s)"" whereas the ACS asks ""at this rate"" (i.e., the job currently being referenced in the ACS questionnaire). That difference in which job the hours apply to can produce different answers for respondents with multiple jobs, so they are related in topic but ask distinct items.",partial,CPS_0027,gpt-5-mini
related_but_distinct,high,usually,usually,"Both ask for 'hours per week' with the same vague reference period ('usually'), but they refer to different work contexts: CPS asks specifically about hours at an ""other"" job (additional job(s)), while the ACS asks about hours worked ""at this rate,"" which in context refers to the referenced job/rate (typically the main job). Because the target job differs, the items are about different specific things and are not interchangeable.",no,CPS_0028,gpt-5-mini
related_but_distinct,high,usual (typical week),past 12 months (52 weeks),"Question A asks for usual hours per week specifically at a respondent's other job(s) with no explicit calendar reference and expects a numeric hours response. Question B asks a yes/no about whether the person worked every week during the past 12 months (counting paid leave and military service) and is about weeks worked overall, not hours or 'other' jobs. The items therefore cover related employment intensity topics but ask different specific constructs, reference periods, and response formats.",no,CPS_0029,gpt-5-mini
related_but_distinct,high,usually (not specified),past 12 months (52 weeks),"Question A asks about usual hours per week at an other job (a current/usual intensity measure), while Question B asks how many weeks the person worked in the past 12 months (a annual participation measure). They differ in the concept measured (hours/week vs weeks/year), the explicit reference period (A = usual; B = past 12 months), and A specifically targets ""other job(s),"" so they are related by employment but ask distinct things.",no,CPS_0030,gpt-5-mini
response_format_mismatch,high,not specified (asks about usual hours),not specified (asks about usual hours),"Both questions target usual weekly work hours, but Question A elicits a dichotomous 35+ hours yes/no whereas Question B requests a numeric usual hours-per-week value. Additionally, CPS explicitly allows hours at all jobs combined while the ACS phrasing ""at this rate"" implies hours tied to a particular job/rate, creating a scope difference beyond response format.",partial,CPS_0034,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Both items measure usual weekly hours but Question A is a binary threshold (do you usually work 35+ hours/week, explicitly allowing hours at all jobs combined) while Question B asks for a numeric usual hours-per-week value ""at this rate"" (appears job-specific). Because one is yes/no and the other is a numeric response (and may differ in scope: job-specific vs all jobs combined), they are not equivalent in response format or exactly in scope.",partial,CPS_0033,gpt-5-mini
response_format_mismatch,high,usually (not specified),usually (not specified),"Question A asks a yes/no threshold (usually work 35+ hours/week, including all jobs) while Question B requests a numeric usual hours-per-week value. The core concept (usual weekly hours) is the same, but the response formats differ: the numeric B can be thresholded to produce A's indicator, but A cannot produce B's detailed hour value. Additionally, CPS explicitly mentions hours across all jobs while ACS wording (""at this rate"") may refer to hours at a specific job, introducing a coverage/context difference.",partial,CPS_0032,gpt-5-mini
related_but_distinct,high,not specified,past 12 months,"Question A asks how many hours a respondent usually works at their other job(s) and uses no explicit reference period (asks for a usual/current amount). Question B asks how many hours the person usually worked per week during the weeks they worked over the past 12 months and is tied to the 12‑month recall period. The questions also differ in scope: A targets ""other"" job(s) specifically while B refers to the job context in the ACS (generally the job being reported), so they are related but ask distinct things.",no,CPS_0031,gpt-5-mini
response_format_mismatch,high,not specified,not specified,"Question A is a binary threshold question (usually work 35+ hours/week, at job/in family business/at all jobs combined) while Question B requests a numeric usual hours-per-week value. The two differ in response format (yes/no vs numeric) and possibly scope (CPS explicitly allows combined jobs; ACS wording ""at this rate"" likely refers to a particular job), so they are not identical despite measuring the same underlying concept of usual weekly hours.",partial,CPS_0035,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (52 weeks),"Question A asks about a respondent's usual weekly hours (a binary 35+ hours indicator), while Question B asks how many weeks the person worked in the past 12 months. They address different dimensions of work (intensity per week vs. duration across the year) and have different reference periods/temporal framing, so they are related but not equivalent.",no,CPS_0038,gpt-5-mini
response_format_mismatch,high,usually,usually (at this job/rate),"Both questions address usual hours per week, but CPS A is a binary threshold question (usually 35+ hours, including all jobs combined) while ACS B requests a numeric estimate of hours/week (apparently for the specified job/rate). The difference in response format (yes/no vs. numeric) and the CPS explicit inclusion of all jobs vs. ACS focus on hours at “this rate/job” make them not directly interchangeable without additional assumptions.",partial,CPS_0036,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (52 weeks),"Question A asks about a respondent's usual weekly hours (whether they usually work 35+ hours), i.e., a measure of usual hours/full-time status. Question B asks whether the person worked every week during the past 12 months (counting paid leave as work), i.e., a weeks-worked/attendance measure. They address related labor concepts but ask different specific constructs and use different or unspecified reference periods, so they are distinct.",no,CPS_0037,gpt-5-mini
response_format_mismatch,high,not specified,past 12 months (in weeks worked),"Question A asks a binary threshold (usually 35+ hours/week) with no explicit reference period, while Question B asks for a numeric usual hours/week but explicitly for the past 12 months (in weeks worked). The core concept (usual hours per week) is shared, but the answer format (yes/no vs a numeric hour value) and the explicit reference period in B make them not directly equivalent.",partial,CPS_0039,gpt-5-mini
reference_period_mismatch,high,the week before last / last week,usual (per week),"Question A asks about the exact number of hours worked in a specific recent week (last week/the week before last) and whether any hours were lost or taken off. Question B asks about the usual number of hours worked per week at that rate with no specific recent reference period. Because one is a point-in-time recall for a particular week and the other asks for a typical/usual week, they are not equivalent.",no,CPS_0041,gpt-5-mini
reference_period_mismatch,high,the week before last / last week (specific reference week),usually (typical week; no specific calendar reference),"Question A asks about the exact number of hours worked in a specific recent week and whether any hours were lost/taken off that week. Question B asks about the number of hours usually worked per week (a habitual or typical week). The core concept (hours/week) is similar, but the reference periods (specific past week vs usual week) and A's focus on lost/taken-off hours make them not equivalent.",no,CPS_0042,gpt-5-mini
reference_period_mismatch,high,the week before last / last week (specific reference week),usually (typical/average week),"Question A asks about the exact number of hours worked in a specific recent week and whether hours were lost or taken off that week. Question B asks about usual hours worked per week at a given rate (a typical or average week), not a specific reference period. This difference in reference period (specific recent week vs usual/week) meaningfully changes the concept measured and the comparability of responses.",no,CPS_0043,gpt-5-mini
reference_period_mismatch,high,last week / the week before last (specific recent week),usually (no specific reference period),"Question A asks about actual hours worked in a specific recent week and whether hours were lost or taken off that week. Question B asks for the usual number of hours worked per week at a given rate (a typical/usual week). The questions therefore differ primarily by reference period and also in scope (A captures week-specific, potentially atypical variation and lost hours; B captures usual hours).",partial,CPS_0040,gpt-5-mini
related_but_distinct,high,the week before last / last week,usual/typical week (no specific recent reference),"Question A asks about hours in a specific recent week and specifically whether any hours were lost or taken off during that week. Question B asks for the respondent's usual number of hours per week at a given rate (a typical/average week) and does not address lost hours in a specific reference week. The constructs and reference periods differ, so they are related by topic (hours worked) but ask distinct information.",no,CPS_0044,gpt-5-mini
related_but_distinct,high,THE WEEK BEFORE LAST / LAST WEEK,PAST 12 MONTHS (52 weeks),"Question A asks about lost or taken-off hours in a specific recent week (last week or the week before last) for any reason. Question B asks whether the person worked every week over the past 12 months, explicitly counting paid vacation/sick leave as work. They address the general topic of weeks/hours worked but ask different specific behaviors over different timeframes and treat paid leave differently, so they are distinct.",no,CPS_0045,gpt-5-mini
related_but_distinct,high,last week / the week before last,past 12 months (in the weeks worked),The CPS question asks whether the respondent lost or took off any hours in a specific recent week (last week or the week before last) and elicits a yes/no about hours lost in that short reference period. The ACS question asks for the usual number of hours worked per week averaged over the weeks worked in the past 12 months — a different time frame and a different metric (usual weekly hours versus occurrence of lost hours in a specific week).,no,CPS_0047,gpt-5-mini
related_but_distinct,high,the week before last / last week (a single specific recent week),the past 12 months (52 weeks),"Question A asks whether any hours were lost or taken off in a specific recent week (yes/no about hours missed from the main job). Question B asks for a numeric count of weeks worked over the past 12 months, including paid time off and weeks with only a few hours. The questions differ both in time frame and in the specific measured concept/response format, so they are related (work time) but distinct.",no,CPS_0046,gpt-5-mini
related_but_distinct,high,not specified,usual per week,"Question A asks about hours taken off (time not worked), while Question B asks about usual hours worked per week at a given rate. They address opposite concepts (time off vs usual work hours) even though both use 'hours' as the unit and numeric responses. The reference periods differ: A gives no explicit period, B asks for a usual weekly amount, so they are not interchangeable.",no,CPS_0048,gpt-5-mini
related_but_distinct,high,not specified,usual (typical week),"Question A asks about hours taken off (time absent), i.e., hours not worked, while Question B asks about usual hours worked per week at a given rate. They address opposite aspects of time use (absence vs usual work hours) even though both involve hours, so they are related in topic but measure different constructs and likely different reference frames.",no,CPS_0049,gpt-5-mini
related_but_distinct,high,not specified,usual hours per week,"Question A asks about hours taken off (time absent), whereas Question B asks for the respondent's usual number of hours worked per week at a given rate. They measure different constructs (time not worked vs typical hours worked) and B explicitly references a per-week usual rate while A provides no explicit reference period.",partial,CPS_0052,gpt-5-mini
related_but_distinct,high,not specified,usual (per week),"Question A asks about hours taken off (time not worked), while Question B asks about usual hours worked per week at a given rate. They address different constructs (time off versus typical work hours) and have different temporal framing (A has no explicit period, B asks about usual/typical weekly hours). Because they measure different specific aspects of hours, they are not equivalent.",no,CPS_0050,gpt-5-mini
related_but_distinct,high,not specified,not specified,"Question A asks about hours taken off (time not worked), while Question B asks about usual hours worked per week at a given rate. They address the same general topic (hours) but measure opposite constructs (time off vs usual work hours) and thus are not interchangeable.",no,CPS_0051,gpt-5-mini
related_but_distinct,high,not specified,PAST 12 MONTHS (52 weeks),"Question A asks about hours taken off (amount of leave/time not worked) with no specified reference period and in units of hours. Question B asks how many weeks the person worked over the past 12 months, inclusive of paid time off, and is in units of weeks. These differ both in the quantity measured (hours off vs weeks worked) and in reference period clarity, so they capture different constructs.",no,CPS_0054,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (52 weeks),"Question A asks for a quantity of hours taken off (with no explicit reference period in the wording provided), while Question B asks a yes/no about whether the person worked every week during the past 12 months (explicit reference period) and counts paid leave as work. They address related labor/time-off topics but differ in concept (hours off vs. weeks worked), response format, and an explicit time frame.",no,CPS_0053,gpt-5-mini
related_but_distinct,high,the week before last / last week,usually (typical/week),"Question A asks whether the respondent worked any overtime or extra hours in a specific recent week (binary yes/no about a particular reference week). Question B asks for the number of hours the respondent usually works per week (a general/usual numeric measure). They address the same general topic (hours worked) but ask different constructs (incidence of overtime in a specific week vs. typical weekly hours) and use different response formats, so they are not equivalent.",no,CPS_0056,gpt-5-mini
related_but_distinct,medium,not specified,past 12 months,"Question A asks about hours 'taken off' (time not worked) with no explicit reference period and likely measures time off/absence, whereas Question B asks about the number of hours usually worked per week during weeks worked over the past 12 months. They address different constructs (time off vs usual hours worked) and use different reference frames/response concepts.",no,CPS_0055,gpt-5-mini
related_but_distinct,high,last week / the week before last,not specified (asks about usual hours),"The CPS item asks a binary occurrence of working overtime/extra hours in a specific recent week (last week or the week before last). The ACS item asks for the number of hours usually worked per week at a given rate (a typical/usual hours measure), not about overtime in a particular week. These differ in measured concept (overtime incidence vs usual weekly hours), reference framing, and response type.",no,CPS_0057,gpt-5-mini
related_but_distinct,high,last week (or the week before last),usually (typical week),"Question A asks whether the respondent worked any overtime/extra hours in a specific recent week (yes/no about deviation from usual). Question B asks for the usual number of hours worked per week at a given rate (a numeric typical-hours question). They differ in reference period, specificity, and response format and therefore measure different things despite both being about hours.",no,CPS_0059,gpt-5-mini
related_but_distinct,high,last week / the week before last,usually (typical week),Question A asks whether the respondent worked any overtime/extra hours during a specific recent week (last week or the week before last) as a yes/no occurrence. Question B asks for the usual number of hours worked per week (a typical or usual week) and elicits a numeric value; it does not target a specific recent week or overtime occurrence. These differences make them about the same general topic (hours) but distinct constructs and response formats.,no,CPS_0058,gpt-5-mini
related_but_distinct,high,last week or the week before last,usually (not specified),"Question A asks a yes/no about whether the respondent worked overtime/extra hours in a specific recent week (last week or the week before last) beyond their usual schedule. Question B asks for a numeric estimate of the number of hours per week the respondent usually works at this rate (a typical/usual measure). They address the same general topic (hours) but ask different specific things, use different response formats, and have different reference periods.",no,CPS_0060,gpt-5-mini
related_but_distinct,high,last week / the week before last (1 week),past 12 months (52 weeks),"Question A asks whether the respondent worked overtime or extra hours in a specific recent week (last week or the week before last) at their main job. Question B asks whether the person worked every week over the past 12 months, including paid leave and military service, which measures continuity of weeks worked rather than overtime in a particular week. These address related topics (amount/timing of work) but different constructs and reference periods.",no,CPS_0061,gpt-5-mini
related_but_distinct,medium,not specified,not specified,"Question A asks about ""ADDITIONAL hours"" (implying extra hours beyond some baseline or in a particular instance) while Question B asks for the number of hours usually worked per week at a given rate. They address the same general topic (work hours) but ask different specific constructs (additional/extra hours versus usual weekly hours), so they are not interchangeable.",no,CPS_0064,gpt-5-mini
related_but_distinct,high,the week before last / last week,past 12 months (52 weeks),"Question A asks a yes/no about working overtime/extra hours in a specific recent week (last week or the week before last). Question B asks for a count of weeks worked over the past 12 months and explicitly includes paid time off and very short work weeks. They differ in substantive concept (overtime in a specific week vs total weeks worked over a year), time horizon, and response format.",no,CPS_0062,gpt-5-mini
related_but_distinct,high,last week (or the week before last),past 12 months (weeks worked),"Question A asks whether the respondent worked any overtime/extra hours in a specific recent week (yes/no), while Question B asks for the usual number of hours worked per week across weeks worked in the past 12 months (numeric). They differ in concept (overtime occurrence vs usual weekly hours), reference period, and response format, so they are related by topic (hours worked) but ask distinct things.",no,CPS_0063,gpt-5-mini
related_but_distinct,medium,not specified,usually per week,"Question A asks for 'additional hours' (an incremental amount) and lacks a clear reference period in the excerpt, while Question B asks for the usual total hours worked per week 'at this rate.' They measure different constructs (extra hours vs. usual weekly hours) and therefore are not interchangeable. The ambiguity of A's reference period adds to the distinction.",no,CPS_0065,gpt-5-mini
related_but_distinct,high,not specified,per week (usual),"Question A asks for 'additional hours' (i.e., extra hours relative to some baseline) with no specified time frame, while Question B asks for the respondent's usual number of hours worked per week at a given rate. They target different constructs (extra/additional hours vs usual weekly hours) and have different implicit reference frames and contexts.",no,CPS_0068,gpt-5-mini
related_but_distinct,high,not specified,usual week (per week),"Question A asks for ""additional"" hours (extra/overtime) and does not specify a time frame in the snippet, implying hours beyond some baseline; Question B asks for usual hours worked per week at a given rate. Thus they address different specific concepts (additional/extra hours vs usual weekly hours at a rate) even though both concern hours worked.",no,CPS_0067,gpt-5-mini
related_but_distinct,medium,not specified,usual per week,"Question A asks for 'additional hours' with no clear time frame or reference (e.g., additional to what or over which period), while Question B asks for the number of hours usually worked per week at a given rate. Although both concern hours, they target different concepts (extra/additional hours versus usual weekly hours) and A is ambiguous about the reference period, so they are not equivalent.",no,CPS_0066,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (52 weeks),"Question A asks for a numeric count of ""additional hours"" with no explicit reference period and ambiguous context for what ""additional"" refers to. Question B asks a yes/no about whether the person worked every week over the past 12 months and explicitly defines what counts as work; it measures weeks worked over a year rather than hours. The two questions therefore target different constructs (hours quantity vs weeks-worked binary) and are not interchangeable.",no,CPS_0069,gpt-5-mini
reference_period_mismatch,high,last week / the week before last (specific recent week),usually (typical week; no specific time frame),"Both questions measure weekly hours, but Question A asks about actual hours worked in a specific recent week (last week or the week before), while Question B asks for usual/typical hours per week at this rate. The different reference periods (specific recent week vs. usual/typical) can yield systematically different responses for respondents with variable schedules, overtime, or recent absences.",partial,CPS_0072,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (weeks worked),"Question A asks about ""ADDITIONAL hours"" with no explicit time frame in the standalone wording (likely a follow-up about extra/overtime hours), whereas Question B asks about the usual number of hours worked per week during weeks worked over the past 12 months. They therefore capture different specific constructs (additional/overtime hours vs usual weekly hours over a 12-month period) and are not interchangeable.",no,CPS_0071,gpt-5-mini
related_but_distinct,high,not specified,past 12 months (52 weeks),"Question A asks about a quantity of ""additional hours"" with no explicit time frame or unit of aggregation, while Question B asks for the number of weeks worked over the past 12 months. They address different specific constructs (hours vs. weeks and likely different reference periods), so they are on the same general topic (work time) but ask distinct measurements. Because A lacks a clear reference period and measures hours rather than weeks, they are not interchangeable.",no,CPS_0070,gpt-5-mini
reference_period_mismatch,high,last week (or the week before last) — a specific recent week,usual/regular week (typical hours per week),"Both questions measure hours-per-week but A asks about actual hours in a specific recent week while B asks about usual or typical weekly hours. That difference can produce systematic divergences when a respondent's last week was atypical (e.g., overtime, holiday, leave).",partial,CPS_0073,gpt-5-mini
reference_period_mismatch,high,last week / the week before last,usual per week (no specific recent reference),"Question A asks for actual hours worked in a specific recent week (last week or the week before last), while Question B asks for usual hours per week at the stated rate. The two therefore capture different reference periods and can diverge when a respondent's last week was atypical; B also adds the qualifier ""at this rate,"" which narrows context to hours associated with that pay rate.",no,CPS_0075,gpt-5-mini
reference_period_mismatch,high,last week or the week before last,usually (typical week),"Question A asks for actual hours worked in a specific recent week (last week or the week before last), while Question B asks for usual/typical hours per week. Although both elicit hours/week and use similar numeric response formats, the reference periods differ (actual recent week vs usual week), which can produce systematically different answers especially when weeks are atypical. There is also a minor contextual difference in A asking about a particular job (job/main job) and B referencing ""at this rate,"" but the primary mismatch is the time frame.",partial,CPS_0074,gpt-5-mini
reference_period_mismatch,high,last week or the week before last (specific recent week),usually / typical week (usual hours per week),"Both questions ask for hours-per-week numeric values for employment, but Question A asks for actual hours worked in a specific recent week while Question B asks for a usual (typical) number of hours per week at this rate. The difference in reference period (actual recent week vs usual/typical week) can produce systematically different responses when respondents' hours vary due to overtime, vacation, or atypical events.",partial,CPS_0076,gpt-5-mini
reference_period_mismatch,high,last week / the week before last,past 12 months (52 weeks),"Question A asks for actual hours worked in a specific short reference period (last week or the week before last). Question B asks whether the person worked every week over the past 12 months (yes/no) and explicitly counts paid leave and military service as work. The items therefore differ both in reference period and in response format/content (hours in a single week vs. weeks worked over a year), so they are not interchangeable.",no,CPS_0077,gpt-5-mini
reference_period_mismatch,high,Last week (or the week before last) - a specific recent week,Past 12 months (weeks worked) - usual weekly hours across that period,"Question A asks for actual hours worked in a specific recent week, while Question B asks for the usual number of hours per week across weeks worked during the past 12 months. The two differ both in reference period (specific past week vs past year) and in focus (actual hours in a specific week vs usual/typical hours), so they are not directly equivalent.",no,CPS_0079,gpt-5-mini
reference_period_mismatch,high,last week / the week before last (specific recent week),usually (typical week),"Question A asks for actual hours worked in a specific recent week (last week or the week before last) and explicitly refers to ""other job(s)."" Question B asks for usual/typical hours per week ""at this rate,"" which is a general habitual measure and may refer to hours at the current job/rate rather than an ""other"" job. The mismatch in reference period (specific recent week vs usual/typical week) and slight difference in job scope make them not interchangeable.",no,CPS_0080,gpt-5-mini
reference_period_mismatch,high,last week (or the week before last),past 12 months (52 weeks),"Question A asks for hours actually worked in a specific recent week at the respondent's job, while Question B asks for the number of weeks worked over the past 12 months. They therefore differ both in time frame and in the unit of measurement (hours in a week vs weeks in a year), so they are not equivalent. These differences prevent direct substitution or aggregation between the two items.",no,CPS_0078,gpt-5-mini
reference_period_mismatch,high,the week before last / last week (specific recent week),usually (typical week; usual hours per week),"Question A asks about actual hours worked in a specific recent week for 'other job(s)', whereas Question B asks about usual hours per week 'at this rate' (a habitual/typical week). They therefore differ in reference period and also potentially in job scope, so they are not directly equivalent.",partial,CPS_0082,gpt-5-mini
reference_period_mismatch,high,last week or the week before last (specific past week),usually (no specific reference period),"Question A asks for actual hours worked in a specific recent week (last week or the week before last) and refers to an ""other"" job; Question B asks for usual hours per week ""at this rate,"" a general typical weekly amount rather than a specific past week and likely referring to the job/rate just discussed. The differing reference periods (specific past week vs usual) — plus the job/context difference — mean they are not equivalent.",no,CPS_0081,gpt-5-mini
