pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,classification,confidence,reference_period_foodaps,reference_period_acs,reasoning,consolidation_potential
P_0014,FAPS_0019,Please verify or enter correct age.,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,current/unspecified,current/household,"Question A is a generic age verification request, while Question B is a specific inquiry about grandchildren's living arrangements. Though both involve age, they serve fundamentally different survey purposes and collect categorically different information.",no
P_0015,FAPS_0019,Please verify or enter correct age.,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,current,current,"Question A is a generic age verification request, while Question B is a specific inquiry about grandparental caregiving responsibilities. Though both touch on age, they serve fundamentally different survey purposes and collect distinct types of information.",no
P_0016,FAPS_0020,Are you male or female?,ACS_0022,What is Person 1’s sex?,Sex,near_duplicate,high,current,current,"Virtually identical survey questions asking about biological sex, with only minor phrasing variations. Both seek to determine sex of survey respondent using direct, simple language. Substantively equivalent in meaning and intent.",yes
P_0017,FAPS_0020,Are you male or female?,ACS_0028,What is Person 2’s sex?,Sex,near_duplicate,high,current/moment of survey,current/moment of survey,"Both questions ask about biological sex with minimal wording variation, maintaining identical core semantic meaning. Slight syntactic differences do not substantially alter interpretation.",partial
P_0018,FAPS_0020,Are you male or female?,ACS_0034,What is Person 3’s sex?,Sex,near_duplicate,high,current,current,"Both questions seek to determine biological sex with minimal contextual differences. ACS specifies 'Person 3' which adds specificity, but core meaning remains equivalent",partial
P_0019,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,current,current,"Question A asks about comprehensive racial/ethnic identity with multiple selection, while Question B specifically targets Hispanic/Latino origin as a separate inquiry. These are distinct approaches to collecting demographic data, with different scopes and intent.",partial
P_0020,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race,near_duplicate,high,current,current,"Both questions seek to capture racial/ethnic identity, with FoodAPS offering multi-select and ACS appearing more single-selection, but fundamentally addressing the same demographic attribute",partial
P_0021,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,current,current,"Question A is broader, asking about overall race/ethnicity, while Question B specifically targets Hispanic/Latino origin as a separate dimension. These are complementary but not equivalent demographic capture mechanisms.",partial
P_0022,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race,near_duplicate,high,current,current,"Both questions aim to capture respondent's racial identity, with Question A allowing multiple selections and Question B focusing on specific person's race. The core concept of race identification is consistent.",partial
P_0023,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,present,present,"Question A is broader and allows multiple racial/ethnic selections, while Question B specifically targets Hispanic/Latino origin as a separate identity category. They collect related but different demographic information about racial/ethnic identity.",partial
P_0024,FAPS_0021,What is your race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race,near_duplicate,high,current,current,"Both questions aim to capture race information, with Question A allowing multiple selections and Question B specifying a particular person, but fundamentally seeking same demographic data",partial
P_0025,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital,near_duplicate,high,current,current,"Both questions aim to capture current marital status with near-identical semantic intent. Question A lists specific marital statuses explicitly, while Question B uses a more general phrasing. Core concept is identical.",partial
P_0026,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,reference_period_mismatch,high,current/present status,past 12 months,"Both questions address marital status, but Question A captures current status while Question B asks about changes in past year. This temporal difference means they measure slightly different aspects of marital status.",partial
P_0027,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital,response_format_mismatch,high,current,lifetime,"Question A asks about current marital status with categorical options, while Question B asks for total number of marriages across entire life, representing fundamentally different data collection approaches for marital history",partial
P_0028,FAPS_0023,"Are you currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital,response_format_mismatch,high,current,historical,"Question A captures current marital status categorically, while Question B seeks the specific year of last marriage, requiring different response approaches despite covering marital status",partial
P_0029,FAPS_0024,Is your spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship,related_but_distinct,high,current,current,"Question A specifically asks about spouse household membership, while Question B asks about broader household relationship to Person 1. Question B is more general and would capture a wider range of relationship types beyond just spousal status.",partial
P_0030,FAPS_0024,Is your spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship,related_but_distinct,high,current,current,"Question A is specifically about spouse membership, while Question B asks about broader household relationship to Person 1. A is more narrowly focused, while B captures a wider range of potential relationships.",partial
P_0031,FAPS_0024,Is your spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,current,current,"Question A is a specific yes/no query about spousal household membership, while Question B is a broader categorical relationship categorization that covers multiple potential relationships beyond spouse status",partial
P_0032,FAPS_0045,What is NAME’s relationship to you?,ACS_0021,How is this person related to Person 1?,Relationship,near_duplicate,high,current,current,"Nearly identical questions asking about relationship to a reference person, with only slight wording differences. Both seek to establish household/family relationship status.",partial
P_0033,FAPS_0045,What is NAME’s relationship to you?,ACS_0027,How is this person related to Person 1?,Relationship,near_duplicate,high,,,"Both questions ask about the relationship between survey respondent and another person in the household, with only minor grammatical variation in wording. Core semantic meaning is identical.",partial
P_0034,FAPS_0045,What is NAME’s relationship to you?,ACS_0033,How is this person related to Person 1?,Relationship,near_duplicate,high,present/current,present/current,"Very similar phrasing asking about familial relationship/relation to respondent, minimal linguistic differences in wording, core semantic meaning remains consistent",partial
P_0035,FAPS_0046,What is NAME’s date of birth?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,related_but_distinct,high,point-in-time,point-in-time,"Question A requests only DOB, while Question B requests both age and DOB. The questions target similar demographic information but are not equivalent in data collection scope.",partial
P_0036,FAPS_0046,What is NAME’s date of birth?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,near_duplicate,high,at survey time,at survey time,"Both questions seek to obtain birthdate/age information for a specific person, with slight variation in phrasing. Question A asks directly for birthdate, while Question B explicitly requests both age and birthdate, but fundamentally seeking same demographic information",partial
P_0037,FAPS_0046,What is NAME’s date of birth?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,near_duplicate,high,current,current,"Both questions seek to establish an individual's age/birthdate, with only a slight difference in question phrasing. Question B explicitly references a specific person number, but core information sought is equivalent.",partial
P_0038,FAPS_0046,What is NAME’s date of birth?,ACS_0072,Where was this person born?,Age,related_but_distinct,high,current/point-in-time,historical/lifetime,"Question A directly solicits birth date, while Question B seeks birthplace. Though both relate to birth, they capture different types of demographic information.",partial
P_0039,FAPS_0046,What is NAME’s date of birth?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,point-in-time,point-in-time,"Question A requests a specific individual's birthdate, while Question B inquires about grandchild living arrangements. Although both questions touch on age-related themes, they capture fundamentally different types of demographic information.",no
P_0040,FAPS_0046,What is NAME’s date of birth?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,point-in-time,current situation,"Question A requests an individual's birth date, while Question B asks about a specific caregiving relationship involving grandparents, with only tangential connection to age. Different survey purposes and data collection goals.",no
P_0041,FAPS_0047,Is NAME male or female?,ACS_0022,What is Person 1’s sex?,Sex,near_duplicate,high,current,current,"Both questions seek to identify an individual's sex/gender using nearly identical direct questioning approach, with only slight wording variation",partial
P_0042,FAPS_0047,Is NAME male or female?,ACS_0028,What is Person 2’s sex?,Sex,near_duplicate,high,current,current,"Both questions seek to identify an individual's sex/gender using direct, personal phrasing. Minor grammatical differences (e.g., 'NAME' vs 'Person 2') do not substantially alter meaning. Wording is functionally equivalent.",yes
P_0043,FAPS_0047,Is NAME male or female?,ACS_0034,What is Person 3’s sex?,Sex,exact_duplicate,high,current,current,"Both questions directly ask about the sex/gender of a specific person using very similar language and intent, with no meaningful differences in wording or conceptual approach",yes
P_0044,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0024,"Is Person 1 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,current/at survey time,current/at survey time,"Question A asks about race more comprehensively and allows multiple selections, while Question B specifically inquires about Hispanic/Latino/Spanish origin as a distinct ethnic category. They capture different but overlapping demographic information.",partial
P_0045,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0025,What is Person 1’s race?,Race,near_duplicate,high,current,current,"Both questions target race identification, with FoodAPS slightly more inclusive by specifying 'and/or ethnicity' and allowing multiple selections, while ACS is more narrowly worded",partial
P_0046,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0030,"Is Person 2 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,,,"Question A asks about comprehensive race/ethnicity, allowing multiple selections, while Question B specifically focuses on Hispanic/Latino origin as a separate dimension of identity. They cover related but distinct aspects of racial/ethnic self-identification.",partial
P_0047,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0031,What is Person 2’s race?,Race,near_duplicate,high,current/point-in-time,current/point-in-time,"Both questions aim to capture an individual's racial identity, with Question A explicitly allowing multiple selections and Question B potentially implying single selection. Minor wording differences exist, but core conceptual measurement is equivalent.",partial
P_0048,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0036,"Is Person 3 of Hispanic, Latino, or Spanish origin?",Race,related_but_distinct,high,not specified,not specified,"Question A allows multiple race/ethnicity selections broadly, while Question B specifically queries Hispanic/Latino/Spanish origin as a separate category. This reflects different survey design approaches to capturing demographic identity.",partial
P_0049,FAPS_0048,What is NAME’s race and/or ethnicity? Select all that apply.,ACS_0037,What is Person 3’s race?,Race,near_duplicate,high,current,current,"Both questions seek to identify an individual's racial identification, with Question A being slightly more inclusive by explicitly mentioning 'and/or ethnicity' and allowing multiple selections. Question B is more concisely worded but appears to cover the same fundamental information collection goal.",partial
P_0050,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0094,What is this person’s marital status?,Marital,near_duplicate,high,current,current,"Both questions seek to capture marital status directly, with only slight phrasing differences. FoodAPS is more explicit about listing status options, while ACS is more open-ended, but the core information request is essentially identical.",partial
P_0051,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,reference_period_mismatch,high,current status,past 12 months,"Both questions address marital status changes, but Ques A captures current state while Ques B focuses on changes within past year. Different temporal scopes create potential data inconsistency.",partial
P_0052,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0096,How many times has this person been married?,Marital,response_format_mismatch,high,current,lifetime,"Question A asks about current marital status, while Question B seeks total lifetime marriages; different response formats and temporal perspectives on marital history",partial
P_0053,FAPS_0050,"Is NAME currently married, widowed, divorced, separated, or never married?",ACS_0097,In what year did this person last get married?,Marital,related_but_distinct,high,current status,last marriage year,"Question A captures current marital status, while Question B seeks historical marriage timing; they approach marital information differently",partial
P_0054,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0021,How is this person related to Person 1?,Relationship,near_duplicate,high,current,current,"Both questions seek to establish household relationship status, with Question B being more open-ended and Question A specifically targeting spouse membership. They capture conceptually similar household relationship information with slightly different linguistic approaches.",partial
P_0055,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0027,How is this person related to Person 1?,Relationship,near_duplicate,high,current/present,current/present,"Both questions seek to understand household relationship status, with ACS question being slightly more open-ended by allowing more specific relationship types beyond spouse. FoodAPS is more binary/direct about spousal membership.",partial
P_0056,FAPS_0051,Is NAME’s spouse a member of this household?,ACS_0033,How is this person related to Person 1?,Relationship,related_but_distinct,high,current,current,"Question A specifically asks about spousal membership, while Question B asks about a broader relationship to Person 1. A is narrower and more binary (yes/no), while B allows for multiple relationship categories.",partial
P_0057,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,current/upcoming week and weeks,current/lifetime,"Question A asks about school attendance status/reasons for non-attendance, while Question B asks about age and birthdate. Though both questions touch on age/school-related attributes, they fundamentally measure different information and cannot be considered equivalent survey questions.",no
P_0058,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,related_but_distinct,high,current/near future week(s),current moment,"Question A asks about school attendance status/reason, while Question B requests basic demographic age information. They touch on education/age topics but measure fundamentally different aspects.",no
P_0059,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,current week and next week,current moment,"Question A asks about school attendance status, while Question B asks about age details. Though both relate to a person's status, they capture fundamentally different types of information about an individual.",no
P_0060,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0072,Where was this person born?,Age,not_comparable,high,current school week/next week,lifetime/birth,"Question A asks about current school attendance status, while Question B asks about birthplace origin. They address completely different information about an individual, with no substantive overlap.",no
P_0061,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,current school week/next week,current household composition,"Question A inquires about a specific person's school attendance status, while Question B asks about grandchild residency. They cover different topics and serve different survey purposes with no substantive overlap.",no
P_0062,FAPS_0054,What is the reason NAME will not attend school this week and next week?  (1) Summer vacation/summer break  (2) Other school break  (3) Home schooled (4) Disabled (5) Not old enough (6) Not enrolled (7) Graduated (8) Other,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,current school term,current living situation,"Questions address completely different domains - one about student school attendance status, the other about grandparental caregiving responsibility. No substantive conceptual overlap.",no
P_0063,FAPS_0075,Have you received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,30 days,12 months,Questions ask about same SNAP benefit receipt but differ in time window of assessment: 30 days vs 12 months. Core concept identical but specific time frame differs.,partial
P_0064,FAPS_0076,Has anyone at this address received benefits from the Supplemental Nutrition Assistance Program in the past 30 days? This program is also known as [FILL IN STATE SNAP NAME] or food stamps and it puts money on an EBT card that you can use to buy food.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,30 days,12 months,"Both questions ask about SNAP/food stamp benefits receipt, but use different time frames (30 days vs 12 months). Identical program description and core concept, but potentially different respondent recall and program participation insights due to time period difference.",partial
P_0065,FAPS_0077,How many [FILL IN STATE SNAP NAME] EBT cards are issued to people at this address ?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,current/instantaneous,past 12 months,"Question A asks about current EBT card issuance count at an address, while Question B asks about past receipt of SNAP benefits by household members",partial
P_0066,FAPS_0078,You said there is one [FILL IN STATE SNAP NAME] card in this household. Now we will ask about who in the household is assigned to the EBT card. Select the names of the people below that receive [FILL SNAP] benefits together under that EBT card,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,current/ongoing,past 12 months,"Question A focuses on specific household EBT card assignment, while Question B asks about broader SNAP benefit receipt. A is about card details, B is about program participation. Different levels of specificity and intent.",partial
P_0067,FAPS_0079,You said there are two [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the two EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under those two EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,current/ongoing,past 12 months,"Question A is about specific EBT card assignment within a household at present, while Question B asks about broader SNAP benefit receipt over a past year period. A is more granular and focused on card distribution, B is about overall program participation.",partial
P_0068,FAPS_0080,You said there are three or more [FILL IN STATE SNAP NAME] cards in this household. Now we will ask about who in the household is assigned to the first three EBT cards. Select the names of the people below that receive [FILL SNAP] benefits together under the first three EBT cards.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,current/moment of survey,past 12 months,"Question A is focused on specific EBT card assignment within a household, while Question B is a broader yes/no receipt of SNAP benefits. Question A appears more procedural and administrative, whereas Question B is collecting general program participation data.",partial
P_0069,FAPS_0081,On what date did [you/you and names of SNAP group 1 from B1ba ] last receive [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,date of last receipt,past 12 months,"Both questions ask about SNAP benefits receipt, but with fundamentally different temporal scopes - Question A seeks a specific last receipt date, while Question B asks about broader receipt within a 12-month window",partial
P_0070,FAPS_0082,How many dollars were put on your EBT card the last time you received [FILL IN STATE SNAP NAME] benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,last receipt of benefits,past 12 months,"Question A asks about specific dollar amount at last benefit receipt, while Question B asks about binary participation in SNAP over past year. Questions address different aspects of SNAP participation - precise financial detail vs. overall receipt status.",partial
P_0071,FAPS_0084,[Have you/Has anyone at this address] ever received benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,lifetime/ever,past 12 months,"Both questions ask about SNAP benefits receipt, but Question A uses an 'ever' framing while Question B specifies a 12-month timeframe. Core meaning is similar but time context differs significantly.",partial
P_0072,FAPS_0085,Did (you/anyone at this address) receive benefits from SNAP in the last 12 months?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,near_duplicate,high,last 12 months,past 12 months,Virtually identical questions about SNAP benefits with only minor grammatical differences. Both ask about household/address SNAP receipt in same time period.,yes
P_0073,FAPS_0086,Select the names of the people below that received benefits from SNAP during the last 12 months.,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,near_duplicate,high,last 12 months,past 12 months,"Both questions ask about SNAP benefits within an essentially identical time frame, with nearly identical language. The primary differences are minor wording variations and slight nuances in question structure (selecting names vs. confirming receipt).",partial
P_0074,FAPS_0087,On what date did [you/someone at this address] last receive benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,last received date (point in time),past 12 months (interval),"Both questions ask about SNAP benefits, but Question A seeks a specific date of last receipt, while Question B asks about receipt within a 12-month timeframe",partial
P_0075,FAPS_0088,How many dollars were put on the SNAP EBT card at that time?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,point-in-time,past 12 months,"Question A asks about a specific dollar amount loaded onto a SNAP card at a single moment, while Question B asks about overall SNAP benefit receipt over a year; they examine different aspects of SNAP participation",partial
P_0076,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0022,What is Person 1’s sex?,Sex,response_format_mismatch,high,current,current,"Both questions aim to capture sex/gender information, but Question A specifies a female subset with age constraints, while Question B asks generally about sex with no age limitations. Different response approaches and scoping.",partial
P_0077,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0028,What is Person 2’s sex?,Sex,related_but_distinct,high,current,current,"Question A is specifically requesting a list of female household members in a specific age range, while Question B is a simple sex identification query for a specific person. A focuses on demographic listing, B on individual sex identification.",partial
P_0078,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0034,What is Person 3’s sex?,Sex,related_but_distinct,high,current household composition,current household composition,"While both questions relate to sex/gender, Question A specifically requests listing female household members within a narrow age range, while Question B simply asks about the sex of a specific household member without age constraints",partial
P_0079,FAPS_0105,Do you use most of your benefits from [FILL IN STATE SNAP NAME] at [Fill store from C1 or at Fill store from C3]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,near_duplicate,high,not specified,past 12 months,"Both questions target SNAP benefit usage/receipt, but Question A appears more store-specific while Question B is about broader household benefit receipt. Minor wording and context differences.",partial
P_0080,FAPS_0106,Where do you do most of your food shopping when using your benefits from [FILL IN STATE SNAP NAME]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,unspecified/current,past 12 months,"Question A asks about shopping behavior while using SNAP benefits, while Question B asks about SNAP benefit receipt as a yes/no screening question. A focuses on shopping location/behavior, B focuses on program participation status.",partial
P_0081,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0094,What is this person’s marital status?,Marital,not_comparable,high,,,"Question A asks about transportation/store trip costs, while Question B inquires about personal marital status. These are entirely unrelated survey questions from different domains with no substantive overlap.",no
P_0082,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,not_comparable,high,typical/usual,past 12 months,"Question A asks about transportation store trip costs, while Question B inquires about marital status changes. No substantive overlap in content or purpose.",no
P_0083,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0096,How many times has this person been married?,Marital,not_comparable,high,unspecified/current,lifetime,"Question A asks about store trip cost, while Question B asks about total number of marriages, representing completely different survey topics and data collection goals",no
