survey,source_q_id,source_text,has_consolidable_path,best_match_q_id,best_match_text,best_feasibility,score_borda,score_entropy,triage_quadrant,pair_id
CPS,CPS_148,When did (you/he/she) last work at (a/that) job or business?,True,ACS_114,"When did this person last work, even for a few days?",F2,0.5833333333333334,0.3952206141746329,Q1,CPS_0392
CPS,CPS_149,Earlier you told me (you/name) had a currently active professional certification or license. Is (your/his/her) certifica,False,ACS_0,What are your usual activities or duties at this job?,F3,0.0,0.33,Q2,CPS_1075
CPS,CPS_15,What is the name of the person or one of the persons who owns or rents that home?,False,ACS_56,"Is this house, apartment, or mobile home – Mark (X) ONE box. Owned by you or someone in this household with a mortgage o",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0272
CPS,CPS_150,What was the month and year that (you/he/she) last worked?,True,ACS_114,"When did this person last work, even for a few days?",F1,1.0,1.0,Q1,CPS_0397
CPS,CPS_151,"As of the end of (THE WEEK BEFORE LAST/LAST WEEK), how long had (you/he/she) been looking for work?",False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0196
CPS,CPS_152,We would like to have that in weeks if possible. Exactly how many weeks (have/has) (name/you) been looking for work?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0198
CPS,CPS_153,(Have / Has) (you/he/she) been looking for full time work of 35 hours or more per week?,False,ACS_6,How many hours do you usually work per week at this rate?,F3,0.0,0.33,Q2,CPS_0112
CPS,CPS_16,With whom am I speaking?,False,ACS_18,Please print the name and telephone number of the person who is filling out this form.,F3,0.0833333333333333,0.194660899518849,Q4,CPS_0254
CPS,CPS_168,What is the main reason (you/he/she) (was/were) not looking for work during the LAST 4 WEEKS?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0200
CPS,CPS_169,Did (name/you) look for work at any time during the last 12 months?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0202
CPS,CPS_170,Did (you/he/she) actually WORK at a job or business during the last 12 months?,True,ACS_114,"When did this person last work, even for a few days?",F1,0.9166666666666666,0.5898815136934819,Q1,CPS_0407
CPS,CPS_171,Did (you/he/she) do any of this work during the last 4 weeks?,True,ACS_114,"When did this person last work, even for a few days?",F1,0.8333333333333334,0.5898815136934819,Q1,CPS_0412
CPS,CPS_173,And since (name/you) LEFT that job or business (have/has) (you/he/she) looked for work?,False,ACS_111,Has this person been informed that he or she will be recalled to work within the next 6 months OR been given a date to r,F3,0.0,0.33,Q2,CPS_0204
CPS,CPS_174,"(THE WEEK BEFORE LAST/LAST WEEK), could (you/he/she) have started a job IF one had been offered?",True,ACS_113,"LAST WEEK, could this person have started a job if offered one, or returned to work if recalled?",F2,0.6666666666666666,0.2818152899285843,Q3,CPS_0207
CPS,CPS_177,(Have / Has) (name/you) worked at a job or business at any time during the past 12 months?,True,ACS_114,"When did this person last work, even for a few days?",F1,0.5833333333333334,0.0793801642856949,Q3,CPS_0422
CPS,CPS_180,What is the main reason (you/he/she) left (your/his/her) last job?,False,ACS_109,"LAST WEEK, was this person on layoff from a job?",F3,0.0833333333333333,0.194660899518849,Q4,CPS_0435
CPS,CPS_181,(Do / Does) (name/you) intend to look for work during the next 12 months?,False,ACS_112,"During the LAST 4 WEEKS, has this person been ACTIVELY looking for work?",F3,0.0,0.33,Q2,CPS_0888
CPS,CPS_182,"Last month, it was reported that (name/you) worked for (input.IO1NAM). (Do / Does) (you/he/she) still work for (input.IO",True,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",F2,0.5,0.67,Q1,CPS_0439
CPS,CPS_183,Have the usual activities and duties of (your/his/her) job changed since last month?,False,ACS_0,What are your usual activities or duties at this job?,F3,0.1,0.1796896480488135,Q4,CPS_1076
CPS,CPS_184,Last month (name/you) (was/were) reported as (a/an) (input.IO1OCC) and (your/his/her) usual activities were (input.IO1DT,True,ACS_0,What are your usual activities or duties at this job?,F2,0.5,0.67,Q1,CPS_1077
CPS,CPS_19,Are all persons – 1 Under 15 years of age 2 Non-household members,False,ACS_16,Is there any reason the information from this interview should NOT be used?,F3,0.0,0.33,Q2,CPS_0264
CPS,CPS_193,(Were/Was) (name/you) working for pay?,True,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F2,0.5,0.67,Q1,CPS_0443
CPS,CPS_20,How (are / is) (name/you) related to (reference person's name/you)?,True,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F1,0.9166666666666666,0.5898815136934819,Q1,CPS_0494
CPS,CPS_205,"What kind of work (DO/DOES/DID) (name/you) do, that is, what (is/was) (your/his/her) occupation? F",False,ACS_0,What are your usual activities or duties at this job?,F3,0.0,0.33,Q2,CPS_1078
CPS,CPS_21,Earlier you said that (name of person talking about) (was/were) not related to (reference person's name/you). (Are / Is),False,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F3,0.1666666666666666,0.1388045457857206,Q4,CPS_0497
CPS,CPS_22,Who (are / is) (name of person talking about) related to?,True,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F2,0.5,0.67,Q1,CPS_0500
CPS,CPS_225,"What kind of work (DO/DOES/DID) (name/you) do, that is, what (is/was) (your/his/her) occupation",False,ACS_0,What are your usual activities or duties at this job?,F3,0.0,0.33,Q2,CPS_1082
CPS,CPS_226,What (are / were) (your/his/her) usual activities or duties at this job?,True,ACS_0,What are your usual activities or duties at this job?,F1,1.0,1.0,Q1,CPS_1083
CPS,CPS_23,Is (name's/your) parent a member of this household?,True,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F1,0.8333333333333334,0.4206198357143049,Q1,CPS_0503
CPS,CPS_236,(Was/Were) (name/you) working for pay?,True,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F2,0.5,0.67,Q1,CPS_0463
CPS,CPS_24,"(Are / Is) (name of person talking about) (your / mother's name) biological, step, or adopted child?",True,ACS_31,What is Person 3’s name? How is this person related to Person 1?,F2,0.5833333333333334,0.3952206141746329,Q1,CPS_0508
CPS,CPS_248,"What kind of work (DO/DOES/DID) (name/you) do, that is, what (is/was) (your/his/her) occupation?",False,ACS_0,What are your usual activities or duties at this job?,F3,0.0,0.33,Q2,CPS_1086
CPS,CPS_25,Is (name's/your) other parent a member of this household?,True,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F2,0.4166666666666667,0.3952206141746329,Q1,CPS_0509
CPS,CPS_253,"For (name's/your) (job/MAIN job), what is the easiest way for you to report (your/his/her) total earnings BEFORE taxes o",False,ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",F3,0.0,0.33,Q2,CPS_0920
CPS,CPS_255,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MA",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.5,0.67,Q1,CPS_0927
CPS,CPS_256,What is your best estimate of (your/his/her) hourly rate of pay?,True,ACS_5,What is your best estimate of your hourly rate of pay?,F1,1.0,1.0,Q1,CPS_0934
CPS,CPS_257,How many hours (do/does) (name/you) usually work per week at this rate?,True,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",F2,0.5,0.67,Q1,CPS_0127
CPS,CPS_259,"(How/At (your/his/her) MAIN job, how) much (do/does) (you/he/she) usually receive JUST in overtime pay, tips or commissi",True,ACS_2,"Do you usually receive overtime pay, tips, or commissions [at your main job]?",F1,0.8333333333333334,0.4206198357143049,Q1,CPS_0211
CPS,CPS_26,"(Are / Is) (name of person talking about) (your / father's name) biological, step, or adopted child?",True,ACS_31,What is Person 3’s name? How is this person related to Person 1?,F2,0.5,0.1409076449642921,Q3,CPS_0514
CPS,CPS_260,"What is your best estimate of how much (you/he/she) usually (earn/earns) WEEKLY, JUST in overtime pay, tips, or commissi",True,ACS_9,"What is your best estimate of how much you usually earn weekly, JUST in overtime pay, tips, or commissions, before taxes",F1,1.0,1.0,Q1,CPS_0942
CPS,CPS_261,"Do not ask: Usual (weekly/hourly/monthly/annual) earnings in overtime pay, tips or commissions recorded as: (ERNOTO) Is ",True,ACS_8,"How much do you usually receive JUST in overtime pay, tips or commissions, before taxes or other deductions?",F2,0.6,0.3648244369475912,Q1,CPS_0947
CPS,CPS_264,What is your best estimate of the number of hours per week (you/he/she) usually (work/works) at this rate?,True,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",F2,0.5,0.67,Q1,CPS_0159
CPS,CPS_265,I have estimated (your/his/her) usual WEEKLY earnings (as/for (your/his/her) main job as) (AMOUNT) before taxes or other,True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.5,0.67,Q1,CPS_0951
CPS,CPS_266,Which piece or pieces of information do not seem to be correct?,False,ACS_1,"For your [main] job, what is the easiest way for you to report your total earnings BEFORE taxes or other deductions: hou",F3,0.0,0.33,Q2,CPS_0955
CPS,CPS_267,"What is (name's/your) hourly rate of pay on this job, excluding overtime pay, tips or commissions?",True,ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",F1,1.0,1.0,Q1,CPS_0962
CPS,CPS_268,How many hours (do/does) (name/you) usually work per week at the rate of (entry in ERNH1C/ERNH1O)?,True,ACS_11,How many hours do you usually work per week at this rate?,F1,0.9166666666666666,0.5898815136934819,Q1,CPS_0163
CPS,CPS_269,"How much (do/does) (name/you) usually earn (weekly/monthly/annually) just in overtime pay, tips or commissions?",True,ACS_9,"What is your best estimate of how much you usually earn weekly, JUST in overtime pay, tips, or commissions, before taxes",F1,0.7,0.3873983807106558,Q1,CPS_0972
CPS,CPS_27,"(REF_FNAME ^REF_LNAME’s) parent is also (name of person talking about)’s parent, is that correct?",True,ACS_26,What is Person 2’s name? How is this person related to Person 1?,F2,0.5,0.67,Q1,CPS_0516
CPS,CPS_270,"How much (do/does) (name/you) usually earn hourly just in overtime pay, tips or commissions?",True,ACS_8,"How much do you usually receive JUST in overtime pay, tips or commissions, before taxes or other deductions?",F2,0.6,0.3648244369475912,Q1,CPS_0977
CPS,CPS_271,How many hours (do/does) (name/you) usually work per week at the rate of (entry in ERNOHC/ERNOTO)?,True,ACS_6,How many hours do you usually work per week at this rate?,F1,0.9166666666666666,0.5898815136934819,Q1,CPS_0168
CPS,CPS_272,"Then, including overtime pay, tips and commissions, what are (name/you) usual WEEKLY earnings on (this job/ (your/his/he",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.5,0.67,Q1,CPS_0981
CPS,CPS_273,"I have estimated (your/his/her) total WEEKLY earnings (as/ for (your/his/her) main job, as (entry in ERNX2) WEEKLY befor",True,ACS_5,What is your best estimate of your hourly rate of pay?,F2,0.4,0.3648244369475912,Q1,CPS_0988
CPS,CPS_274,"(Including overtime pay, tips and commissions,) What are (name's/your) usual weekly earnings on (this job/ (your/his/her",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.5,0.67,Q1,CPS_0993
CPS,CPS_275,"(Including overtime pay, tips and commissions,) what are (name's/your) usual twice monthly earnings on (this job/ (your/",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.5,0.67,Q1,CPS_0999
CPS,CPS_276,"(Including overtime pay, tips and commissions,) what are (name's/your) usual monthly earnings on (this job/ (your/his/he",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.4,0.3648244369475912,Q1,CPS_1005
CPS,CPS_277,"(Including overtime pay, tips and commissions,) what are (name's/your) usual annual earnings on (this job/ (your/his/her",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.4,0.3648244369475912,Q1,CPS_1011
CPS,CPS_278,"(Including overtime pay, tips and commissions,) what are (name's/your) usual bi weekly earnings on (this job/ (your/his/",True,ACS_5,What is your best estimate of your hourly rate of pay?,F2,0.5,0.67,Q1,CPS_1018
CPS,CPS_279,What is your best estimate of (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings before taxes or other dedu,True,ACS_5,What is your best estimate of your hourly rate of pay?,F2,0.5,0.67,Q1,CPS_1024
CPS,CPS_280,I have recorded (your/his/her) total earnings (for (your/his/her) (as/main job ) (ERNAMT) (weekly/bi-weekly/monthly/annu,True,ACS_5,What is your best estimate of your hourly rate of pay?,F2,0.4,0.3648244369475912,Q1,CPS_1030
CPS,CPS_281,"(Including overtime pay, tips and commissions,), what are (your/his/her) usual (weekly/bi-weekly/monthly/annual) earning",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.4,0.3648244369475912,Q1,CPS_1035
CPS,CPS_282,How many weeks a year (do/does) (name/you) get paid for?,False,ACS_11,How many hours do you usually work per week at this rate?,F3,0.1666666666666666,0.1388045457857206,Q4,CPS_0179
CPS,CPS_283,(Even though you told me it is easier to report (your/his/her) earnings (you/he/she) PAID AT AN HOURLY RATE on (this job,False,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F3,0.2,0.1278414656345164,Q4,CPS_1041
CPS,CPS_284,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MA",True,ACS_4,What is your hourly rate of pay on [this/ your main] job?,F2,0.6,0.3648244369475912,Q1,CPS_1047
CPS,CPS_285,"On this job, (are / is) (name/you) a member of a labor union or of an employee association similar to a union?",False,ACS_112,"During the LAST 4 WEEKS, has this person been ACTIVELY looking for work?",F3,0.0,0.33,Q2,CPS_0889
CPS,CPS_286,"On this job, (are / is) (name/you) covered by a union or employee association contract?",False,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F3,0.0,0.33,Q2,CPS_0468
CPS,CPS_287,When did (name/you) last work at a job or business?,True,ACS_114,"When did this person last work, even for a few days?",F1,1.0,1.0,Q1,CPS_0477
CPS,CPS_288,(Are / Is) (name/you) retired FROM A JOB OR BUSINESS?,True,ACS_114,"When did this person last work, even for a few days?",F2,0.5,0.67,Q1,CPS_0482
CPS,CPS_289,"What best describes (name's/your) situation at this time? For example, (are / is) (you/he/she) disabled, ill, in school,",True,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",F2,0.5,0.67,Q1,CPS_0483
CPS,CPS_29,"As of last week, that would make (name/you) (approximately (AGE)/ less than 1 / over 98 / AGE) years old. Is that correc",True,ACS_28,What is Person 2’s age and what is Person 2’s date of birth?,F1,0.8,0.3873983807106558,Q1,CPS_1064
CPS,CPS_290,"(THE WEEK BEFORE LAST/LAST WEEK), (was/were) (you/he/she) enrolled in a high school, college, or university?",True,ACS_13,"Are you enrolled in a high school, college, or university?",F2,0.5,0.67,Q1,CPS_0900
CPS,CPS_291,"Would that be high school, college or university?",True,ACS_75,What is the highest degree or level of school this person has COMPLETED?,F1,0.9,0.5445140849964047,Q1,CPS_1073
CPS,CPS_292,(Are / Is) (you/he/she) enrolled in school as a full time or part time student?,False,ACS_73,"At any time IN THE LAST 3 MONTHS, has this person attended school or college?",F3,0.4,0.1796896480488135,Q3,CPS_0908
CPS,CPS_293,(We will recontact this household in 8 months / In the future we may need to recontact this household / We will recontac,False,ACS_17,Why do you think the data should not be used?,F3,0.0,0.33,Q2,CPS_0269
CPS,CPS_294,(Are you/Is NAME/Is anyone/Are any of the new household members) deaf or (do you/does NAME/does anyone/do they) have ser,True,ACS_84,Is this person deaf or does he/she have serious difficulty hearing?,F1,1.0,1.0,Q1,CPS_0830
CPS,CPS_295,(Are you/Is NAME/Is anyone/Are any of the new household members) blind or (do you/does NAME/does anyone/do they) have se,False,ACS_84,Is this person deaf or does he/she have serious difficulty hearing?,F3,0.0,0.33,Q2,CPS_0836
CPS,CPS_296,"Because of a physical, mental, or emotional condition, (do you/does NAME/does anyone/do any of the new household members",False,ACS_84,Is this person deaf or does he/she have serious difficulty hearing?,F3,0.0,0.33,Q2,CPS_0842
CPS,CPS_297,(Do you/Does NAME/Does anyone/Do any of the new household members) have serious difficulty walking or climbing stairs?,False,ACS_84,Is this person deaf or does he/she have serious difficulty hearing?,F3,0.0,0.33,Q2,CPS_0848
CPS,CPS_298,(Do you/Does NAME/Does anyone/Do any of the new household members) have difficulty dressing or bathing?,True,ACS_88,Does this person have difficulty dressing or bathing?,F1,1.0,1.0,Q1,CPS_0858
CPS,CPS_299,"Because of a physical, mental, or emotional condition, (do you/does NAME/does anyone/do any of the new household members",True,ACS_89,"Because of a physical, mental, or emotional condition, does this person have difficulty doing errands alone such as visi",F2,0.5,0.67,Q1,CPS_0865
CPS,CPS_3,May I please speak to Respondent name?,False,ACS_16,Is there any reason the information from this interview should NOT be used?,F3,0.0,0.33,Q2,CPS_0232
CPS,CPS_30,"Even though you don’t know (name's/your) exact birthdate, what is your best guess as to how old (you/he/she) (was/were) ",True,ACS_23,What is Person 1’s age and what is Person 1’s date of birth?,F1,1.0,1.0,Q1,CPS_1066
CPS,CPS_300,In what country (was/were) (name/you) born?,False,ACS_72,When did this person come to live in the United States?,F3,0.25,0.121793181321419,Q4,CPS_0489
CPS,CPS_301,In what country was (your/his/her) mother born?,False,ACS_70,Where was this person born?,F3,0.0,0.33,Q2,CPS_0490
CPS,CPS_302,In what country was (your/his/her) father born?,False,ACS_70,Where was this person born?,F3,0.0,0.33,Q2,CPS_0492
CPS,CPS_304,(were/was) (name/you) born a citizen of the United States?,False,ACS_71,Is this person a citizen of the United States?,F3,0.3,0.0445587381630839,Q4,CPS_0911
CPS,CPS_305,Did (name/you) become a citizen of the United States through naturalization?,False,ACS_71,Is this person a citizen of the United States?,F3,0.4,0.0131241931059488,Q3,CPS_0912
CPS,CPS_306,When did (name/you) come to live in the United States?,False,ACS_80,Where did this person live 1 year ago?,F3,0.0,0.33,Q2,CPS_1091
CPS,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",True,ACS_90,What is this person’s marital status?,F2,0.5,0.67,Q1,CPS_0008
CPS,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",False,ACS_91,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,F3,0.1666666666666666,0.1388045457857206,Q4,CPS_0013
CPS,CPS_33,Enter line number of spouse of (name of person talking about),True,ACS_26,What is Person 2’s name? How is this person related to Person 1?,F2,0.5833333333333334,0.0531847100714156,Q3,CPS_0519
CPS,CPS_34,"Do you have a boyfriend, girlfriend or partner in this household?",True,ACS_21,What is Person 1’s name? How is this person related to Person 1?,F1,0.75,0.2103099178571524,Q3,CPS_0521
