pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic
FOODAPS_0037,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0038,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0039,FOODAPS_205,"For your primary job, how long does it usually take you to get from home to work?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0040,FOODAPS_281,Does NAME commute to work at least once a week?  ,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0041,FOODAPS_281,Does NAME commute to work at least once a week?  ,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0042,FOODAPS_281,Does NAME commute to work at least once a week?  ,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0043,FOODAPS_281,Does NAME commute to work at least once a week?  ,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0044,FOODAPS_281,Does NAME commute to work at least once a week?  ,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0045,FOODAPS_282,How long does it usually take NAME to get from home to work?,ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0046,FOODAPS_282,How long does it usually take NAME to get from home to work?,ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0047,FOODAPS_282,How long does it usually take NAME to get from home to work?,ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0048,FOODAPS_282,How long does it usually take NAME to get from home to work?,ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0049,FOODAPS_282,How long does it usually take NAME to get from home to work?,ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0050,FOODAPS_283,"For your primary job, how long does it usually take NAME to get from home to work?",ACS_104,At what location did this person work LAST WEEK?,Commute/Commuting
FOODAPS_0051,FOODAPS_283,"For your primary job, how long does it usually take NAME to get from home to work?",ACS_105,How did this person usually get to work LAST WEEK?,Commute/Commuting
FOODAPS_0052,FOODAPS_283,"For your primary job, how long does it usually take NAME to get from home to work?",ACS_106,"How many people, including this person, usually rode to work in the car, truck, or van LAST WEEK?",Commute/Commuting
FOODAPS_0053,FOODAPS_283,"For your primary job, how long does it usually take NAME to get from home to work?",ACS_107,"LAST WEEK, what time did this person’s trip to work usually begin?",Commute/Commuting
FOODAPS_0054,FOODAPS_283,"For your primary job, how long does it usually take NAME to get from home to work?",ACS_108,How many minutes did it usually take this person to get from home to work LAST WEEK,Commute/Commuting
FOODAPS_0055,FOODAPS_183,"Last week, did you do any work for either pay or profit? ",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0056,FOODAPS_183,"Last week, did you do any work for either pay or profit? ",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0057,FOODAPS_183,"Last week, did you do any work for either pay or profit? ",ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0058,FOODAPS_183,"Last week, did you do any work for either pay or profit? ",ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0059,FOODAPS_183,"Last week, did you do any work for either pay or profit? ",ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0060,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0061,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0062,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0063,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0064,FOODAPS_184,"Last week, did you do any work for either pay or profit? ",ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0065,FOODAPS_185,Did you retire before last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0066,FOODAPS_185,Did you retire before last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0067,FOODAPS_185,Did you retire before last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0068,FOODAPS_185,Did you retire before last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0069,FOODAPS_185,Did you retire before last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0070,FOODAPS_186,Did you retire before last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0071,FOODAPS_186,Did you retire before last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0072,FOODAPS_186,Did you retire before last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0073,FOODAPS_186,Did you retire before last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0074,FOODAPS_186,Did you retire before last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0075,FOODAPS_191,What is the main reason you did not work last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0076,FOODAPS_191,What is the main reason you did not work last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0077,FOODAPS_191,What is the main reason you did not work last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0078,FOODAPS_191,What is the main reason you did not work last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0079,FOODAPS_191,What is the main reason you did not work last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0080,FOODAPS_192,What is the main reason you did not work last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0081,FOODAPS_192,What is the main reason you did not work last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0082,FOODAPS_192,What is the main reason you did not work last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0083,FOODAPS_192,What is the main reason you did not work last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0084,FOODAPS_192,What is the main reason you did not work last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0085,FOODAPS_193,"Are you currently looking for a job, either full or part time?",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0086,FOODAPS_193,"Are you currently looking for a job, either full or part time?",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0087,FOODAPS_193,"Are you currently looking for a job, either full or part time?",ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0088,FOODAPS_193,"Are you currently looking for a job, either full or part time?",ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0089,FOODAPS_193,"Are you currently looking for a job, either full or part time?",ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0090,FOODAPS_195,Did you work for pay or profit for more than one employer last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0091,FOODAPS_195,Did you work for pay or profit for more than one employer last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0092,FOODAPS_195,Did you work for pay or profit for more than one employer last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0093,FOODAPS_195,Did you work for pay or profit for more than one employer last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0094,FOODAPS_195,Did you work for pay or profit for more than one employer last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0095,FOODAPS_271,"Last week, did NAME do any work for either pay or profit? ",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0096,FOODAPS_271,"Last week, did NAME do any work for either pay or profit? ",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0097,FOODAPS_271,"Last week, did NAME do any work for either pay or profit? ",ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0098,FOODAPS_271,"Last week, did NAME do any work for either pay or profit? ",ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0099,FOODAPS_271,"Last week, did NAME do any work for either pay or profit? ",ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0100,FOODAPS_272,Did NAME retire before last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0101,FOODAPS_272,Did NAME retire before last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0102,FOODAPS_272,Did NAME retire before last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0103,FOODAPS_272,Did NAME retire before last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0104,FOODAPS_272,Did NAME retire before last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0105,FOODAPS_273,Did NAME retire early because of a disability?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0106,FOODAPS_273,Did NAME retire early because of a disability?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0107,FOODAPS_273,Did NAME retire early because of a disability?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0108,FOODAPS_273,Did NAME retire early because of a disability?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0109,FOODAPS_273,Did NAME retire early because of a disability?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0110,FOODAPS_275,What is the main reason NAME did not work last week?,ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",Employment Status
FOODAPS_0111,FOODAPS_275,What is the main reason NAME did not work last week?,ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",Employment Status
FOODAPS_0112,FOODAPS_275,What is the main reason NAME did not work last week?,ACS_109,"LAST WEEK, was this person on layoff from a job?",Employment Status
FOODAPS_0113,FOODAPS_275,What is the main reason NAME did not work last week?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",Employment Status
FOODAPS_0114,FOODAPS_275,What is the main reason NAME did not work last week?,ACS_114,"When did this person last work, even for a few days?",Employment Status
FOODAPS_0115,FOODAPS_163,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0116,FOODAPS_163,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0117,FOODAPS_163,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0118,FOODAPS_163,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0119,FOODAPS_164,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0120,FOODAPS_164,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0121,FOODAPS_164,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0122,FOODAPS_164,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0123,FOODAPS_165,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0124,FOODAPS_165,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0125,FOODAPS_165,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0126,FOODAPS_165,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0127,FOODAPS_166,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0128,FOODAPS_166,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0129,FOODAPS_166,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0130,FOODAPS_166,"Have you ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0131,FOODAPS_167,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0132,FOODAPS_167,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0133,FOODAPS_167,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0134,FOODAPS_167,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0135,FOODAPS_168,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0136,FOODAPS_168,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0137,FOODAPS_168,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0138,FOODAPS_168,Were you on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0139,FOODAPS_268,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0140,FOODAPS_268,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0141,FOODAPS_268,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0142,FOODAPS_268,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0143,FOODAPS_269,Was Name on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0144,FOODAPS_269,Was Name on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0145,FOODAPS_269,Was Name on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0146,FOODAPS_269,Was Name on active duty ONLY FOR TRAINING in the Reserves or National Guard?,ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0147,FOODAPS_270,Is Name currently on active duty?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",Veterans
FOODAPS_0148,FOODAPS_270,Is Name currently on active duty?,ACS_99,When did this person serve on active duty in the U.S. Armed Forces?,Veterans
FOODAPS_0149,FOODAPS_270,Is Name currently on active duty?,ACS_100,Does this person have a VA service-connected disability rating?,Veterans
FOODAPS_0150,FOODAPS_270,Is Name currently on active duty?,ACS_101,What is this person’s service-connected disability rating?,Veterans
FOODAPS_0151,FOODAPS_250,Does NAME have their own email address?,ACS_45,"At this house, apartment, or mobile home – do you or any member of this household own or use any of the following types of computers?",Computer & Internet Use
FOODAPS_0152,FOODAPS_250,Does NAME have their own email address?,ACS_46,"At this house, apartment, or mobile home – do you or any member of this household have access to the Internet?",Computer & Internet Use
FOODAPS_0153,FOODAPS_250,Does NAME have their own email address?,ACS_47,"Do you or any member of this household have access to the Internet using a – Yes No a. cellular data plan for a smartphone or other mobile device? b. broadband (high speed) Internet service such as cable, fiber optic, or DSL service installed in this household? c. satellite Internet service installed in this household? d. dial-up Internet service installed in this household? e. some other service?",Computer & Internet Use
FOODAPS_0154,FOODAPS_251,What is NAME’s email address?,ACS_45,"At this house, apartment, or mobile home – do you or any member of this household own or use any of the following types of computers?",Computer & Internet Use
FOODAPS_0155,FOODAPS_251,What is NAME’s email address?,ACS_46,"At this house, apartment, or mobile home – do you or any member of this household have access to the Internet?",Computer & Internet Use
FOODAPS_0156,FOODAPS_251,What is NAME’s email address?,ACS_47,"Do you or any member of this household have access to the Internet using a – Yes No a. cellular data plan for a smartphone or other mobile device? b. broadband (high speed) Internet service such as cable, fiber optic, or DSL service installed in this household? c. satellite Internet service installed in this household? d. dial-up Internet service installed in this household? e. some other service?",Computer & Internet Use
FOODAPS_0157,FOODAPS_252,"We can also send updates, notifications, and survey links via text message. Would [Name] like us to contact them by text message?",ACS_45,"At this house, apartment, or mobile home – do you or any member of this household own or use any of the following types of computers?",Computer & Internet Use
FOODAPS_0158,FOODAPS_252,"We can also send updates, notifications, and survey links via text message. Would [Name] like us to contact them by text message?",ACS_46,"At this house, apartment, or mobile home – do you or any member of this household have access to the Internet?",Computer & Internet Use
FOODAPS_0159,FOODAPS_252,"We can also send updates, notifications, and survey links via text message. Would [Name] like us to contact them by text message?",ACS_47,"Do you or any member of this household have access to the Internet using a – Yes No a. cellular data plan for a smartphone or other mobile device? b. broadband (high speed) Internet service such as cable, fiber optic, or DSL service installed in this household? c. satellite Internet service installed in this household? d. dial-up Internet service installed in this household? e. some other service?",Computer & Internet Use
FOODAPS_0160,FOODAPS_253,Please enter the cell phone number where NAME wishes to receive text messages,ACS_45,"At this house, apartment, or mobile home – do you or any member of this household own or use any of the following types of computers?",Computer & Internet Use
FOODAPS_0161,FOODAPS_253,Please enter the cell phone number where NAME wishes to receive text messages,ACS_46,"At this house, apartment, or mobile home – do you or any member of this household have access to the Internet?",Computer & Internet Use
FOODAPS_0162,FOODAPS_253,Please enter the cell phone number where NAME wishes to receive text messages,ACS_47,"Do you or any member of this household have access to the Internet using a – Yes No a. cellular data plan for a smartphone or other mobile device? b. broadband (high speed) Internet service such as cable, fiber optic, or DSL service installed in this household? c. satellite Internet service installed in this household? d. dial-up Internet service installed in this household? e. some other service?",Computer & Internet Use
FOODAPS_0163,FOODAPS_110,Are you/Is anyone in your household currently pregnant,ACS_94,"In the PAST 12 MONTHS, has this person given birth to any children?",Fertility
FOODAPS_0164,FOODAPS_56,What is NAME’s relationship to you?,ACS_21,What is Person 1’s name? How is this person related to Person 1?,Relationship
FOODAPS_0165,FOODAPS_56,What is NAME’s relationship to you?,ACS_26,What is Person 2’s name? How is this person related to Person 1?,Relationship
FOODAPS_0166,FOODAPS_56,What is NAME’s relationship to you?,ACS_31,What is Person 3’s name? How is this person related to Person 1?,Relationship
FOODAPS_0167,FOODAPS_62,Is NAME’s spouse a member of this household?,ACS_21,What is Person 1’s name? How is this person related to Person 1?,Relationship
