pair_id,primary_barrier_openai,feasibility_openai,specific_conflict_openai,additional_barriers_openai,reasoning_openai,primary_barrier_claude,feasibility_claude,specific_conflict_claude,additional_barriers_claude,reasoning_claude,barrier_l1_openai,barrier_l1_claude,arbitrated_barrier,arbitrated_feasibility,arbitration_source,arbitration_reasoning,final_barrier,final_feasibility,final_barrier_L1
CPS_0013,TC.2,F3,"CPS asks for current marital status, while ACS asks about events in the past 12 months.",[],"The temporal framing is fundamentally different, making it impossible to harmonize the two questions.",TC.2,F2,CPS asks current marital status (point-in-time categorical); ACS asks about marital events in past 12 months (retrospective period events),['CC.1'],"CPS captures current state (married, widowed, divorced, separated, never married); ACS captures whether specific events occurred in past year. These require different temporal framing and would need statistical modeling to reconcile.",TC,TC,TC.2,F3,model_a,"Both models correctly identify TC.2 (temporal framing) as the barrier - CPS asks about current marital status (point-in-time state) while ACS asks about marital events occurring in the past 12 months (retrospective events). The key disagreement is feasibility. Model A's F3 (incompatible) is more accurate because these questions capture fundamentally different information: current status vs. event occurrence. Someone currently married could answer 'Yes' to ACS married (got married this year) OR 'No' (was already married before). Someone currently divorced might have been divorced for years (ACS: No to all) or divorced this year (ACS: Yes to divorced). The ACS also lacks 'separated' and 'never married' categories entirely. Statistical modeling cannot reliably bridge this gap because knowing an event occurred in the past year doesn't determine current status, and current status doesn't reveal whether an event occurred recently.",TC.2,F3,TC
CPS_0014,RS.1,F3,"CPS asks for current marital status, while ACS asks for the number of times married.",[],"The response formats are fundamentally different, with one being categorical and the other being a count.",RS.1,F3,CPS uses categorical response scale (married/widowed/divorced/separated/never married); ACS uses numeric count (number of times married),['CC.2'],Fundamentally different response formats. CPS categorical state cannot be directly converted to ACS numeric count without additional information about marriage history.,RS,RS,,,,,RS.1,F3,RS
CPS_0015,CC.1,F3,"CPS asks about current marital status, while ACS asks for the year of last marriage.",[],The core concept of current status versus historical event creates a fundamental incompatibility.,CC.2,F3,CPS asks current marital status (categorical state); ACS asks year of last marriage (temporal reference point),['RS.1'],Different operationalizations and response formats. Current marital status category does not directly map to a year value without additional historical data.,CC,CC,CC.1,F3,model_a,"The fundamental barrier here is that the two questions measure entirely different concepts: current marital status (a categorical state variable) versus year of last marriage (a temporal/historical event marker). This is a core concept definition difference (CC.1), not merely a different operationalization of the same concept (CC.2). Model B's coding of CC.2 would apply if both questions were attempting to measure the same underlying concept through different behavioral indicators, but these questions are measuring fundamentally different things - one captures current state, the other captures historical timing. Knowing when someone last married does not tell you their current marital status (they could be married, widowed, divorced, or separated from that marriage), and knowing current status does not tell you when they married. The response scale difference (categorical vs. year) is secondary to this fundamental concept mismatch.",CC.1,F3,CC
CPS_0016,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC,MC.3,F1,model_b,"Both questions ask about the identical core construct: usual hours worked per week. The CPS question explicitly references 'main job' while the ACS question references 'at this rate' which implies a prior question established the job/rate context. This is a contextual priming difference (MC.3), not a temporal framing difference. Model A incorrectly coded TC.2, but both questions use the same temporal framing - 'usually' refers to habitual/typical hours in both cases. The difference is purely in how the job is specified within the questionnaire flow. Since both capture the same underlying measure (usual weekly hours at primary employment), this is mechanically reconcilable (F1) by standardizing the job specification context.",MC.3,F1,MC
CPS_0017,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC,MC.3,F1,model_b,"Both questions ask the identical core construct: usual hours worked per week. The difference is purely contextual framing - CPS explicitly mentions 'main job' within the question text, while ACS uses 'at this rate' which refers back to a prior question establishing the job/pay context. This is not a temporal difference (TC.2 is incorrect because both ask about 'usual' hours, which is the same habitual framing). The 'at this rate' phrase in ACS doesn't change the temporal reference - it's a contextual pointer to previously established job information. This contextual difference is mechanically reconcilable by ensuring both refer to the main/primary job, making F1 appropriate.",MC.3,F1,MC
CPS_0018,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC,MC.3,F1,model_b,"Both questions ask about the same core construct: usual hours worked per week. The CPS question explicitly references 'main job' while the ACS question references 'at this rate' which implies a prior context establishing the job/rate being discussed. This is a contextual framing difference, not a temporal difference. Model A incorrectly coded TC.2, but both questions use the same temporal frame ('usually' - habitual hours per week). The difference is purely in how the job context is established: CPS names it explicitly in the question, ACS relies on prior questionnaire context. This is a classic MC.3 (contextual priming) issue that is mechanically reconcilable by ensuring both refer to the same job concept (main job), making F1 appropriate.",MC.3,F1,MC
CPS_0019,TC.2,F2,"CPS asks about usual hours worked, while ACS asks about hours worked at a specific rate.",[],"The temporal framing of the questions differs, requiring statistical adjustment to harmonize.",MC.3,F1,Contextual difference: CPS specifies 'main job' in question text; ACS says 'at this rate' (implying prior job specification in context),[],Both ask identical core construct (usual hours per week) but differ in contextual framing. CPS explicitly names 'main job'; ACS relies on prior question context. Mechanically reconcilable through standardized job specification.,TC,MC,MC.3,F1,model_b,"Both questions ask about the identical core construct: usual hours worked per week. The key difference is contextual framing - CPS explicitly specifies 'main job' within the question text, while ACS says 'at this rate' which implies the job context was established in a preceding question about pay rate. Model A incorrectly identified this as TC.2 (temporal framing), but both questions use the same temporal concept ('usually' - habitual hours). There is no temporal difference between the questions. The difference is purely contextual: how the job reference is established (explicit in-question specification vs. reliance on prior question context). This is a classic MC.3 (contextual priming) situation. Since both capture the same construct and the job specification difference is a matter of questionnaire structure rather than substantive measurement, this can be reconciled through standardized job specification, making it F1 (mechanically reconcilable).",MC.3,F1,MC
CPS_0020,RS.1,F1,"CPS asks for usual hours worked, while ACS asks for an estimate of hours worked.",[],"The response formats are similar enough that a direct recode is possible, despite slight differences in wording.",MC.3,F1,Minor wording difference: CPS uses direct question; ACS adds 'best estimate' qualifier and 'at this rate' contextual reference,[],Both measure identical construct (usual hours per week). Differences are purely stylistic/instructional. ACS's 'best estimate' language and contextual reference are compatible with CPS's direct measurement. Directly reconcilable through standardized wording.,RS,MC,MC.3,F1,model_b,"Both questions measure the same construct: usual hours worked per week. The CPS asks directly about usual hours, while the ACS adds 'best estimate' language and 'at this rate' context (likely referring to a previously mentioned hourly rate in the survey flow). These are contextual/priming differences, not response scale differences. Both expect numeric hour responses, so RS.1 (fundamentally different response formats) does not apply. The differences are stylistic - the 'best estimate' qualifier is instructional guidance, and 'at this rate' is contextual reference from survey flow. MC.3 (contextual priming) correctly captures that the ACS question appears in a different questionnaire context that may prime slightly different thinking, but the core measurement is identical and directly reconcilable.",MC.3,F1,MC
CPS_0021,TC.1,F3,"CPS asks for usual hours per week, while ACS asks if the person worked every week in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS focuses on a weekly basis while ACS looks at a yearly perspective.,TC.1,F3,CPS measures usual hours per week (point-in-time); ACS measures whether person worked every week in past 12 months (yes/no binary),"['CC.2', 'RS.1']","Fundamentally different constructs: one measures intensity (hours), the other measures consistency (every week). Different reference periods (usual vs. past 12 months) and completely different response scales (numeric hours vs. binary yes/no). Cannot be mechanically recoded.",TC,TC,,,,,TC.1,F3,TC
CPS_0022,TC.1,F3,"CPS asks for usual hours per week, while ACS asks for the number of weeks worked in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS measures hours weekly while ACS measures weeks worked over a year.,CC.2,F3,CPS measures hours per week; ACS measures number of weeks worked in past 12 months. These are orthogonal dimensions of work intensity,['TC.1'],These questions operationalize different behavioral indicators of employment. CPS captures weekly intensity; ACS captures annual frequency. Cannot be consolidated without losing information from both dimensions.,TC,CC,CC.2,F3,model_b,"While there is a temporal element (weekly vs annual), the fundamental issue is that these questions measure entirely different constructs about work: hours per week (work intensity) vs weeks worked per year (work frequency/duration). The coding rules specify that CC > TC when temporal difference implies a construct difference. Here, the questions are not measuring the same thing at different time scales - they are measuring orthogonal dimensions of employment. One cannot derive hours worked per week from knowing weeks worked per year, or vice versa. This is a clear case of different operationalizations (CC.2) of work behavior, not merely a reference period mismatch.",CC.2,F3,CC
CPS_0023,TC.1,F2,"CPS asks for usual hours per week, while ACS asks for hours worked in weeks worked over the past 12 months.",['CC.2'],Primary issue is temporal reference mismatch. CPS measures point-in-time usual hours while ACS retrospectively averages over a year.,TC.2,F2,CPS asks about USUAL hours (habitual/point-in-time); ACS asks about hours in WEEKS WORKED during PAST 12 MONTHS (retrospective average conditional on weeks worked),['CC.2'],"Both measure hours per week but with different temporal framing. CPS is habitual/current; ACS is retrospective and conditional on weeks actually worked. Could be statistically adjusted if weeks worked data available, but requires modeling assumptions.",TC,TC,TC.2,F2,model_b,"Both questions ask about hours per week (same reference period length), so TC.1 is incorrect. The key difference is temporal framing: CPS asks about USUAL hours at current job (habitual/point-in-time), while ACS asks retrospectively about hours in weeks worked during the past 12 months (retrospective average). This is a temporal framing difference (TC.2), not a reference period length difference. The ACS question also conditions on 'weeks worked,' creating an additional complexity. Model B correctly identifies this as TC.2. Statistical adjustment (F2) is appropriate because bridging requires modeling assumptions about the relationship between current habitual hours and retrospective conditional averages, potentially using weeks worked data.",TC.2,F2,TC
CPS_0024,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC,CC.4,F2,synthesis,"The core disagreement is about whether this is a construct difference (CC) or a mode/context difference (MC). Model A correctly identifies it as a construct issue but codes it as CC.2 (operationalization). Model B codes MC.2 (question routing) arguing about job scope filtering. The fundamental issue is that CPS explicitly asks about 'other job(s)' (secondary employment hours) while ACS asks about hours at 'this rate' (which in ACS context typically refers to the main/current job). This is not merely an operationalization difference - both are measuring 'usual hours per week' the same way. Rather, they are measuring hours for different SCOPE of employment: CPS targets secondary jobs specifically while ACS appears to target primary job hours. This is best coded as CC.4 (scope inclusions - different components counted). Feasibility is F2 because harmonization would require identifying and filtering to comparable job types, which requires assumptions about job classification or additional information.",CC.4,F2,CC
CPS_0025,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC,CC.4,F2,synthesis,"The core issue is that CPS explicitly asks about hours worked at 'other job/jobs' (secondary employment), while ACS asks about hours at 'this rate' (context-dependent, likely a specific job in a series). This is fundamentally a scope/construct difference - the questions are measuring hours for different job scopes. Model A correctly identified this as a construct issue but coded CC.2 (operationalization) when CC.4 (scope inclusions - different components counted) is more precise since the difference is about WHICH jobs are included. Model B's MC.2 (question routing) captures part of the issue but the routing difference is a symptom of the underlying construct scope difference. Per the hierarchy rules, CC takes precedence. Feasibility is F2 because harmonization requires knowing which job(s) the ACS question targets and potentially statistical adjustment to align job scopes.",CC.4,F2,CC
CPS_0026,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC,CC.4,F2,synthesis,"The core issue is that the CPS question explicitly asks about hours worked at 'other job(s)' (secondary employment), while the ACS question asks about hours at 'this rate' (likely a specific wage rate context, possibly for the main job). This is fundamentally a construct difference regarding scope inclusions - CPS captures hours for secondary jobs specifically, while ACS appears to capture hours for a particular job/rate context. This is not merely question routing (MC.2) as Model B suggests, nor general operationalization (CC.2) as Model A suggests. The questions target different components of total work hours (secondary vs. potentially primary employment). Statistical adjustment would be needed to harmonize, as one would need to either aggregate job-specific hours or filter to comparable job types.",CC.4,F2,CC
CPS_0027,CC.2,F2,CPS refers to 'other jobs' while ACS does not specify job context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general.,MC.2,F1,CPS specifies 'other job/jobs' (secondary employment); ACS context unclear but appears to be general hours question. Different job scope in question routing,[],"Both ask identical construct (usual hours per week) but CPS explicitly targets secondary jobs while ACS appears to be general. Simple recode possible if ACS context confirms same job scope, otherwise requires filtering.",CC,MC,CC.4,F2,synthesis,"The core difference is what jobs are being measured: CPS explicitly asks about 'other job/jobs' (secondary employment), while ACS asks about hours 'at this rate' for an unspecified job context. This is fundamentally a scope inclusion difference - CPS captures hours from secondary jobs specifically, while ACS appears to capture hours for a single job (likely primary). Model A correctly identified this as a construct issue but chose CC.2 (operationalization); Model B identified it as MC.2 (question routing) but the routing difference is a symptom, not the core barrier. The actual barrier is CC.4 (scope inclusions) - different components of total work hours are being counted. Harmonization requires knowing which job(s) ACS refers to and potentially filtering or combining data, making this F2 (statistical adjustment) rather than F1.",CC.4,F2,CC
CPS_0028,CC.2,F3,CPS asks for hours worked at 'other jobs' while ACS asks for an estimate without context.,[],The primary issue is operationalization; CPS specifies 'other jobs' while ACS is more general and lacks context.,RS.3,F1,CPS asks direct question; ACS adds qualifier 'best estimate' which may affect response precision and respondent confidence,['MC.3'],Both measure same construct (usual hours per week at secondary job) but ACS includes explicit estimation language that may prime different response behavior. Mechanically compatible but with potential response bias differences.,CC,RS,CC.2,F2,synthesis,"The primary barrier here is operationalization (CC.2), not response scale. The CPS question explicitly asks about 'other job(s)' - meaning secondary employment beyond a primary job. The ACS question asks about hours 'at this rate' without the same explicit framing of secondary employment context. This is a construct operationalization difference in how 'other/secondary work' is being captured. Model A correctly identifies this as CC.2 but F3 is too pessimistic - if both questions are properly filtered to secondary employment contexts, the hours measures could potentially be reconciled with statistical adjustment. Model B's RS.3 coding focuses on 'best estimate' language, but this is a minor wording difference, not a true response scale barrier - both questions collect continuous hours data in the same format.",CC.2,F2,CC
CPS_0029,TC.1,F3,"CPS asks for usual hours per week, while ACS asks if the person worked every week in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS focuses on a weekly basis while ACS looks at a yearly perspective.,CC.2,F3,CPS measures hours per week at secondary job; ACS measures whether person worked every week in past 12 months (binary consistency measure),"['TC.1', 'RS.1']","Completely different operationalizations: one measures intensity (hours), the other measures consistency (every week). Different reference periods and response scales. Fundamentally incompatible.",TC,CC,CC.2,F3,model_b,"While there is a temporal difference (weekly vs. 12-month), the fundamental barrier is that these questions measure entirely different constructs through different operationalizations. The survey question asks for HOURS worked at secondary jobs (measuring work intensity/quantity), while the ACS question asks WHETHER the person worked EVERY week (measuring work consistency/continuity as a binary outcome). Per the coding rules, CC (Construct) takes precedence over TC (Temporal) when the temporal difference implies a construct difference. Here, the different time frames are secondary to the fact that one measures hours (continuous numeric) and the other measures consistency of employment (yes/no). These are fundamentally different behavioral indicators that cannot be reconciled.",CC.2,F3,CC
CPS_0030,TC.1,F3,"CPS asks for usual hours per week, while ACS asks for the number of weeks worked in the past 12 months.",[],The primary issue is a temporal reference mismatch; CPS measures hours weekly while ACS measures weeks worked over a year.,CC.2,F3,CPS measures hours per week at secondary job; ACS measures number of weeks worked in past 12 months. These are orthogonal dimensions,['TC.1'],These questions operationalize different behavioral indicators. CPS captures weekly intensity; ACS captures annual frequency. Cannot be consolidated without losing information from both dimensions.,TC,CC,CC.2,F3,model_b,"While both models correctly identify that these questions measure fundamentally different things, Model B's coding is more accurate. The core issue is not merely a temporal reference period difference (TC.1 would apply if both measured the same concept over different time spans). Instead, these questions measure entirely orthogonal dimensions of work: hours per week (work intensity at a specific job) versus weeks worked per year (work duration/continuity). This is a classic operationalization difference - they capture different behavioral indicators of employment. Per the coding rules, CC > TC when the temporal difference implies a construct difference, which is the case here. The questions cannot be harmonized because they answer fundamentally different research questions about labor force participation.",CC.2,F3,CC
CPS_0031,TC.1,F2,CPS asks about usual hours worked without a specific reference period; ACS specifies the past 12 months.,[],"The primary issue is the reference period length mismatch, as CPS does not define a specific timeframe while ACS does.",TC.1,F2,CPS asks about usual hours per week (habitual); ACS asks about hours per week during weeks worked in past 12 months (retrospective annual average),['TC.2'],"Primary issue is reference period length difference. CPS captures current usual pattern while ACS requires retrospective recall over 12 months and conditions on weeks actually worked, requiring statistical adjustment to harmonize.",TC,TC,,,,,TC.1,F2,TC
